Zip Code,Total population,White percent,Asian percent,Black or African American percent,American Indian and Alaska Native percent,Hispanic or Latino percent,Native Hawaiian and Other Pacific Islander percent,Female percent,Male percent,MONTHLY HOUSING COSTS - Median,Median income(all),Median income (full time),Median age,Percent - Under 5 years,Percent - 10 to 14 years,Percent - 15 to 17 years,Percent - 15 to 19 years,Percent - 15 to 44 years,Percent - 16 years and over,Percent - Under 18 years,Percent - 18 to 24 years,Percent - 18 years and over,Percent - 20 to 24 years,Percent - 21 years and over,Percent - 25 to 29 years,Percent - 30 to 34 years,Percent - 35 to 39 years,Percent - 40 to 44 years,Percent - 45 to 49 years,Percent - 5 to 14 years,Percent - 5 to 9 years,Percent - 50 to 54 years,Percent - 55 to 59 years,Percent - 60 to 64 years,Percent - 60 years and over,Percent - 62 years and over,Percent - 65 to 69 years,Percent - 65 years and over,Percent - 70 to 74 years,Percent - 75 to 79 years,Percent - 75 years and over,Percent - 80 to 84 years,Percent - 85 years and over,Percent high school graduate or higher,Percent bachelor's degree or higher,Owner-occupied housing percentage,Renter-occupied housing percentage,Unemployment rate - Population 16 years and over
85018,37848,78.7,4,3.1,2,21.1,0.2,50.6,49.4,1051,40301,55391,38.3,6.1,5.6,3.9,5.6,41.7,81.7,21,7.5,79,5.8,76,7.5,9,7.7,6.1,7.5,11,5.5,7.3,6.6,6.1,19.8,17,3.7,13.8,3.9,2.7,6.2,1.7,1.7,91.6,46.8,0.54,0.46,4.9
85019,25994,76.5,3.7,7.9,2.6,67.3,0,49.6,50.4,876,21382,28522,28,8.5,9,5.3,9.3,46,71.8,31.9,12.2,68.1,8.1,62.1,8.8,5.2,5.8,8.7,6.6,18.1,9.1,4.9,5,3.3,11,9.4,3.3,7.7,1.3,1.4,3.1,1,0.7,57.9,7.5,0.48,0.52,6.3
85020,33296,86.9,1.8,2.7,1.2,28.9,0.1,50,50,910,36422,45537,43.7,6.1,6.3,2.2,3.3,34.2,81.9,19.7,6.7,80.3,5.6,77.6,7.1,5.3,6.6,6.3,7.8,11.4,5.1,7.8,7.5,6.4,25.1,22.3,6.6,18.8,4.6,3.2,7.6,1.7,2.6,88.6,36.9,0.53,0.47,5.7
85021,41310,73.6,4.4,8.9,3.8,34.4,0.5,50.2,49.8,855,27239,36473,33.2,8.7,6.5,4,5.8,43.4,76.2,26.5,10.4,73.5,8.6,69.5,7.6,7.5,7.5,6.4,6,13.8,7.3,6.3,5,4.3,16.8,14.6,3.5,12.5,3.2,2,5.9,1.6,2.2,84.3,29.5,0.39,0.61,10.1
85022,50242,82.3,4.1,3.2,1.3,23.3,0.1,52.4,47.6,988,31392,42402,38.8,5.7,4.2,2.8,5.3,41.2,83.1,18.8,11,81.2,8.5,77.2,8,7,6.7,5.7,6,10.3,6.1,7.5,7.3,6.6,21.9,19.3,5.4,15.4,3.9,2.9,6,1.4,1.8,89.1,32.9,0.55,0.45,6.9
85023,33612,78.9,4,5.4,1.8,22.9,0.3,49.9,50.1,1020,33019,41417,35.2,7.1,6.1,3.1,4.4,41.9,78,24.2,8.9,75.8,7.6,73.4,8.6,8,7.3,6.1,6.6,14,7.9,5.3,6.4,5.9,18.7,16.2,5.1,12.7,3.1,2,4.5,1,1.5,88.1,30.3,0.56,0.44,5.4
85024,24598,87.4,4.8,2.1,0.7,12.7,0.2,49.2,50.8,1326,42422,53331,35,8.6,5.6,3.2,4.9,42.9,78.6,23.4,7,76.6,5.3,74.3,8.9,10.7,6.3,6.8,8.5,11.6,6,6.4,7.1,4.8,14.9,13.1,4,10.1,3,1.3,3.1,0.6,1.3,95.1,42,0.69,0.31,3.8
85027,35529,79.7,7.8,3.5,1.2,16.6,0.6,48.7,51.3,1045,36099,43645,35.7,7.5,5.6,3,4.7,45.4,81.1,20.9,8.8,79.1,7.1,76.4,10.2,9,7.1,7.4,8.5,10.4,4.8,6.2,5.5,5.5,16.4,14.1,4.4,10.9,2.6,2.3,3.9,0.8,0.8,90,28.3,0.56,0.44,5.8
85028,19563,92,1.8,1.6,0.4,11.1,0,53.5,46.5,1350,50043,67603,47.4,4.7,4.9,4,5.7,31.1,83.2,19.3,4.7,80.7,3.1,78.2,4.3,4.3,6.1,7.6,6.6,10.6,5.7,8,7.5,8.4,31.4,28.4,7,23,6,3.9,10,3.5,2.7,96.5,52.9,0.79,0.21,4.1
85029,44745,83.3,3.2,5.9,0.7,31.6,0,50.7,49.3,922,30057,35664,35.8,7.2,6.4,3.6,5.7,40.7,79,23.4,10.5,76.6,8.4,73.1,7.6,7.3,6.4,5.3,7.6,12.7,6.3,7.5,7.6,4.7,16.9,15,3.6,12.1,3.1,2,5.4,1.4,2.1,86.2,19.4,0.5,0.5,8.6
