Zip Code,Total population,Asian percent,MONTHLY HOUSING COSTS - Median,Median age,Percent - 15 to 44 years,Percent - 30 to 34 years,Percent - 60 to 64 years,Percent - 60 years and over,Percent - 62 years and over,Percent - 65 to 69 years,Percent - 65 years and over,Percent - 70 to 74 years,Percent - 75 to 79 years,Percent - 75 years and over,Percent - 80 to 84 years,Owner-occupied housing percentage,Renter-occupied housing percentage
85118,12439,1.3,961,64.7,14.2,1.1,12,60.9,57.2,13.4,48.9,15.4,10.2,20.1,5.7,0.9,0.1
85119,21825,2.2,743,57.3,22.7,4.4,10.6,46.5,42.1,11.8,35.9,10,7.5,14.1,4.5,0.76,0.24
85120,30621,0.6,685,52.1,27.7,3.6,7.4,38.3,35.7,8.3,30.8,8.7,6.7,13.9,3.9,0.73,0.27
85121,2131,2.4,236,25.7,47.2,5.2,1.1,11.8,11.8,2.8,10.7,3.2,2.5,4.7,1.8,0.28,0.72
85122,56298,1.6,851,35,37.6,7.2,5.3,21.5,19.4,5,16.3,4.4,3.8,6.8,1.8,0.63,0.37
85123,11106,0.3,824,35.4,38.3,7.1,5.2,23.8,22.1,8,18.6,5,3.8,5.6,1.3,0.63,0.37
85128,16466,0.3,692,34.5,37.8,6.4,6,18,15.5,5.9,11.9,1.7,2,4.3,1,0.58,0.42
85131,18542,2.1,657,35.3,55.1,11.6,4.6,15.4,13.7,3.9,10.8,3.6,1.5,3.3,1.1,0.63,0.37
85132,35677,0.8,834,37.7,49.6,10,5.1,20,17.7,6.2,15,3.9,2.5,4.9,1.5,0.74,0.26
85135,464,0,337,54.1,24.4,3.9,16.8,40.1,36.4,5.2,23.3,5.8,7.3,12.3,0.6,0.61,0.39
85137,2497,3.5,759,39,33.8,6.2,6,27.1,25.3,7,21,6.9,3.3,7.1,1.5,0.73,0.27
85138,36059,4.4,1241,35,42.7,7.9,4.9,17,14.7,5.6,12.1,3,1.5,3.5,0.8,0.75,0.25
85139,18327,3.4,1075,35.7,41.5,6.7,5.7,17,14.6,4.1,11.3,3.5,2,3.7,1.5,0.71,0.29
85140,45504,1.2,1164,30.8,44.5,7.8,4,13.7,11.8,4.1,9.7,2.7,1.5,2.9,0.7,0.77,0.23
85141,427,1.4,567,50.6,33.5,2.6,7.7,27.6,25.5,5.6,19.9,11.2,1.4,3,0.5,0.73,0.27
85142,60306,2.3,1482,33.6,40.6,6.5,4.4,13.1,11.3,3.9,8.7,2.4,1.3,2.4,0.6,0.83,0.17
85143,36764,2.7,1159,34.9,41.2,7,5.9,19.3,17,5.7,13.4,3.9,2.1,3.8,0.9,0.7,0.3
85145,3016,0.9,1088,25.8,53.2,10.2,1.8,5.1,4.4,1.2,3.3,0.8,0,1.3,0.8,0.8,0.2
85147,3811,0.2,261,31.7,47,7.1,5.7,15.7,12,3.1,10,2.7,2.8,4.3,0.8,0.35,0.65
85172,1636,0,843,32.7,56.4,13.9,0,6.2,6.2,4.6,6.2,0,0,1.6,0,0.5,0.5
85173,2947,0.7,638,43.9,34.3,4.5,10.3,29.6,27.5,6.3,19.2,3.3,3.6,9.7,2.9,0.66,0.34
85192,1675,0.4,470,51,22.5,2.6,15.6,38.1,33.1,6.5,22.5,10,4.2,6,1,0.89,0.11
85193,4408,1.2,609,35.9,42.8,7.3,4.6,19,17.3,6.4,14.4,4.8,1.5,3.2,0.3,0.69,0.31
85194,7188,2.2,854,53.3,25.3,3,8.5,43.3,40.9,10.5,34.8,11.4,7.1,12.9,3.5,0.82,0.18
85201,51817,2.3,855,30.6,48.6,7.9,4.2,13.9,12.6,2.5,9.7,2.1,1.9,5.1,1.2,0.34,0.66
85202,38780,3.2,926,31.3,51.3,7.9,4.6,15.2,13.2,4.1,10.6,2.9,1.6,3.6,0.7,0.44,0.56
85203,37773,0.9,967,33.2,41.9,7.1,4.9,15.7,13.9,3.8,10.7,2.8,1.9,4.2,1.4,0.55,0.45
85204,66891,1.8,948,31.6,44.3,7.8,4.7,14.8,12.7,3.8,10.2,2.2,1.6,4.2,1.2,0.55,0.45
85205,41686,1.2,891,49.6,29.5,5.5,7.9,35.1,31.7,8.4,27.2,6,4.9,12.8,4.2,0.69,0.31
85206,36379,1.4,959,45,33.6,5.7,4.8,34.1,32.2,6.6,29.2,6.1,6.1,16.5,4.9,0.64,0.36
85207,48405,1.2,1161,42.2,34.1,4.9,6.4,24.2,21.3,6.4,17.8,4.2,3,7.1,2.1,0.78,0.22
85208,37158,1.2,845,47.4,33,4.3,6,34.2,31.6,7.5,28.3,6.6,5.6,14.2,4.1,0.75,0.25
85209,41052,2.5,1043,42.9,34,5.9,5.2,31.3,29.3,6.8,26.1,6.2,6.3,13,4,0.74,0.26
85210,39712,1.7,885,30.6,47.4,9.4,4.8,11.7,9.7,2.6,6.9,2.1,1,2.2,0.6,0.4,0.6
85212,31494,3.6,1548,31.4,43.7,7,4.4,11.8,10.1,3,7.3,2.1,1.4,2.2,0.5,0.79,0.21
85213,35148,2,1078,38.2,37.7,5.5,6.1,23.4,20.8,6,17.4,4.6,3.1,6.8,1.8,0.73,0.27
85215,16270,2.7,1012,55.8,23.8,3.9,7.9,42.2,39.6,7.7,34.3,8,7.6,18.5,6.3,0.82,0.18
85224,44000,7.7,1212,34.1,46.9,8.9,5.2,15,12.4,3.9,9.8,2.2,1.3,3.7,1.3,0.54,0.46
85225,70587,5.5,1074,32.8,46.4,7.5,4.4,13.2,11.4,3.6,8.9,1.8,1.6,3.5,1.1,0.55,0.45
85226,37781,9.9,1269,35.7,43.5,8.2,6.1,14.2,11.6,3.6,8.1,1.9,1.1,2.6,0.7,0.6,0.4
85233,35556,7.2,1331,36.4,42.5,8.3,4.5,15,13.5,4.2,10.4,2.6,1.8,3.6,1.2,0.67,0.33
85234,50706,5.2,1359,34.2,40.9,7,5.4,14.8,12.6,4.1,9.4,2.2,1.2,3.1,0.6,0.7,0.3
85248,32646,8.4,1055,59.8,22,2.9,7.3,49.7,46.9,10.6,42.3,10.5,8.9,21.3,6.5,0.79,0.21
85249,38586,9.9,1768,40.3,33.7,4.1,5,20.1,18.3,5.2,15.1,3.7,2.9,6.2,1.9,0.86,0.14
