Zip Code,Total population,Asian percent,MONTHLY HOUSING COSTS - Median,Median age,Percent - 15 to 44 years,Percent - 30 to 34 years,Percent - 60 to 64 years,Percent - 60 years and over,Percent - 62 years and over,Percent - 65 to 69 years,Percent - 65 years and over,Percent - 70 to 74 years,Percent - 75 to 79 years,Percent - 75 years and over,Percent - 80 to 84 years,Owner-occupied housing percentage,Renter-occupied housing percentage
85624,1390,0.3,477,51.9,25.9,2.9,9.2,39.8,36.1,11.4,30.6,4.1,4,15.1,6.2,0.72,0.28
85625,2053,0,573,59.1,18.7,2.4,9.3,48.4,45.7,14.8,39.1,8.4,8.1,15.9,5.6,0.89,0.11
85626,1172,0,382,32.9,39.4,3.8,6,17.4,11.4,3.1,11.4,3.3,3.9,5,1.1,0.78,0.22
85627,1187,0,954,44.2,32,3.5,9.9,26.5,23.4,7.3,16.7,3.5,3.1,5.9,1.6,0.78,0.22
85629,25500,2.4,1261,34.1,40.3,7.3,4.5,15.7,13.7,3.9,11.2,3.3,2.1,4,1.1,0.82,0.18
85630,2418,0,604,50.1,25,4.2,10.6,36,31,7.9,25.4,8.5,4.5,9.1,4.6,0.91,0.09
85631,3719,0,606,46.8,27.1,4.2,7.7,30.8,26.8,6.5,23.1,6.4,2.6,10.1,4.2,0.72,0.28
85632,759,0.5,413,53.7,23.7,4.1,10,40.8,37,12.8,30.8,10,3.2,8,2.1,0.81,0.19
85634,6409,0.6,325,27.3,45,4.6,4.7,14.4,12.4,4.4,9.7,2.8,1.5,2.5,0.7,0.63,0.37
85635,33574,3.5,888,37.1,37.1,7.7,6,24.3,22,5,18.3,4.5,3.6,8.8,3,0.54,0.46
85637,1313,0.8,1026,58.2,25.7,2.6,9.4,48.2,45.3,11.2,38.8,8.7,10.6,18.9,5.5,0.91,0.09
85638,1991,0,524,57.3,21.9,1.6,10,46.7,44,12.4,36.7,13.5,7.9,10.8,1.8,0.75,0.25
85641,25657,1.5,1330,37,36.7,6.5,5.2,17.5,15.7,6.4,12.3,2.5,1.2,3.4,1.4,0.88,0.12
85643,8239,0.3,644,36.5,38.1,8.5,6.3,24.5,22.1,6.1,18.2,5.8,3.2,6.3,2.3,0.67,0.33
85645,2235,0.2,642,41.9,31.2,4.5,8.5,28.2,24.8,8.9,19.6,6,3.5,4.8,0.3,0.84,0.16
85648,18992,0.6,899,33.3,40.5,6.3,5.3,16,13,4.5,10.7,2.2,2,4,1,0.79,0.21
85650,15136,3.4,986,51.2,25.2,3.7,8.8,35.8,32,8.9,27,5.4,6.2,12.7,3.9,0.88,0.12
85653,16405,1.6,887,36.1,37.5,8.1,7.1,20.8,18.8,5.9,13.7,3.6,1.8,4.2,1.4,0.81,0.19
85658,10683,3.2,1399,56.9,22.4,4,10,44.4,40,12.8,34.5,10.6,6.8,11,2,0.84,0.16
85701,5286,3.9,833,33.9,51.7,9.9,5.7,15.8,12.7,3.2,10.1,3,1.9,3.9,1,0.28,0.72
85704,31795,3.9,933,46.6,34.8,4.7,7.4,33.7,30.7,7.2,26.3,5.2,4.7,13.9,4,0.57,0.43
85705,55463,3.9,656,34.6,45.4,5.8,5.5,19.2,17,4.5,13.8,3.9,2.4,5.4,1.4,0.44,0.56
85706,55691,0.9,720,28.3,45.2,6.4,4.2,12.6,10.4,2.8,8.4,2.4,1.4,3.2,0.9,0.58,0.42
85708,4187,8.9,1205,23,55.2,9.1,0.6,1.7,1.4,1.1,1.1,0,0,0,0,0.02,0.98
85710,56168,3.3,837,41,37.5,6.6,6.1,27.5,25.2,5.5,21.5,4.2,3.4,11.7,3.7,0.52,0.48
85711,39451,3.4,781,35.6,41.2,7.3,6.9,21,18.3,4.8,14.1,3.1,2.4,6.3,1.8,0.46,0.54
85712,33239,3.2,768,40.8,39.9,8.2,7.2,25,22.3,4.9,17.9,4.3,3.3,8.7,2.3,0.37,0.63
85713,46071,0.7,698,36.4,40.5,6.4,6.1,22.1,19.7,5,16,3.8,2.9,7.2,2.4,0.61,0.39
85714,14683,0,633,31.4,40,4.9,5.4,19.5,17,3.9,14.1,3.3,3.5,6.9,1.7,0.53,0.47
85715,17066,2.3,1028,49.2,32.1,5,7.5,33.4,30.3,7.7,25.9,5,6.2,13.2,3.4,0.69,0.31
85716,31134,4.8,786,37,45.7,7.9,6.6,21,18.2,5.6,14.4,3.7,2.3,5.1,1.5,0.4,0.6
85718,26262,6.1,1131,51.3,30.1,4.4,8.7,37.3,33.2,10.1,28.6,6.6,4.4,11.9,3.7,0.7,0.3
85719,47503,6.3,834,23.1,72.5,6,3.5,10.3,8.8,2.3,6.8,1.4,1.2,3.2,0.6,0.26,0.74
85730,39055,2.8,909,38.5,38.4,7.6,6.7,22.6,20,5.3,15.9,4.3,3,6.3,2.1,0.67,0.33
85735,11108,0.9,755,46,32.4,5.4,7.8,27,23.7,4.6,19.2,5.9,6,8.7,1.7,0.84,0.16
85736,4998,0.8,683,46.4,33.8,6.1,9.2,29,25.6,5.7,19.8,9.1,2.5,5,1.7,0.84,0.16
85737,21293,3.9,1284,51.4,28.3,3.2,8.9,35.5,31.9,8.6,26.7,7.1,4.8,11,3.5,0.73,0.27
85739,18474,0.4,729,65.6,17.4,2.1,9.8,61.8,58.4,15.1,52,14.6,12.8,22.3,6.2,0.91,0.09
85741,35149,1.8,1048,34.7,43.2,7.1,5.9,19,16.4,4.7,13.1,3.7,2.1,4.8,1.4,0.57,0.43
85742,26868,2.7,1197,39.2,37.7,6.1,6.5,21.5,18.8,6.1,15.1,3.4,2.8,5.5,1.3,0.76,0.24
85743,29552,3.7,1200,40.8,36.3,5.5,5.7,23.2,21.4,5.8,17.5,5.3,3.4,6.4,2,0.82,0.18
85745,38005,3.4,967,39.5,40.7,5.7,7.8,25.4,22,6.3,17.7,4.2,3.2,7.3,2.1,0.59,0.41
85746,43873,0.7,903,32.6,41.7,6.3,5.3,17.7,15.5,3.8,12.3,3.6,2.2,4.9,1.6,0.68,0.32
85747,25077,2.6,1332,34.4,41.6,6.5,4.3,14.2,12.4,3.6,9.9,2.5,1.9,3.8,1,0.76,0.24
85748,17727,4,1169,45.2,34.9,4.5,7.8,28.8,25.6,8.1,21,6.1,3.6,6.9,1.6,0.73,0.27
85749,19121,2.4,1354,52.4,25.4,4,9.1,35.3,31.8,10.1,26.2,6.6,4.5,9.5,2.6,0.82,0.18
85750,24207,6,1125,52.7,27,3.2,8.6,38.8,35.5,9.7,30.3,7.3,6.3,13.3,3.7,0.7,0.3
85755,16143,2.4,1269,56.8,23.6,2.3,8.3,45,42.6,8.3,36.7,9.7,8.1,18.8,5.5,0.88,0.12
85756,40965,1.2,884,33.4,47.5,9.9,4.1,15.1,13.2,3.6,11,2.6,1.9,4.7,1.5,0.73,0.27
85757,19264,0.9,1049,30.5,45.3,7.9,3.6,12,10.7,2.8,8.4,2.1,1.5,3.5,0.7,0.78,0.22
85901,18279,0.6,794,41,33.2,5.2,8.2,29.5,26.1,7.2,21.2,5,5.3,9,2.1,0.67,0.33
85911,2293,2.7,305,23.2,38.8,5.8,1.4,5.7,4.4,2.5,4.4,0.4,1.1,1.5,0,0.59,0.41
85920,309,0,732,57.1,15.9,3.6,11.3,42.4,37.5,17.8,31.1,6.8,5.5,6.5,1,0.82,0.18
85924,2668,1.6,396,57.9,18,3.1,11.4,47,43.7,12.3,35.6,4.2,9.4,19.2,4.9,0.96,0.04
85925,4936,0,735,34.1,30.1,5.6,8.4,27.3,25,6.3,18.9,6.4,4.3,6.2,1.8,0.76,0.24
85929,7085,0.2,768,51.6,25.9,4.2,7,36.7,34.1,8.6,29.7,11.2,5.6,10,1.2,0.68,0.32
85930,1340,0,643,24.1,47.8,12.7,3.5,5.6,2.8,1.6,2.1,0.2,0.2,0.3,0,0.49,0.51
85933,2690,0.6,674,58.4,17.4,2.7,14.3,47,41.5,12.8,32.7,10,2.4,10,5.2,0.75,0.25
85935,4963,0.2,805,46.9,26.8,6.7,8.1,34.5,30.7,6.7,26.4,10.5,4.5,9.2,2.8,0.79,0.21
85936,4520,0,809,37.1,45.5,6.4,6.6,18.8,15.9,6,12.2,2.6,1.4,3.5,1,0.8,0.2
85937,7827,0,681,38.8,31.6,4.5,5.3,25.4,22.8,6,20.1,7.5,2.6,6.6,1.7,0.81,0.19
85938,2042,0.1,624,41,33.4,6.1,9.9,25.1,19.5,8.2,15.2,2,2.3,5,1.4,0.76,0.24
85939,4215,0.6,568,46.4,36.9,4.3,10.1,30.2,24,5.9,20.1,5.2,4.7,9,1.8,0.7,0.3
85940,971,0,522,59.3,20.5,5.7,15,48.2,37.3,12.6,33.2,6.4,10.9,14.2,0,0.96,0.04
85941,10968,0.4,250,26.8,41.3,6,4.1,11,8.9,2.7,6.9,1.4,1.6,2.8,0.6,0.61,0.39
86001,44819,3.3,1207,28.6,55.6,6.8,5.5,14.6,12.4,3.9,9,2.3,1.1,2.9,0.9,0.48,0.52
86004,36186,1,1177,34.1,41.1,7.1,6.2,17.5,14.8,4.3,11.3,3.4,2,3.5,0.6,0.61,0.39
86011,8471,4.3,625,19.1,99.9,0,0,0,0,0,0,0,0,0,0,0,1
86018,879,1.3,632,58.8,18.5,2.3,19.7,44.7,33.6,6,25,7.4,10.2,11.6,0,0.83,0.17
86020,2213,0,196,28.9,39.9,5.5,4.6,16.9,15.7,3,12.3,3.4,2.3,5.9,1.7,0.85,0.15
86021,6325,0,860,16.4,37.8,7.7,1.4,5.1,4.7,1.2,3.7,1,0.7,1.5,0.3,0.24,0.76
86022,2209,0,582,32.9,39.3,4.8,4.7,17.3,15.7,4.6,12.6,4.7,1.8,3.3,1,0.64,0.36
86023,1830,4.4,461,49,43.6,8.4,8.3,15,7.7,5,6.7,1.4,0.2,0.2,0,0.08,0.92
86024,585,0,663,66.4,8.9,0,11.6,66.8,63.1,26.3,55.2,20.2,6.8,8.7,1.4,0.93,0.07
86025,5552,1.8,647,35,39.5,6.8,5.9,20.2,18.2,6.1,14.3,3.8,2.1,4.5,1.6,0.65,0.35
86030,1717,0.5,234,32.1,39.2,9.1,3.3,18,16.9,5.9,14.7,3.2,3.1,5.6,0.9,0.87,0.13
86031,1830,0,181,40.2,34.9,2.7,4.9,22,19.5,4.6,17.1,4.6,3.7,7.8,2,0.78,0.22
86032,1396,0.1,659,27.6,35.3,5.2,3.9,15.7,14.9,3,11.8,3.1,2.1,5.7,2.4,0.73,0.27
86033,7130,0.5,351,29.4,44.2,6.6,4.7,13.8,12.3,3.1,9.1,2,1.7,4,1.4,0.57,0.43
86034,2096,0.3,242,35.4,38.4,4.6,6.5,18.2,15.8,3.6,11.6,2.2,1.5,5.9,1.7,0.62,0.38
86035,2061,1.4,201,35.3,38.1,4.4,5.7,21.3,19,4.9,15.6,4.3,2.8,6.4,2.4,0.77,0.23
86036,399,0,-,50.8,24.6,1,18.5,30.8,14,6,12.3,5,0,1.3,0,0.7,0.3
86039,1218,0,261,34.5,37.2,4.8,6.2,21.2,19.3,3.2,15,4.8,3.2,7.1,2.1,0.84,0.16
86040,10752,0.6,775,29.3,46.3,6.8,3.5,10.9,9.5,2.4,7.4,1.5,1.5,3.5,1.3,0.68,0.32
86042,2161,3.5,380,30.6,41.8,7.5,3.9,13,10.8,4.7,9.1,3.1,0.5,1.3,0.8,0.64,0.36
86043,2762,0.3,224,26.6,40.3,4.1,4.5,12.9,10.2,2.1,8.4,2.9,1,3.4,1.1,0.86,0.14
86044,3707,0.1,205,28.7,36.7,5.4,4.8,17.7,15.5,2.7,12.9,3.2,2.3,7,3,0.84,0.16
86045,11885,1.1,390,30.5,42.8,6.7,4.8,14.1,12.1,2.9,9.3,2.1,1.4,4.4,1.6,0.65,0.35
86046,5535,0.5,948,51.3,27.1,7.3,8.9,29.3,26.5,10,20.4,6.4,1.9,4,0.8,0.74,0.26
86047,15318,0.3,474,33,44.4,7.4,4.6,16,14.2,3.4,11.4,2.5,2.1,5.4,2,0.6,0.4
86053,2441,0,290,26.4,40.8,6.3,3.7,13.4,11.3,3.2,9.6,2.5,1.8,4,1,0.78,0.22
86054,1647,0,201,37.1,37,7,8,23.4,20.4,6.2,15.4,3.8,1.9,5.4,2.4,0.72,0.28
86301,22147,1.9,878,54,28.7,3.9,7.8,41.7,38.5,9.6,33.9,8.6,6.2,15.6,4.8,0.64,0.36
86303,17430,0.9,792,57.2,24.6,3.8,9.6,45.6,41.9,11.5,36.1,9.7,6,14.9,5,0.7,0.3
86305,17956,1.1,941,59.1,23.6,3.7,10.6,48.6,44.6,11.2,38,10.7,7.2,16.1,4.6,0.79,0.21
86314,37997,1.1,899,41,32.9,6,6.5,25.9,23.7,6.7,19.4,4.9,3.9,7.7,1.8,0.58,0.42
86315,7631,2.3,1317,48.6,28.3,5.3,7.9,33.8,31.6,6.5,25.9,9.1,5.2,10.4,2.2,0.89,0.11
86320,2064,0,400,50.3,27.2,1.7,6.7,31.5,28.8,10.9,24.8,8.3,3.3,5.6,1.7,0.83,0.17
86321,2091,0,470,32.8,44,6.9,3.5,11.6,9.9,3.1,8.1,1.3,2.6,3.6,1.1,0.2,0.8
86322,11723,0.1,729,45.7,32.6,4.4,9.4,30.8,27.5,8.2,21.5,5.4,2.8,7.8,2.8,0.71,0.29
86323,15435,1.4,901,52.8,25.2,3.9,12.2,38.3,33.2,10.2,26,6.3,4.7,9.5,2.7,0.79,0.21
86324,4316,1.3,961,59.8,11.2,0.2,10.3,49.2,45.3,14.2,38.9,7.9,6.1,16.8,8.2,0.64,0.36
86325,5280,0,1052,59.7,21,5.9,13.7,49.6,43.5,8.9,35.9,12.5,8.6,14.5,3.8,0.86,0.14
86326,24848,0.3,873,46.6,30.3,4.8,8.8,34.2,31.7,7.2,25.4,6.3,5.5,12,2.8,0.64,0.36
86327,9571,0.2,791,60.8,19.8,3.6,12,51.9,46.5,13.8,39.9,11.3,6.6,14.8,3.8,0.87,0.13
86329,1125,2,795,40.3,38.8,12.1,6.6,18.7,17.4,11.3,12.1,0.8,0,0,0,0.9,0.1
86331,521,0,1146,57.3,21.7,7.1,16.5,34.2,29.9,9.8,17.7,0,4.6,7.9,2.7,0.77,0.23
86332,1683,0,582,59.6,20.3,4.2,7.6,49.3,45.9,13.8,41.7,9.9,9.6,18,4.7,0.81,0.19
86333,6759,0.9,610,46.8,35.8,1.8,8,31.8,28.3,6.2,23.8,6.4,3.6,11.2,3.9,0.83,0.17
86334,4847,1.4,835,39.5,37,10.8,10.4,24.3,18.2,6.4,13.9,1.5,4,6,0,0.7,0.3
86335,5143,0,849,54.8,31.2,7.1,13.9,37.1,31.1,8.4,23.2,9.5,4.1,5.3,0.4,0.63,0.37
86336,11694,2,1156,59.4,22,3.4,13.1,48.9,43.4,12.2,35.8,10.5,5.3,13.1,3.8,0.74,0.26
86337,1215,0,446,53.8,24.8,4.8,12.3,39.9,34.2,7.7,27.6,9.3,6.9,10.5,2.6,0.71,0.29
86351,6734,0.8,1169,63.9,20.2,1.6,15.1,59.7,55.2,17.6,44.5,11.8,4.6,15.1,3.8,0.69,0.31
86401,24893,1.8,769,46.3,32.9,5.1,7.2,31.3,28.6,8,24,5.9,5,10.2,2.8,0.72,0.28
86403,17185,0.5,811,46.9,34.4,6.9,8.1,32,28.8,6,23.8,6.7,5.9,11.1,3.2,0.57,0.43
86404,17042,1.2,824,56.5,23.5,4.2,9.6,44.4,40.4,12.7,34.8,9.5,5.1,12.7,5,0.72,0.28
86406,23095,1.4,912,55.6,25.1,4.9,9,44.4,40.8,11.3,35.4,8.1,7.1,16.1,4.8,0.76,0.24
86409,27752,1,610,46.3,32,4,7.3,31.5,28.6,7.4,24.3,5.7,5.5,11.2,2.9,0.71,0.29
86411,188,0,475,61.9,20.2,0,28.7,61.7,48.4,17,33,1.6,4.8,14.4,9.6,0.93,0.07
86413,13010,1.3,502,52.6,30.7,3.4,8.7,37.5,34.8,9.5,28.8,9.3,4.7,9.9,3.1,0.85,0.15
86426,14084,1.5,858,50,28.9,5.1,6.9,35.5,32.9,11,28.6,6.5,5.3,11.1,3.2,0.72,0.28
86429,7708,1.2,741,58.3,23.1,4.3,10.9,46.8,42.8,10.5,35.9,10.8,7.4,14.6,3.1,0.52,0.48
86432,3700,0,355,54.5,24.9,4.2,5.2,36.6,32.5,11.1,31.4,11.2,7.7,9.1,1.4,0.74,0.26
86434,1572,0.1,342,31.4,41.9,13,5.7,16.1,13.1,3.2,10.4,2,2,5.2,1,0.51,0.49
86438,1002,0,383,61.4,12.5,0,14.1,55,44.4,15.7,40.9,12.9,10.5,12.4,1.9,0.83,0.17
86440,7208,0.4,612,54.6,26.7,4.2,9,38,35.6,8.8,29.1,7.9,4.3,12.4,4.4,0.67,0.33
86441,2650,0,309,56.7,19.5,0.8,5.3,44.7,44.1,18.6,39.4,6.9,3.1,14,7.3,0.77,0.23
86442,33290,2,686,50.1,29.4,4.9,7.4,35.2,32.4,8.5,27.8,8.1,6.3,11.2,3.2,0.59,0.41
86502,1332,0.2,174,30.4,29.1,3.1,4.3,19.2,17.9,2.9,14.9,3,2.3,9.1,4.7,0.92,0.08
86503,11553,0.1,234,25.9,41.1,5.1,3.8,12.4,10.7,3.1,8.6,2.2,1.4,3.3,0.7,0.67,0.33
86504,7001,0,273,34.2,43.3,6.9,5.1,17.2,14.9,5.7,12.2,2.9,1.4,3.5,1,0.66,0.34
86505,7880,0.4,199,33.8,38.6,5.3,4.7,18.6,16.5,3.8,13.9,3.6,2.8,6.5,1.6,0.83,0.17
86506,1208,0,147,39,40.5,4.2,7.2,19,15.4,4,11.8,4.5,1.7,3.4,0.9,0.85,0.15
86507,2481,0,201,28.6,43.4,8.2,4.4,13.5,12,3.1,9.1,2.6,1.7,3.5,0.5,0.93,0.07
86508,822,0,159,39.4,41.7,5,5.7,20.3,16.9,3.8,14.6,3.4,3.6,7.4,1.8,0.96,0.04
86510,4741,2.1,312,28.4,38.1,4.9,4.2,16.1,14.3,3.7,11.9,2.5,2.4,5.7,2.3,0.83,0.17
86511,3640,1,195,38,41.3,7.7,9,20.7,16,4,11.7,2.5,2.3,5.2,1.4,0.93,0.07
86512,2634,2.5,222,29.5,39.3,5.6,4.9,16.3,14.7,3,11.4,3.9,2.1,4.5,1.1,0.71,0.29
86514,2734,0.2,204,37.6,40.6,4.3,4.5,21.6,19.9,5.3,17.1,3.8,3.4,8,3.1,0.81,0.19
86515,4933,0.9,337,33.8,38.9,6.4,6.9,18.7,16.5,3.9,11.8,3.4,2,4.5,0.9,0.56,0.44
86520,1882,0,216,30.5,38.4,4.3,3.9,14.9,13.7,2.8,11.1,2.9,2.6,5.3,1.6,0.87,0.13
86535,1260,0,181,31,41,4.4,2.7,12.6,10.6,3.4,9.9,1.1,1.6,5.4,1.9,0.96,0.04
86538,2080,0.1,210,28.9,40.3,6.9,3.6,13.1,11.8,3.1,9.6,2.5,2.4,3.9,1,0.68,0.32
86540,1042,0,160,30.7,34.4,5.6,5.6,22.5,20.2,6,16.9,2.9,2.4,8,3,0.87,0.13
86544,1129,0,193,32,42.2,4.2,6,18.3,16.4,3.1,12.3,2.7,2.6,6.6,1.1,0.84,0.16
86545,1436,0,159,29,37.2,4.5,4.5,18,15.6,3.8,13.5,2.7,2.6,7,3.1,0.9,0.1
86547,1185,0,169,35.2,37.3,2.4,6.2,20.3,17.6,6,14,3,2.3,5,0.9,0.96,0.04
86556,1956,0.4,211,23.5,46.6,1.9,2.9,10.4,8.8,3.3,7.5,1.9,0.3,2.3,1.7,0.6,0.4
87305,3553,0,230,39,42.6,6.2,8.4,16.6,11.8,1.9,8.2,3,1,3.2,1.6,0.89,0.11
87327,9505,1.3,264,32.1,43.2,6.5,4.7,13.8,11.7,3.6,9.1,2.4,1,3.1,1.2,0.81,0.19
87328,2674,0.2,304,28.6,35.8,6.8,4.7,15.5,13.2,3.4,10.8,2.9,1.5,4.4,2.4,0.49,0.51
