Zip Code,Total population,Asian percent,MONTHLY HOUSING COSTS - Median,Median age,Percent - 15 to 44 years,Percent - 30 to 34 years,Percent - 60 to 64 years,Percent - 60 years and over,Percent - 62 years and over,Percent - 65 to 69 years,Percent - 65 years and over,Percent - 70 to 74 years,Percent - 75 to 79 years,Percent - 75 years and over,Percent - 80 to 84 years,Owner-occupied housing percentage,Renter-occupied housing percentage,Fy 2017 Sales,Fy 2018 Sales,FY 2019 Sales
75236,18542,4.2,920,28.1,45.2,7.9,2.8,9.2,8.2,2.1,6.4,1.6,1.2,2.6,0.8,0.34,0.66,56450,116800,110000
75237,20295,1.1,811,27.2,46.7,7.9,3.9,9.6,7.5,2,5.7,0.9,1.3,2.8,0.9,0.15,0.85,82600,95900,123450
75238,33009,5.9,979,33.4,41.9,7.8,4.2,15,13.2,3.1,10.9,2.4,1.7,5.4,1.6,0.49,0.51,145000,413800,429300
75240,27875,5.2,970,29.4,49.7,8.6,3.1,11.4,9.7,2.7,8.3,1.7,1.7,3.9,1,0.23,0.77,164000,261900,275150
75241,29398,0,739,36,40.3,5.3,5,20,17,3.9,15,4.3,3.6,6.8,2.1,0.59,0.41,110000,172800,177900
75243,67445,6.3,867,31.2,49.9,10.3,3.9,11.4,9.6,3.2,7.5,2.1,0.7,2.2,0.6,0.24,0.76,239200,278800,356750
75244,13613,6,1405,38,43.5,9.2,5.4,19.5,16.9,4.1,14.1,3.5,2.5,6.4,2.5,0.5,0.5,269000,250000,184000
75246,2276,1.8,707,35.3,47.8,14.5,6.9,22.5,20.7,7.2,15.6,3.9,2.2,4.5,1.5,0.15,0.85,33700,46100,62350
75248,35464,5.6,1275,42.1,38.9,8,7.4,25.7,22.3,5.6,18.3,4.9,3.3,7.8,2.6,0.53,0.47,160250,200400,213000
75249,16100,3.7,1315,33.3,44.6,8.4,5.5,13.3,10.9,4,7.9,2.6,0.9,1.3,0.2,0.78,0.22,6000,12000,12650
75251,2368,9.7,1297,36.3,53.9,9.8,3,27.5,25.6,2,24.5,4.4,1.1,18.1,4.4,0,1,42000,45000,64900
75252,26493,19.1,1094,34.5,46.9,10.1,5.7,19.1,16.3,4.3,13.4,3.5,2.1,5.6,1.8,0.4,0.6,163650,229600,255850
75253,22721,0,821,27.9,47.3,8.6,3.4,7.4,5.9,1.8,4,1.2,0.5,1,0.2,0.66,0.34,71000,139150,145550
75254,26602,4.4,1060,30.8,49.3,12.3,3,10.3,9.1,3,7.3,1.7,1.2,2.6,0.5,0.18,0.82,135000,196500,294700
75287,53903,6.7,1017,32,56.2,12.9,4.2,10,8,3,5.8,1.5,0.5,1.4,0.5,0.2,0.8,312150,421100,351000
75401,18830,0.7,755,32.6,40.4,8.4,5,17.5,15,2.9,12.5,2.9,2.5,6.8,1.8,0.53,0.47,82800,132500,141200
75402,16931,0.9,912,40.2,35.6,6,7.1,25.3,22.7,7.2,18.3,3.6,3.6,7.6,2.5,0.71,0.29,276000,347450,328000
75407,16367,1.2,1003,34.2,43.8,8.2,4.2,15,12.7,3.8,10.8,3.9,2.1,3.1,0.6,0.68,0.32,96350,138000,186000
75409,14010,3.5,1352,32.2,42,8.9,3.2,11.7,9.7,3.1,8.5,2.9,0.8,2.6,1.3,0.74,0.26,99000,136950,112250
75414,3184,1.7,900,43.5,31.8,6.3,9,25.6,21.3,2.7,16.6,5.9,2.6,8,2,0.85,0.15,12000,29000,39000
75416,2887,0.2,547,34.5,40.4,5.5,4.6,18.4,17,4,13.9,3.9,2.5,6,1.6,0.78,0.22,0,13000,13000
75417,2691,0,525,42.8,31.7,3.6,5.2,26.8,25.4,5,21.6,6.8,5.8,9.8,1.6,0.81,0.19,0,12000,4000
75418,14318,0.8,706,42.3,38.3,7.6,5.7,25.6,22.9,6.3,19.9,4.7,3.6,8.8,2.2,0.69,0.31,137000,233250,226300
75421,898,0,818,41.9,32.2,1.4,5.1,23.8,19.5,12.9,18.7,4.2,0.7,1.6,0.9,0.75,0.25,0,1000,0
75422,2946,1.3,692,45.8,30.7,3.6,6.9,25.4,22.6,6.4,18.5,4.7,2.8,7.5,1.6,0.86,0.14,6000,14000,8000
75423,2749,0.3,780,50,29.7,2.5,7.6,27.8,24.2,7.3,20.2,6.9,2.6,5.9,1.9,0.85,0.15,9000,13000,18000
75424,3765,0.6,1016,37.4,34.9,4.7,5.9,18.9,15.8,4.3,13,2.7,1.6,6,2.3,0.84,0.16,8000,16000,19000
75426,4953,0,482,48.9,37,4.7,7.1,32.9,30.8,7.3,25.9,7.2,4.6,11.4,2.5,0.67,0.33,11000,31050,63000
75428,10802,6,728,26.6,54.6,3.2,4.1,16.2,14.4,5.3,12.1,2.5,1.8,4.3,1,0.48,0.52,54650,99600,70900
75431,2356,0.5,581,41.5,31.7,7.9,5.6,25.2,23.4,6.3,19.6,3.6,2.8,9.7,5,0.69,0.31,0,0,0
75432,3519,0.7,659,39.2,36.5,5.6,5.9,26.3,22.4,5.6,20.4,5.9,2.5,8.9,3,0.67,0.33,14000,110000,100000
75433,2752,0.1,714,46.8,31.5,6.6,5.1,26.9,25,6.4,21.7,6.1,2.6,9.2,4.6,0.81,0.19,18000,13000,12000
75435,1374,0,460,39.3,40.1,6.8,5.7,25,20.7,6,19.3,6.8,1.5,6.4,3,0.67,0.33,2250,2000,2000
75436,1923,0,502,37.4,34.5,8.6,5.7,26,23.3,8.2,20.3,4.8,3.3,7.2,2.6,0.72,0.28,0,1000,0
75439,932,3.1,844,37.8,39.8,3.3,3.6,15.5,14.5,5,11.8,3.8,1.9,3,0,0.64,0.36,0,1000,1000
75440,6201,0,669,49,28.9,6.1,5.2,32.9,30.8,9.3,27.6,7.6,6.5,10.8,3.3,0.8,0.2,68650,137550,115300
75442,9848,0.6,984,41.6,35,7.4,6.3,21.3,17.9,4.2,15,4.8,2.5,6.1,1.1,0.69,0.31,66500,139900,90000
75446,3553,0.4,635,40.3,36.6,6,5.8,25.2,21.6,7.3,19.4,3.6,2.5,8.6,2.5,0.77,0.23,5000,4000,7000
75449,1484,1.7,566,35.5,35.8,5.3,6.4,20.7,18.7,4.2,14.3,4.3,2.3,5.7,2.7,0.72,0.28,2000,17000,11000
75452,4306,0,737,38,35.3,5.5,4.4,20,17.6,5.4,15.6,4.4,3.2,5.8,1.6,0.74,0.26,13000,22600,26250
75453,3102,0,719,46.7,34.3,3.6,10.3,28,23.8,3.6,17.7,5,4.9,9.1,3.9,0.8,0.2,6000,15000,17450
75454,8807,4.8,1757,35.8,45.5,5.1,2.6,10.9,10,4.4,8.3,1.9,0.9,2,1.1,0.84,0.16,60500,91800,100950
75455,28560,0.9,689,34,38.9,5.9,5.1,18.7,16.4,4.2,13.6,3.6,2.4,5.8,1.8,0.65,0.35,274700,602250,513750
75457,6131,0.1,752,40.3,35.1,6,4.8,24.4,23,6.5,19.6,5.1,3.8,8,2.7,0.71,0.29,58900,77800,85150
75459,5207,3.7,826,38.9,36.7,6,2.7,20.4,19.3,6.1,17.7,3.3,3.1,8.3,2,0.76,0.24,45000,66400,48000
75460,22226,1.3,610,38.7,37.6,5.4,6,23.5,21.2,5.1,17.5,4.1,3.3,8.4,2.7,0.5,0.5,188400,406350,394100
75462,11691,1.3,857,42.2,34.3,5.6,6.4,26,23.5,4.6,19.6,5.9,4.5,9,2.4,0.74,0.26,124550,145650,134000
75472,3931,0.2,631,42.2,34.7,4.8,8.6,27.4,22.5,7.8,18.8,5.3,3,5.6,1.7,0.71,0.29,30000,30850,18100
75473,3879,0,651,42.9,32.1,5.3,6.4,26,23.4,6.3,19.5,7.6,3.1,5.7,0.8,0.85,0.15,6000,1000,9000
75474,15047,0.5,659,45,33.7,4.6,6.6,25.3,21.9,6.6,18.8,4.4,3.8,7.8,2.2,0.76,0.24,127000,187050,273000
75479,1859,0,560,46.3,34.5,4.7,7.8,30.8,27.9,4.7,23,4.5,2.4,13.8,5,0.79,0.21,6000,22000,16000
75480,1814,0,818,47.3,34.3,0.9,10.3,36.8,35.3,5.9,26.5,5.6,7.8,14.9,5.7,0.87,0.13,2000,0,0
75482,24802,0.9,719,37.9,36.7,6.2,5.1,22.4,19.7,5.5,17.3,4,3.4,7.8,2.8,0.65,0.35,219500,456000,477600
75487,1688,0.3,487,39.8,38.3,1.9,10.6,22.5,18.7,4.3,11.9,3.6,2,4,1.5,0.77,0.23,0,2000,1000
75489,1061,0.6,912,36.9,40.3,4.1,6.3,20.1,18.5,3.9,13.8,5,1.1,4.9,2.2,0.65,0.35,2750,4000,6000
75490,2399,1.2,940,39.1,35.3,9.8,7.7,23.6,20.7,5.7,15.8,4.5,3,5.6,1.7,0.86,0.14,16000,21000,30000
75491,5646,0.1,840,40.8,34.4,6.8,6.8,19.9,17,5.3,13.2,4,2,3.8,1.3,0.75,0.25,30000,30500,30000
75493,532,0,522,22.3,38.5,5.8,2.6,6.2,5.1,3.4,3.6,0,0,0.2,0.2,0.72,0.28,0,1000,6000
75494,9931,0.1,619,42.6,34.2,5.2,5.3,26.6,24.9,6.1,21.4,5.3,3.9,10,1.9,0.78,0.22,50000,74100,65900
75495,7797,0.2,1086,39,39.2,6,5.8,20.1,16.9,4.7,14.3,4,2.9,5.5,1.2,0.79,0.21,45000,65000,77000
75496,3436,0.3,636,41.8,31.5,4.4,8.4,26.3,23.3,5.2,17.9,4.3,3.6,8.4,2.8,0.78,0.22,30000,29000,35000
