Zip Code,Total population,Unemployment rate - Population 16 years and over,Fy 2017,Fy 2018,FY 2019 Through 7/31/2019
75452,4306,6.7,13000,22600,26250
75453,3102,5.2,6000,15000,17450
75454,8807,2.1,60500,91800,100950
75455,28560,5.7,274700,602250,513750
75457,6131,7.2,58900,77800,85150
75459,5207,5,45000,66400,48000
75460,22226,7.1,188400,406350,394100
75462,11691,3.6,124550,145650,134000
75472,3931,8.8,30000,30850,18100
75473,3879,9.1,6000,1000,9000
75474,15047,8,127000,187050,273000
75479,1859,2.5,6000,22000,16000
75482,24802,5.7,219500,456000,477600
75489,1061,2.7,2750,4000,6000
75490,2399,4.3,16000,21000,30000
75491,5646,8.4,30000,30500,30000
75494,9931,8.2,50000,74100,65900
75495,7797,5.4,45000,65000,77000
75496,3436,6.8,30000,29000,35000
75497,3585,4.2,28000,28000,27450
75501,35692,8.4,109450,257400,271000
75503,25916,6.2,299000,490300,399750
75550,838,15.2,3000,4000,4000
75551,10867,6.6,103000,165850,169600
75554,1805,5.8,13000,17600,11000
75556,1044,12.4,4000,3000,5000
75559,5316,3.3,44000,53850,39000
75560,715,10.1,22000,24650,32000
75561,5108,8.2,18000,30050,36750
75563,4410,9.4,55000,123400,102000
75567,5191,9.2,3000,2000,4750
75568,2271,11.3,11000,12000,18300
75569,3229,3.4,6000,27000,26000
75570,10969,8.3,58450,81650,110000
75571,3189,8.6,4000,8000,5000
75572,4285,4.1,22300,85850,104850
75601,16310,4.5,212000,301800,303300
75602,22112,6.7,245300,360900,375600
75603,5913,4.8,78000,121350,173750
75604,30565,7.2,337600,546450,846550
75605,30721,3.5,364100,568550,674300
75630,2238,5.8,9000,31850,10750
75631,3137,3.1,16000,16000,19000
75633,13779,4.4,130000,182600,191550
75638,5908,8.8,52000,84050,56950
75640,5020,9.4,12000,15000,6050
75644,12579,9.5,105000,154650,193850
75647,12459,5.8,72100,109500,292300
75650,8858,6.2,25000,32050,125000
75651,2192,5.4,8000,6000,9750
75652,17061,2.7,77000,84000,173700
75654,12299,4.6,76000,106000,177700
75656,4601,7.3,6000,24450,15000
75657,8139,11.3,125300,73100,52350
75661,3043,12.7,1000,3000,4000
75662,26009,5.9,338400,618250,594350
75668,2005,19.9,14150,20950,20300
75670,17537,7,124250,173300,227050
75672,16252,5,40000,66000,50900
75681,2299,7.8,22000,61850,78000
75683,3811,7.9,34000,66000,47450
75684,7750,7.2,35900,44000,73250
75686,13047,5.6,54050,79000,129100
75691,3006,4.9,28000,40300,70850
