Zip Code,Total population,Unemployment rate - Population 16 years and over
86438,1002,22
86440,7208,9.9
86441,2650,2.8
86442,33290,8.6
86502,1332,8.3
86503,11553,21
86504,7001,10.2
86505,7880,14.7
86506,1208,9.8
86507,2481,27.2
86508,822,9
86510,4741,34.9
86511,3640,11.8
86512,2634,11.9
86514,2734,18.5
86515,4933,11.5
86520,1882,25.1
86535,1260,19.7
86538,2080,22.3
86540,1042,10.4
86544,1129,31.2
86545,1436,21.7
86547,1185,18.7
86556,1956,26.2
87305,3553,12
87327,9505,20.7
87328,2674,11.4
