Zip Code,Median age,Percent - 10 to 14 years,Percent - 15 to 17 years,Percent - 15 to 19 years,Percent - 15 to 44 years,Percent - 16 years and over,Percent - 18 to 24 years,Percent - 18 years and over,Percent - 20 to 24 years,Percent - 21 years and over,Percent - 25 to 29 years,Percent - 30 to 34 years,Percent - 35 to 39 years,Percent - 40 to 44 years,Percent - 45 to 49 years,Percent - 5 to 14 years,Percent - 5 to 9 years,Percent - 50 to 54 years,Percent - 55 to 59 years,Percent - 60 to 64 years,Percent - 60 years and over,Percent - 62 years and over,Percent - 65 to 69 years,Percent - 65 years and over,Percent - 70 to 74 years,Percent - 75 to 79 years,Percent - 75 years and over,Percent - 80 to 84 years,Percent - 85 years and over,Percent - Under 18 years,Percent - Under 5 years,Total population,Fy 2017,Fy 2018,FY 2019 Through 7/31/2019
75862,51,5.3,3,4.9,26.6,82.6,5.1,80.1,3.2,78,4.1,4.9,4.5,4.9,5,12.3,7,6,7.3,9.1,38.2,34.7,8.2,29.1,8.3,6.5,12.6,4,2.1,19.9,4.5,9863,104000,84050,82650
75901,34.8,8.8,3.6,6.9,39.3,75,10.6,72.8,7.4,67.3,7.1,5.4,6.1,6.5,6.3,17.1,8.3,6.2,5.6,5.6,19,16.9,5.1,13.4,3,1.9,5.3,1.4,2,27.2,6.6,31647,620450,826200,1029900
75904,35.7,7,5.4,7.6,40.3,77,8.8,73.1,6.6,69.3,6.6,6.8,5.4,7.3,5.9,14.2,7.1,6.9,6.4,4.3,19,17.2,5,14.7,3.2,2.3,6.6,1.8,2.5,26.9,7.3,33820,351000,485600,634950
75925,37.3,8.8,4.5,8,34.5,75.2,10.5,72.8,7.1,67.6,2.2,6.1,6.5,4.8,5.4,17.6,8.8,6.9,4.9,6.3,25.6,22.6,5.8,19.2,4.4,4,9,3.4,1.6,27.2,5.1,4099,30200,100000,146650
75929,47,3.9,3.4,8.3,28.9,83.3,5.7,79.9,0.8,74.6,3.5,6.7,7.3,2.3,4.6,7,3.2,4.5,10.9,12.5,34.5,30.5,8.2,22,3.2,3.3,10.6,5.8,1.6,20.1,9.6,1860,11000,32950,39750
75931,53.6,9.3,2.3,4,21.5,83,7.9,81.5,6.3,79.1,2.7,3.3,2.5,2.8,7.6,13.4,4.2,8,9.6,7.8,37,34.2,15.4,29.2,5,4.3,8.8,1.6,2.8,18.5,2.8,2189,6000,14000,15000
75935,33.8,9.2,5.4,8.7,37.8,73.3,9.5,70.1,6.2,66.5,5.3,6.6,6.3,4.7,5,17.9,8.7,6.1,4.7,5.6,21.8,19.5,4.4,16.2,3.8,3.9,8,2.4,1.7,29.9,6.6,13955,199000,301750,333150
75936,42.9,6.4,6.7,9.5,33.4,77.8,8.3,74.8,5.5,70.2,2.5,5.8,3.6,6.5,6.4,12.7,6.3,5.7,4.3,5.3,31.7,29.8,5.6,26.4,8.1,7.4,12.7,2.9,2.5,25.2,5.8,842,1000,10000,2000
75938,52.9,6.8,4.4,6.7,20.4,83.5,3.1,82.1,0.8,79.7,3,1.5,3.2,5.2,9.9,10.8,4,9,10.5,7.8,36.7,32.8,9.6,28.9,8.8,3.5,10.5,2.9,4.1,17.9,2.7,2686,14150,20850,18000
75939,37.1,9.2,5.9,7.9,37.3,74.3,8.9,71,6.8,67.3,2.6,6.4,6.4,7.2,5.5,16,6.9,7.8,6.6,5.9,19.6,17,5.1,13.7,4.5,1.5,4.2,1.5,1.2,29,7.1,4939,26850,33300,49200
75941,39,5.3,4.7,7,37.4,78.5,6.5,75.2,4.3,71.7,6.8,6.8,6.2,6.4,5.8,12.2,6.9,6.4,7,7.4,23.4,20.3,5.6,16,4.2,3.1,6.3,1.1,2.1,24.8,7.9,8974,52000,52800,48050
75944,46.5,3.8,3.8,4.8,32.5,83.4,5.6,80.2,4.6,77.9,4,4.2,4.3,10.5,4.6,10.6,6.7,7.1,11.6,6.5,28.2,24.6,7,21.7,2.8,5.8,11.9,4.9,1.1,19.8,5.4,1409,37000,54200,37000
75946,43.5,4.8,4.2,6.2,35.7,79.9,8.4,78.3,6.4,76,4.3,3.9,9.7,5.2,7,12.1,7.2,8.6,7.2,4.3,24.1,22.7,6.4,19.8,3.1,4,10.3,2.6,3.7,21.7,5.4,3209,28000,17000,14750
75948,57.6,2.5,1.8,3.1,24,85.4,3.9,84.1,2.6,81.6,6.7,4.6,4.1,2.9,5,9.4,6.9,4.6,7.2,8.6,45.1,42,12.1,36.5,9.3,8,15.1,3.4,3.7,15.9,4.7,6037,145000,151450,104650
75949,40.6,5,3.3,5.4,32.7,78,5.7,75.6,3.6,73.2,6.2,8,5,4.6,6.9,14.3,9.4,7.6,7,6.5,24.8,21.6,4.9,18.2,3.2,5.5,10.2,3,1.7,24.4,6.8,7376,75000,70250,58600
75951,37.5,9.2,3.7,5.7,36.1,76.6,9.2,74.1,7.3,71.4,4.2,7,7.7,4.3,5.8,16.1,6.9,6.2,6.2,6.5,23.6,19.7,6.4,17.1,4.3,2.6,6.4,1.8,2,25.9,6,16072,203550,311700,362250
75954,40.3,3.5,5.9,7.7,41.3,83.1,9.7,77.2,8,74.5,6.7,3.9,6.4,8.6,6,11.7,8.2,4.7,6.1,9.1,25,21.5,7.1,15.9,4.1,3.3,4.7,0.4,1,22.8,5.2,3079,40000,43000,62100
75956,45.6,7.4,4.2,6.2,27.8,76.9,5,74,3,71.7,3.8,4.7,4.7,5.5,7.3,15.6,8.2,10.3,10.1,6.4,22.8,20.9,3.6,16.5,5.9,1.8,6.9,1.3,3.8,26,6.2,8533,29000,97350,172200
75961,29.8,7.3,3.9,6,45.1,78,19.1,75.6,17,70.7,6.9,5.4,5.8,4.1,4.2,12.6,5.3,6,5.9,6.2,18.4,15.9,4.4,12.2,3,2.1,4.7,1.3,1.3,24.4,7.9,15484,228400,377550,351350
75964,32.6,7.8,3.8,5.4,37.5,70.9,8.5,68.9,6.9,66.4,6.7,7.7,6.2,4.6,6.8,18.8,10.9,4.9,5.8,5.3,17.6,15.7,4.4,12.3,3.3,2.2,4.6,0.8,1.6,31.1,8.5,19086,95000,160500,251200
75965,29.9,4.4,3.5,10.8,48.9,83.1,22.9,80.4,15.6,70.5,7.6,4.6,4.3,5.8,4.3,9.5,5.1,5.4,6,5.2,19.5,17.8,3.4,14.3,4.4,2.7,6.5,1.7,2.2,19.6,6.5,18811,135000,246400,285400
75966,41.4,9.3,5.5,10.2,36.3,79.6,9.5,74.7,4.8,68.8,2.8,6.5,3.5,8.6,5.5,13.4,4,10.2,4.2,6.4,24,22.1,4.8,17.6,3.6,4.3,9.1,3.5,1.4,25.3,6.4,5287,97000,135600,106800
75968,41.9,8.1,5.3,6.1,37.2,84.2,5.4,80.9,4.6,79,7.2,6.1,5.9,7.4,6.4,11.7,3.6,8.2,6.9,10.9,27.5,20.1,3.8,16.6,7.4,2.7,5.3,1.7,0.9,19.1,2.2,1883,5000,5000,5000
75969,48.3,4.9,3.2,5.6,29.4,84.6,9.6,83.5,7.2,77.3,3.3,2.8,3.3,7.2,10.7,9.6,4.6,6.6,10.5,8.5,29.5,24.9,8.5,21.1,6.6,2.4,6,1.9,1.7,16.5,3.7,3726,26000,38000,35000
75972,48.3,7.5,3.9,6.6,29,80.8,6.1,78.8,3.4,74.9,4.7,4.1,6.1,4.1,6.4,12.4,4.9,9.3,5.9,5.1,32.1,30.7,7.7,27,7.7,4.5,11.6,2.1,5,21.2,4.9,6040,58850,134850,165900
75974,37.8,6.3,3.2,7.2,36,78.4,13.1,76.2,9.1,71.1,6.1,3.9,5.1,4.5,4.6,11,4.7,5.4,9.9,4.2,23.6,21.6,7,19.5,4.8,2.3,7.7,2.2,3.1,23.8,9.6,3245,13000,21800,45250
75975,43.8,5.6,2.2,6.4,32.7,80,8.5,79.3,4.3,73.8,4.6,3.9,5.7,7.9,9.5,10.7,5.1,8.8,9.2,4.5,21.3,20,6.1,16.8,4.5,2.9,6.2,2.8,0.5,20.7,7.8,3727,17000,29000,33400
75976,38.9,3.7,5.1,6.7,32.5,75.6,4.2,71.5,2.6,69.4,5.3,7.3,5,5.6,5.6,8.8,5.1,3.7,7.9,10.2,26.8,24.7,3.1,16.6,3.6,5,9.9,2.5,2.5,28.5,14.6,806,19000,22000,15000
75979,36.3,3.8,3.8,7.3,44.5,82.8,13.4,80.5,9.9,75.6,8.3,6.9,6.7,5.3,4.5,10.4,6.6,4.9,5.3,5.8,25.2,22.2,5.9,19.4,4.8,4.3,8.7,2,2.4,19.5,5.3,12384,73000,122000,111750
75980,45.1,6.1,6.2,7.3,32.6,81,9.8,76.5,8.6,72.1,3.2,3.4,4.9,5.2,3.2,8.9,2.8,4.6,7.2,8.1,35,32.3,6.2,26.8,7.4,6.4,13.2,5.2,1.6,23.5,8.4,2500,44000,29000,49000
76001,36.1,8.6,6.1,9.4,41.2,76,9.1,71.4,5.9,67.1,5.6,5.5,6.9,7.9,7.8,15.3,6.6,7.4,7,5.4,14.1,12,2.9,8.7,2.4,1.6,3.5,1.3,0.6,28.6,7.2,31829,39000,43700,78750
76002,31.3,10.9,5.1,8.3,46,71.4,9.7,68.2,6.5,63.9,7,6.5,9.1,8.6,7.3,18.7,7.8,6.7,4.2,3.8,9,7.3,3,5.2,1.1,0.6,1.1,0.2,0.3,31.8,8,36569,141000,263800,289750
76006,32.7,4.1,2.5,4,50.7,81.1,10,79.6,8.6,76.7,13.4,9.6,7.3,7.8,6.1,10.1,6,8.7,5.6,3.4,11,9.5,3.7,7.7,2.5,0.8,1.4,0.4,0.3,20.4,7.7,23259,181000,247950,321300
76008,37.8,10.1,5.7,8.1,35.2,74,5.7,69.9,3.4,67.1,3.7,6.7,6.7,6.5,8.5,18.8,8.7,7.6,7.4,5.2,16.9,14.9,3.7,11.8,3.7,2.7,4.3,0.8,0.9,30.1,5.6,16334,44000,56400,45850
76009,36.5,8.2,5,8.2,38.5,76.4,8.6,73,5.3,68.5,6.3,6.6,5.9,6.1,8.1,15.5,7.3,8.7,7.1,5.5,15.6,13.1,4.5,10.1,3.4,1.3,2.1,0.4,0.5,27,6.5,21049,154700,323950,415200
76010,27.5,8.9,4.1,8.6,48.5,71.4,14.1,68.6,9.5,62.3,8.6,7.8,6.3,7.7,5.3,18.2,9.3,5.6,4.6,3.4,8.6,7.3,1.8,5.2,1.4,0.7,1.9,0.6,0.6,31.4,9.1,57813,321400,504300,574700
76011,29.6,6,2.8,5.1,50.3,77,13.4,75.2,11.1,71.6,12.9,8.8,7.1,5.3,6.2,13.9,7.9,4.7,4.7,4.2,12,9.9,3,7.8,2,0.9,2.8,0.6,1.2,24.8,8.1,22953,188700,296050,367100
76012,42.2,5.7,4.3,6.8,35.8,80.1,8.1,76.8,5.5,72.8,6.2,4.9,5.1,7.3,5.7,12.1,6.4,7.1,6.5,6.2,26,23,6.7,19.7,4.4,3.7,8.6,2.9,2.1,23.2,6.8,26571,185000,302200,399600
76013,33.8,4.8,2.8,6.5,44.8,82.9,15.3,80.9,11.5,74.9,10.2,6.8,5.6,4.2,6.2,10.8,6,5.9,5.8,5.4,20.9,18.4,4,15.5,3.5,3.2,8,2.3,2.5,19.1,5.6,33169,192400,310250,369300
76014,30.7,7.4,5,8.1,44.6,75.3,9.7,71.4,6.7,66.3,10.5,6.6,6.6,6.1,6.2,15.7,8.3,6.6,5.5,4.7,13.6,11.2,4.3,8.9,1.9,0.9,2.6,0.8,1,28.6,7.9,35235,191250,338550,444000
76015,36.4,7.2,3.7,6.5,41.9,80.6,11,77.8,8.2,73.6,7.3,7.7,5.8,6.3,8.1,13.6,6.4,5.7,7.2,4.4,18.6,16.2,5.6,14.2,3.8,2.6,4.9,1.2,1.1,22.2,4.9,16464,250200,432650,587900
76016,44,6.9,5.1,7.4,35.4,82,7.6,78.3,5.3,75.1,5,5.4,5.4,6.8,7.2,11.7,4.8,9.1,8.5,6.7,23.3,20.7,6.8,16.6,4.3,2.2,5.5,1.6,1.7,21.7,5,30808,265000,384850,407250
76017,36.1,7.2,5.3,7.8,42.7,79.4,9.1,75.4,6.6,71.7,8.3,6.3,6.5,7.2,6,13.6,6.4,6.9,7.6,5.8,17.4,15.2,4.9,11.6,3.1,2.1,3.6,1,0.5,24.6,5.7,47010,477150,667050,867700
76018,32.6,7.2,5.2,7.5,44.4,75.5,11.4,71.6,9,67.6,6.6,6.6,9.6,5.1,7.5,16.5,9.3,7.7,5.9,4,11.3,9.5,3.6,7.3,1.3,0.5,2.5,1.2,0.8,28.4,6.8,31416,320800,558350,567100
76020,43.2,5.9,3.4,5.3,34.2,80.6,7.3,78.2,5.3,75,6,5.3,5.9,6.3,7.7,11.9,6,8.6,8.6,6.5,22.6,20.8,5.1,16.1,5.2,3.1,5.8,1.7,1,21.8,6.4,27714,238000,430850,437100
76021,39.9,5.9,3.5,5.6,40.2,82.4,7.3,79.7,5.3,76.6,8.5,7.7,6.4,6.7,6.6,10.8,4.9,7,6.5,7.1,23,19.7,5.2,15.9,4,2.9,6.7,1.6,2.1,20.3,5.9,35903,648750,517150,494550
76022,41.4,4.8,2.6,4.3,38.3,82.3,7.5,80.5,5.8,78,8.1,7.9,5.6,6.6,5.2,11.3,6.4,7.9,8.6,6.4,23.1,19.9,5.8,16.7,3.4,3.4,7.5,1.6,2.5,19.5,5.6,13059,50650,100150,112750
76023,42.5,6,4.9,9.1,36.5,80.3,7.9,77,3.7,72.3,6.7,4.5,5.7,6.9,6,10.6,4.7,9.2,8.1,7.6,22.2,17.6,5,14.6,3.8,2,5.8,1.7,2,23,7.5,5930,67000,102000,94600
76028,36.9,7.3,4.5,6.7,39.3,76.2,7.7,73.4,5.6,70.4,5.7,7.1,7.4,6.9,6.2,14.8,7.5,6.2,7,5.9,19.2,16.8,4.5,13.4,3.5,2.7,5.3,1.4,1.2,26.6,7.3,67388,548300,1050300,1203400
76031,35.5,6.9,4.9,6.9,40.5,77.5,7.4,73.9,5.4,70.5,8,7.7,6.2,6.3,7.6,15.7,8.8,6.5,6.7,5.9,17.4,14.3,4.2,11.5,2.9,2.1,4.4,1.2,1.2,26.1,5.5,18050,209750,267300,324000
76033,36.7,7.4,4.9,7.2,39,77.2,10.4,74.2,8.2,70.3,6.1,5.5,5.9,6.2,6.4,13.7,6.4,5.5,6.1,5,22,19.6,5.6,17,4,3.1,7.4,2,2.3,25.8,7.2,25190,353400,553950,769200
76034,47.8,8.7,4,5.9,25.6,78.6,5.4,75.8,3.5,73.4,2.3,3.8,4.8,5.3,7.9,15.4,6.8,10.8,10.2,9.4,25.3,21.3,6,15.9,4.2,3.1,5.7,1.9,0.8,24.2,4.7,25557,145000,154000,136000
76035,48.5,3,3.4,6.6,32.6,91.6,12.2,89.5,9,85.9,2.4,1.4,1.1,12.1,16.7,6,3,13.6,10.8,5,19.1,17.1,6.3,14.1,2.8,1.1,5,0.5,3.4,10.5,1.1,1466,43000,39000,56000
76036,37.2,7.6,4.9,7.8,39.4,77.8,9.4,74.1,6.4,70.4,5.7,5.9,6.5,7,7.9,14.7,7.1,8.2,6.2,4.8,17.2,14.8,3.4,12.4,3,2.4,6,2.2,1.4,25.9,6.2,25736,294500,530250,657900
76039,36.4,5.9,2.5,4.2,43.4,79.6,7.6,78.1,5.9,75.6,9.1,9.4,8,6.9,8,13.1,7.2,7.2,6.9,5.4,15,12.7,3.8,9.6,2.5,1.9,3.3,0.8,0.7,21.9,6.4,33750,366050,490550,565050
76040,34.7,8.1,4.2,6.4,43.6,76.5,7.8,73.3,5.6,70.6,7.3,8.8,8.3,7.2,7.2,15.8,7.7,6.5,6,5.5,14.2,11.1,3.5,8.8,2.2,1.7,3.1,0.7,0.7,26.7,6.7,32301,217850,258100,303450
76043,40,7.3,3.9,5.9,36.7,79.1,8.3,76.2,6.3,73.6,5.2,6.9,5.9,6.6,6.2,14.1,6.8,7.4,6.9,5.2,22.9,20.1,6.1,17.7,3.5,2.3,8.1,2.7,3.1,23.8,5.8,7509,291000,234600,431200
76044,44.9,5.9,5.8,6.7,33.7,81.6,6.2,77.9,5.3,75.2,4,3,9,5.7,8,12.9,7,8.3,6.6,7.2,27,24.5,8.1,19.8,5.9,2.1,5.8,1.9,1.9,22.1,3.4,3799,38300,37950,46350
76048,43.2,6.8,3.4,5.6,32.3,79.2,7.6,76.9,5.5,73.3,4.8,5.9,5.2,5.3,6.1,13.3,6.5,5.3,7.1,7.5,29.6,25.4,7.6,22,4.8,4.3,9.6,2.7,2.6,23.1,6.3,23702,270000,353300,436950
76049,49.8,5.4,3.8,6.7,28.9,82.9,6.7,80.6,3.9,76.8,5.5,4.4,4.3,4.1,5.7,10.2,4.8,7.4,8.3,7.8,34.2,31.6,7.9,26.4,7,5.9,11.5,3.1,2.5,19.4,5.4,27889,370100,564000,704600
76050,43,6.1,3.3,5.7,31.7,77.6,5.5,75.6,3.2,72.5,8,4.4,2.4,8.1,7.4,12.8,6.6,11.2,5.2,4.7,23.6,21.5,5.3,18.9,4.6,2.9,8.9,2.9,3.1,24.4,8.3,5747,36000,29000,25000
76051,38.3,7.2,4.4,6.4,42,79.1,9.2,75.8,7.2,72,7.8,5.4,6.3,8.9,7.1,14.5,7.3,8,7.8,5.9,15.2,12.3,3.6,9.3,2.4,1.4,3.3,0.9,1,24.2,5.3,51685,423250,543100,725900
76052,32.7,9.3,3.6,5.8,41.3,69.8,7.1,67.8,4.9,64.7,5.6,9.3,7.2,8.5,7.4,21.5,12.3,4.4,5.9,4.4,12.4,10.1,4.1,7.9,1.6,1.3,2.2,0.4,0.5,32.2,7.1,20779,70000,67000,99000
76053,34.8,6.4,2.5,4.6,41,76.7,9,74.9,6.8,71,8.7,7.5,7.1,6.2,6.7,14.5,8.1,6.7,5,5.2,18,16,3.3,12.8,3.2,2.5,6.3,2.2,1.6,25.1,8.1,30567,157050,275150,461650
76054,44.1,5.3,3.5,5.8,33.7,81.1,6.5,79,4.2,76.2,4.6,5,5.3,8.8,5.1,11.9,6.6,8.2,7.1,7.5,28.3,25.1,7.6,20.8,5.5,2.8,7.7,2.3,2.6,21,5.6,11948,132000,170750,186050
76055,49.2,7,3.6,5.1,26.4,80.7,5.3,78.5,3.7,75.8,3.4,4.6,3.7,5.9,7.8,12.8,5.8,8.5,7.6,5.9,31.7,28.9,9,25.8,8.2,4.4,8.6,2.5,1.7,21.5,5.2,2643,30000,82000,103450
76058,35.3,8.9,5.1,8.4,37.6,74.5,8.1,70.9,4.9,66.2,4.6,7.8,5.9,6,6.4,16.9,8,8.1,7,5,16.9,14.8,4.3,11.9,3.2,2.1,4.5,1.5,0.8,29.1,7.1,18068,132850,175150,208800
76060,39.3,7.7,7.8,9.9,37.8,80.2,9,73.4,6.8,70,5.2,4.6,5.6,5.6,9.2,12.1,4.5,8.7,6.8,5.4,18.7,16.9,5.3,13.3,4.2,1.8,3.8,1.6,0.4,26.6,6.7,7638,60000,81550,96050
76063,36.3,9.5,5.8,8.9,41.6,74.4,7.9,70.8,4.9,66.5,4.4,6.4,7.7,9.2,7.2,16.9,7.4,7.8,6.1,4.7,14,11.8,3.3,9.3,2.3,1.7,3.7,1.3,0.8,29.2,6.5,69146,448000,877150,1300400
76064,34.3,6.5,3.3,5,36.4,69.6,4.6,66.9,2.9,64.5,6.5,8.1,6,7.8,9.1,17.9,11.4,5.6,3.4,5.2,15.6,12.6,4.4,10.4,1.9,2.2,4.1,1,0.9,33.1,11.9,1790,13000,33000,26000
76065,37.5,8.5,4.6,7.6,40.2,75.8,8,73.1,5,69,5.8,6.1,7.4,8.4,7,15.8,7.2,7.4,6.9,5.5,16.1,13.8,3.8,10.6,3.1,2,3.7,1.1,0.6,26.9,6.6,34291,344100,502500,750550
76066,50.1,5.3,1.7,5.2,28.8,87.3,9.9,85.9,6.5,82.2,1.5,6.7,3.7,5.2,8.5,7.8,2.5,12.1,10.3,8.8,27.9,23.5,8.1,19.1,5.1,4.3,5.9,1,0.6,14.1,4.6,3193,13400,15000,23000
76067,36.7,5.7,4.4,7.3,39.3,78.3,10.6,75.3,7.8,71.2,7,6,6.2,5,6.7,13.2,7.5,7.3,5.6,5.6,20.8,18.1,5,15.2,3.8,2.7,6.3,2.1,1.6,24.7,7.1,20561,223900,375950,532700
76071,37.6,8.8,4.4,7.6,34.5,76.2,10.4,72.4,7.3,69,3.8,6,4.4,5.4,10,16.3,7.5,6.8,9.7,4.8,16,13.7,3.1,11.2,3.8,2.5,4.3,1.2,0.6,27.6,6.8,4069,6000,2550,10000
76073,34.2,8.6,4.3,6.3,39.3,74.4,8,71.9,6,68.7,5.9,9,6.7,5.6,8.6,17.7,9,6.5,6,2.4,15.7,15.2,3.5,13.3,3.8,2.3,6,2.3,1.3,28.1,6.2,6155,12000,17000,7000
76078,33.9,8,4.7,6.4,39.6,72.4,7.1,68.9,5.3,66.7,5.5,9.2,6.9,6.3,7.6,17.3,9.3,6.7,5.5,4.9,14.2,12.1,4.2,9.3,1.4,1.4,3.6,1.4,0.8,31.1,9.1,10366,118200,159000,168750
76082,39.5,6.7,4.7,7.2,36.1,78.3,7.9,75.3,5.4,71.3,4.9,5.8,7.1,5.8,4.8,13.7,6.9,8.7,8.6,7,21.7,18.1,6.1,14.7,4,2.4,4.6,1.3,1,24.7,6.4,18030,157400,270150,402850
76084,35,7.2,5.3,7,47.9,79.1,9.3,75.8,7.5,72.8,8.1,8.3,7.5,9.4,7.7,13,5.7,6.6,4,4.2,14.9,13,3.8,10.7,2.5,2.5,4.4,1.4,0.5,24.2,5.9,8456,71550,107000,102000
76085,40.2,8.7,8.1,10,38.2,77.7,5.3,73,3.3,70.6,5,6,6.2,7.6,7.4,14.8,6.1,8.5,6.3,6.3,20.6,18,4.6,14.3,5.1,2.8,4.6,0.5,1.3,27,4.2,10747,17000,34000,44700
76086,33.7,6.5,3.7,6.8,43,77.8,11.6,75.4,8.4,70.7,8.8,6.5,7.2,5.2,4,12.5,6,6.2,5.1,5.2,20.8,18.3,4.1,15.6,4.5,2.5,7,1.5,3,24.6,8.4,22311,556400,709050,673650
76087,42.6,7.6,3.8,5.8,32.6,78.3,6.7,75.6,4.6,72.9,4.5,5.8,5.8,6,7.2,14.5,6.9,8.6,6.5,7.5,24.5,21.3,5.9,17,4.9,3.1,6.1,2,1.1,24.4,6.1,26889,193800,217200,217600
76088,41.6,6.3,3.8,5.8,35.2,79.6,8.8,76.7,6.8,73.7,5.9,4,5.7,7,7.7,13.5,7.3,6.7,7.7,7.3,23.2,19.7,5.8,15.9,3.8,2.3,6.3,1.4,2.6,23.3,6,11854,47000,55300,97500
76092,42.1,11.9,7.7,9.7,30.4,72.5,4.2,67,2.2,64.9,2.4,2.4,4.7,8.9,9.9,20.4,8.5,11.1,9.4,5.2,14,11.8,3.7,8.8,1.8,1.6,3.3,1,0.7,33,4.9,30138,248600,299450,278950
76093,37.9,8.6,2.6,4.4,31.4,74.1,7.3,72.8,5.5,70.1,5,4.4,8.4,3.7,2.9,17.6,9,8.5,7.8,3.8,24.9,22.5,8.5,21.1,6.7,3.9,6,2,0.1,27.2,7,1680,63950,31000,28000
76102,35.2,3.4,2,3.6,51.4,87.4,10.4,85.8,8.8,82.8,13.8,11.1,7.1,7,7.6,7.1,3.7,5.7,7.2,4.6,15.8,14.2,2.4,11.2,2.7,1.6,6.2,0.9,3.6,14.2,5.1,9803,93000,93000,149000
76103,38.9,6,4.7,7.5,38.1,79,9.4,76.1,6.6,71.4,7,4.9,5.7,6.4,9,12.6,6.6,6.4,7.9,4.7,19.4,16.7,4.8,14.7,3.5,2.3,6.5,2.2,2,23.9,6.6,13689,46000,62650,147800
76104,30.9,7.3,4.2,6.7,40.8,72.8,9.2,69.9,6.8,65.8,9.4,7.3,5.8,4.8,5.6,16,8.7,5,6.3,4.6,16.6,14.9,4.2,12,1.7,1.9,6,2,2.2,30.1,9.8,18199,64550,57000,84600
76105,28.9,7.6,4.9,8,45.4,70.8,11.4,67.8,8.3,62.4,7.8,7.4,6.6,7.3,5.4,18.7,11.1,4.5,4.8,3.9,12.6,11,3.4,8.7,2.6,1.3,2.6,0.7,0.6,32.2,8.7,21661,46950,98850,91100
76106,28.1,8.6,4.9,8.4,45.8,70.4,12.4,67.4,8.8,61.7,8,7,6,7.6,7.1,18.5,9.9,3.6,5.2,3.7,10.7,9.1,2.4,7,1.8,1.1,2.7,0.7,0.8,32.6,9.2,39218,271200,476200,636800
76107,35.1,4.4,4.1,6.3,46.9,84.2,9.8,81.4,7.7,78,11.8,9.8,6.5,4.9,6.4,9.1,4.7,5.5,5.5,6.4,21.2,18.4,4.7,14.8,3.4,3.3,6.7,1.4,2,18.6,5.3,30110,182500,310200,360000
76108,35.3,7.6,3.6,5,40.2,76.5,7.2,73.9,5.8,71.4,6.9,9.1,7.7,5.6,6.5,14.6,7,6.2,7.1,5.9,17.5,14.9,4.4,11.6,3.1,2.2,4,0.8,1,26.1,7.9,41418,426500,566350,566250
76109,33.9,5.3,2.9,5.9,46.6,83.7,20,81.4,17,73.4,6.3,6.3,6.1,5,6.6,9.6,4.3,4.6,5.5,6.4,21,18.5,5.5,14.6,2.3,1.6,6.7,1.9,3.2,18.6,6.1,22448,84000,108000,216250
76110,30.7,7.4,5.4,8.2,45.6,75,11.1,71.3,8.3,66.8,8.9,8.1,6.7,5.2,5.4,16.3,8.9,5.6,6.1,4.8,14.1,11.8,3.8,9.3,1.8,1.4,3.7,1.3,0.9,28.7,7,31118,223000,276500,293300
76111,29.7,8,5.2,8.1,44,72.2,11.8,68.7,8.9,63.9,7.5,7.3,5.4,6.8,6.1,17.7,9.7,5.7,5.1,4.9,13,10.9,3.8,8.1,1.5,1.2,2.8,0.8,0.8,31.3,8.4,22456,200350,284000,332700
76112,34.7,7.5,3.4,5.3,42.3,77.1,9.1,74.9,7.1,71.7,8.2,8.1,6.8,6.8,6.4,14.5,7,7.1,6.2,4.7,16.3,14.1,3.9,11.6,2.7,1.8,5,1.4,1.8,25.1,7.2,41448,233500,246050,410050
76114,33.6,7.7,4,6.3,42.5,76.2,8.8,73.6,6.5,70.5,8.9,7.9,6.2,6.7,5.4,15.2,7.5,7.2,6.5,4.7,16,13.3,3.8,11.3,2.9,1.5,4.6,1.5,1.6,26.4,7.2,25647,176400,323000,416450
76115,28.5,8.4,4.8,8.5,45.7,71.3,12.3,68.1,8.6,62.4,8.5,8.4,5.5,6.3,5.9,17.2,8.8,6.7,5.3,2.9,9.3,8.3,2.6,6.4,1.7,0.9,2.1,0.7,0.5,31.9,10,20485,170400,247250,231450
76116,34.4,5.2,3.7,6.1,43.2,79.7,9.7,77.2,7.4,74.2,10.4,8.1,6.3,5.1,5,11.9,6.7,6.2,6.9,6.2,19.5,16.6,4.1,13.4,2.7,2.6,6.6,1.9,2.1,22.8,7.2,49789,365000,553650,654150
76117,33.5,8.6,5,7.9,42.7,75.5,9.3,71.6,6.3,67.7,7.5,7.4,6.6,7,6.3,16.8,8.2,6.3,4.5,5.2,16.8,14.4,3.6,11.6,3.8,2.2,4.3,1.1,1,28.4,6.7,31298,167950,256000,246650
76118,33.8,6.7,3.9,6.8,42.6,74.6,8.5,72.2,5.6,68.1,6,9.8,7.4,7,6.6,14.8,8.1,6.5,5.7,4.3,14.7,13,3.3,10.4,2.8,2.1,4.3,0.8,1.3,27.8,9.1,16318,64850,113350,103300
76119,30.9,8.7,5.1,7.8,42,71.6,9.4,68,6.8,64.3,7,7.6,5.9,6.8,6.3,17.8,9.1,6.2,4.4,3.9,14.3,12.7,3.4,10.4,2.9,2,4.2,1.3,0.9,32,9.1,48380,169450,227750,331300
76120,30.9,7.4,2.9,5.3,42.9,72.8,10.6,70.6,8.2,66.4,8.4,6.7,8.1,6.2,7.9,15.7,8.3,4.7,5,5.5,12.9,10.7,2.8,7.4,1.8,1.5,2.8,0.9,0.3,29.4,10.8,19041,89100,99400,109000
