Zip Code,Median age,Percent - 10 to 14 years,Percent - 15 to 17 years,Percent - 15 to 19 years,Percent - 15 to 44 years,Percent - 16 years and over,Percent - 18 to 24 years,Percent - 18 years and over,Percent - 20 to 24 years,Percent - 21 years and over,Percent - 25 to 29 years,Percent - 30 to 34 years,Percent - 35 to 39 years,Percent - 40 to 44 years,Percent - 45 to 49 years,Percent - 5 to 14 years,Percent - 5 to 9 years,Percent - 50 to 54 years,Percent - 55 to 59 years,Percent - 60 to 64 years,Percent - 60 years and over,Percent - 62 years and over,Percent - 65 to 69 years,Percent - 65 years and over,Percent - 70 to 74 years,Percent - 75 to 79 years,Percent - 75 years and over,Percent - 80 to 84 years,Percent - 85 years and over,Percent - Under 18 years,Percent - Under 5 years,Total population,Fy 2017,Fy 2018,FY 2019 Through 7/31/2019
75041,29.7,8.9,5.4,7.8,42.9,71,9.7,67.2,7.4,63.1,7.7,7.4,7.2,5.4,6,18.2,9.3,5,4.8,4.4,13.9,11.7,3,9.5,1.9,1.8,4.5,1.3,1.4,32.8,9.2,33304,261150,409950,415700
75042,31.6,7.8,5.4,8.2,42.9,73.3,9.9,69.5,7.1,65.1,6.9,7.1,6.3,7.3,6.4,17.6,9.9,6.6,5.4,3.5,13.7,12.2,3.4,10.2,1.9,2.3,4.8,1.5,1,30.5,7.4,39559,472000,598050,646650
75043,35.1,7.6,3.4,5.8,38.6,75.4,8.3,73,6,69.3,7.4,7.3,5.7,6.5,6.5,16,8.4,6.8,7.2,5.4,17.3,14.9,5.6,11.9,3.2,1.2,3.1,1,0.9,27,7.5,59951,471000,532450,603950
75044,41,6.9,5.4,8.1,39.5,82.4,9,79.2,6.3,75.1,5.1,6.7,6.7,6.5,7.9,12,5,9.1,8,6.3,20.1,17.4,4.7,13.8,3.5,3,5.6,1.4,1.2,20.8,3.4,40942,253000,432650,557150
75048,37.2,6.8,4.2,6.5,41.8,77.4,9.7,74.5,7.4,70.8,5.8,7.2,5.5,9.5,6.6,12.4,5.7,9.3,6.5,5.1,14.4,11.7,4.3,9.3,3.2,0.9,1.8,0.8,0.2,25.5,8.9,24203,139000,135450,162800
75050,30,6.2,5,8.2,46.9,74.9,12,71.5,8.7,66.4,9.4,8.1,6.2,6.2,6.9,14.3,8.1,6.4,4.6,4.2,11.7,9.9,2.7,7.5,2,1.2,2.8,0.7,0.9,28.5,9.2,42670,392450,674350,597300
75051,30.9,7.8,5.1,8.1,44.8,73.3,11.2,70,8.2,65.2,7.7,8,6.1,6.7,7.4,16.2,8.4,5.8,4,3.9,13.1,11.6,3,9.2,2,2.3,4.2,0.8,1.1,30,8.6,40962,382150,611600,534450
75052,34.9,8.8,5.2,8.1,43.5,76.2,9.1,72.5,6.2,68.1,6.3,7.3,7.9,7.8,7.5,16.4,7.6,7.4,6.3,4.5,13,11.2,4.1,8.5,1.9,1.1,2.4,0.7,0.7,27.5,6,94133,412150,640950,844350
75056,34.2,7.3,4,6.9,46.6,77.4,8.8,74.5,5.9,70.4,8.7,8.3,8.9,7.9,8.6,14.7,7.4,6.9,5.9,4.1,10.4,8.5,2.6,6.3,2,0.8,1.7,0.5,0.4,25.5,6.8,57115,363400,430600,545450
75057,32.4,6.9,3.9,6.6,48.3,76.3,9.8,73.7,7.1,70.1,8.5,9.5,9.1,7.5,6.3,15.9,9.1,5.9,4.9,4.4,12.1,10.6,2.9,7.8,1.9,1.6,3,1.1,0.4,26.3,6.5,14562,79000,106000,114050
75058,42,9.6,4.5,7.3,35,77.6,8.5,74.8,5.7,71.4,5.2,6,3.4,7.4,6.6,14,4.4,12,6.6,3.7,19.1,17.6,5.3,15.5,3.2,1.4,6.9,0.8,4.7,25.2,6.7,2697,6900,24000,27000
75060,32.8,8.7,4.6,7.9,41.7,73.2,9.8,70.2,6.5,65.1,6.6,7,6.7,7,7.3,17.5,8.9,6.2,5.6,4.3,14.1,12.1,3.7,9.8,2.6,1.7,3.5,0.8,1,29.8,7.7,47922,603650,872700,910400
75061,30.6,7.2,4.9,7.9,45.9,72.9,11,69.7,8,65.3,7.8,7.4,8.1,6.7,6.7,15.7,8.5,5.3,5,3.4,11.8,10.7,2.8,8.4,2,1.3,3.5,1,1.2,30.3,9.7,54907,443200,541700,709700
75062,31.4,7.4,4.4,7,45.8,75.8,11.8,72.9,9.2,68.5,9,7.1,7.2,6.3,6.3,14.6,7.2,7.1,4.9,4.3,13.2,11.4,2.3,8.9,2.4,2.2,4.2,1.1,1,27.1,8.1,48553,610400,750500,794150
75063,33.6,7.6,2.4,3.7,51.2,75.9,5.2,74.2,4,72.5,8.9,12.9,11.8,9.9,7.9,16.3,8.7,5.2,4.3,2.9,8,7,1.9,5.1,1.4,0.6,1.8,0.7,0.5,25.8,7,38383,235750,314200,391950
75065,39.5,5.9,4.4,6.2,39.2,80.3,6.4,77.7,4.7,75.3,6.9,8,7.4,6.1,9.1,10.6,4.7,8.5,8.1,4.9,17.3,15,4.2,12.4,4.7,2.6,3.5,0.4,0.4,22.3,7.2,12457,54000,93600,137750
75067,31.6,6.4,3.2,5.3,49.2,76.9,9.2,74.6,7.1,71.3,12.2,9.7,8.2,6.7,6.4,14,7.6,6.2,5.4,3.4,10.7,9.3,3.3,7.2,1.7,1,2.3,0.7,0.6,25.4,8.2,66896,397950,729250,564050
