Zip Code,Median age,Percent - 10 to 14 years,Percent - 15 to 17 years,Percent - 15 to 19 years,Percent - 15 to 44 years,Percent - 16 years and over,Percent - 18 to 24 years,Percent - 18 years and over,Percent - 20 to 24 years,Percent - 21 years and over,Percent - 25 to 29 years,Percent - 30 to 34 years,Percent - 35 to 39 years,Percent - 40 to 44 years,Percent - 45 to 49 years,Percent - 5 to 14 years,Percent - 5 to 9 years,Percent - 50 to 54 years,Percent - 55 to 59 years,Percent - 60 to 64 years,Percent - 60 years and over,Percent - 62 years and over,Percent - 65 to 69 years,Percent - 65 years and over,Percent - 70 to 74 years,Percent - 75 to 79 years,Percent - 75 years and over,Percent - 80 to 84 years,Percent - 85 years and over,Percent - Under 18 years,Percent - Under 5 years,Total population
85248,59.8,3.9,2,3.3,22,87.3,4.1,86.1,2.8,84,2.8,2.9,4.3,5.9,5.1,8,4.1,5.3,6.1,7.3,49.7,46.9,10.6,42.3,10.5,8.9,21.3,6.5,5.9,13.9,3.9,32646
85249,40.3,9.7,4.9,6.8,33.7,73.5,4.9,70.2,2.9,67.3,2.6,4.1,7.8,9.4,8.5,18.1,8.3,6.7,6.2,5,20.1,18.3,5.2,15.1,3.7,2.9,6.2,1.9,1.5,29.8,6.8,38586
85250,48.1,4.1,2.5,4,34.4,87.4,6.6,85.8,5.1,83,7.6,6.3,5.5,5.8,6.5,7.2,3.1,8.2,7.6,7.7,31.6,28.2,6.9,23.8,4.8,4.6,12.1,3.9,3.6,14.2,4.6,17711
85251,37.4,4.7,2.6,3.5,46.5,85.4,8.6,84,7.6,82.3,12.2,9.7,6.9,6.6,5.7,9.1,4.3,6.5,5.8,4.6,22,20,5.2,17.4,3.1,3.5,9.2,2.1,3.6,16,4.4,40621
85253,52.2,5.9,4.5,5.7,24.7,83.7,5.5,80.7,4.4,78.4,4,2.8,3.3,4.5,7.5,10.6,4.7,9.3,8.5,8.8,35.2,32.3,8.6,26.4,6.2,5.9,11.6,2.6,3,19.3,4.1,18509
85254,44.4,5.9,5.2,7.4,34.5,81.6,6.1,78.2,3.9,75.3,4.6,6.2,5.6,6.7,7.3,11.9,6,8.3,7.7,7.6,25.6,22.2,6.3,18,4.3,2.7,7.3,1.9,2.7,21.8,4.8,45973
85255,49.2,8.2,4.3,5.9,26.2,81.2,4.8,78.9,3.1,76.8,2.4,2.6,4.9,7.3,8.6,13.7,5.5,10.1,7.4,8,30.9,27.5,7.4,22.9,6.6,4.5,8.8,2.2,2.2,21.1,3.2,40401
85256,33.6,7.8,3.2,7,41.6,75.4,10.1,73.1,6.3,69.2,7.8,8.6,8.2,3.7,5.7,15.8,8.1,8.2,5,5.1,15.7,14.7,3.5,10.7,3.3,2.2,3.8,1.2,0.5,26.9,7.9,5380
85257,37.3,2.7,2.1,3.4,47.6,88,9.7,86.5,8.4,84.2,12.3,10.3,7.5,5.7,5,6.4,3.7,6.4,6.9,4.9,22.6,20.9,4.9,17.7,3.9,3.3,8.9,2.5,3.2,13.5,5,31609
85258,54.6,4.3,1.5,2.4,26.7,87.6,4.4,86.9,3.4,85.2,6.1,4.4,4.7,5.6,6.5,8.4,4,5.9,8.2,9.1,41.1,38.2,8.3,32.1,9.8,7.1,14,3.6,3.3,13.1,3.3,24549
85259,48.3,5.9,5.3,7.3,31.2,84.7,6.1,80.9,4.1,78.5,6,3.7,4.7,5.5,7.7,10.6,4.7,10.5,10.3,7.2,26.4,23.5,7.6,19.2,4.8,3.7,6.9,1.7,1.5,19.1,3.2,23043
85260,45.8,5,4.1,5.2,33.3,83.4,5.5,80.6,4.4,78.3,4.6,6.4,5.9,6.8,7.1,10.3,5.3,7.7,8.4,6.8,28.2,25.4,6.1,21.4,5.5,3.4,9.8,2.7,3.6,19.4,5,38337
85262,59.6,2.5,1.5,2.2,15.3,90.7,3.9,89.6,3.2,88.6,1.6,1.3,3.1,3.9,7.5,5.7,3.2,9.1,10.1,13.7,49,43.1,16.3,35.3,10,5.9,8.9,1.6,1.4,10.4,3.3,10815
85263,70.1,0,0,0,3.4,98.4,0,98.4,0,98.4,0.7,0,2.6,0,1.3,0.8,0.8,1.9,7.8,13.2,84,81.7,20.6,70.8,22.3,13.3,27.9,8.2,6.5,1.6,0.8,2531
85264,37.8,9.7,7.5,10.3,34.1,75.7,4.8,70,2.1,66.7,6.3,7.1,3.3,4.9,4.9,16,6.4,6.2,8.5,4.6,24,21.6,10.5,19.4,6.2,2,2.7,0.4,0.3,30,6.4,1315
85266,58.2,5.6,2.8,4.3,16.9,88.4,3.4,86.4,1.8,84.2,1.5,1.5,3.6,4.2,4.9,8.8,3.2,8.7,11.4,11.5,47.4,42.4,11.9,35.9,9.6,6.8,14.4,5,2.6,13.6,2,12519
85268,57.5,4.3,3.4,4.9,21.1,88.7,2.9,86.8,1.5,85.2,2.3,1.9,4.1,6.4,5.9,7.6,3.2,8.7,9.4,10.3,45.1,41.2,12.7,34.8,9.4,5.8,12.7,4.1,2.8,13.2,2.2,24288
85281,24.2,2.8,1.3,16.8,75.5,92.1,44.1,91,28.7,68,14.7,7.7,4.5,3.2,3.6,5.1,2.4,2.7,2.4,3,8.1,6.8,2.1,5.1,1,0.9,2,0.6,0.6,9,2.5,62626
85282,31.6,4.3,3.3,6.4,52.1,83.7,17.2,82,14.1,76.2,11.3,9.4,5.6,5.3,5.6,8.7,4.4,5.1,4.6,4.8,18,15.7,4.2,13.2,3.1,2,5.9,1.5,2.4,18,6,52799
85283,32.2,5.3,3.3,5.9,50.1,81.5,13.3,79.4,10.8,75,11.7,8.9,6.5,6.4,5.4,11.7,6.3,6,5.5,5.4,15.7,13.5,3.8,10.3,2.7,1.6,3.8,1.4,0.8,20.6,5.7,50536
85284,43.3,6.8,5.3,8,35,81.2,6.6,77.7,3.9,74,4.8,5,6.8,6.4,7.9,12.5,5.7,9.6,8.9,7.3,21.7,18.9,7,14.5,3.7,1.9,3.7,0.9,0.9,22.3,4.5,18592
85286,34,8.1,4.8,6.9,43.3,72.4,7.2,69.5,5.2,66.4,6.1,8.1,9,8,8.2,17.6,9.5,6.2,5.3,4.1,11.5,9.7,3,7.4,1.6,1.3,2.8,0.4,1.1,30.5,8,41807
85295,31.6,9.4,5.9,8.1,46.9,71.4,8,67.4,5.7,64.2,7,9.3,8,8.8,7.1,18,8.6,5.9,3.6,3.5,9.8,8.2,2.4,6.3,1.8,0.8,2.1,0.8,0.5,32.6,8.7,43525
85296,33.4,8.9,5.5,7.9,43.4,72.2,6.8,68.9,4.4,65.6,6.1,8.8,8.1,8.1,6.8,17.3,8.4,7,5.4,4.1,11.8,9.9,2.9,7.6,2,1.3,2.8,0.9,0.6,31.1,8.4,42506
85297,31,10.9,5.4,8.3,44.1,66.6,7.2,63.4,4.3,58.9,4.9,8.3,9.5,8.8,7.8,21.4,10.5,4.9,3.6,3.4,8.4,6.8,2.3,5.1,1.2,0.3,1.5,0.9,0.3,36.6,9.8,32890
85298,36.7,9.2,5.2,7.3,36.3,71.3,4.7,68.1,2.6,65,3.8,6.6,7.3,8.6,8.4,18.1,8.9,5.8,4.8,3.9,18,16.6,4.8,14.2,5.1,2.5,4.3,0.9,0.8,31.9,8.6,29113
85301,29.4,7.8,4.9,8,42.9,70.3,10.2,67.1,7,62.4,7.8,7.3,6.5,6.3,6.4,17.8,10,5.6,4.8,4.1,12.3,10.6,2.9,8.2,2.1,1.6,3.3,0.8,0.9,32.9,10.2,67526
85302,35.4,6.5,4,6.6,41.4,78.9,9.6,75.8,7,71.6,9,6.6,6.9,5.2,7.1,13,6.5,7.1,7,4.8,17.2,15,3.9,12.5,2.6,2,5.9,1.7,2.2,24.2,7.2,39647
85303,30.5,8.4,6.2,9.5,45.9,74.1,10.3,69.7,7,65.3,8.5,7.1,6.2,7.5,5.8,16.4,8,6.5,5.8,4.4,11.8,10.3,3,7.4,1.8,1.7,2.5,0.4,0.4,30.3,7.7,31835
85304,40.2,7.6,3.5,6.2,40,81.3,10,79,7.3,74.7,7,6.8,4.8,8,6.6,13,5.4,8,6.2,6.8,21.7,19.5,5.8,14.8,3.1,2.9,6,1.6,1.5,21,4.6,27365
85305,34.4,6.1,5.1,9.3,47.9,81,12.9,77.3,8.6,71.6,7.2,8.6,8.2,6,7.3,11.1,5,8.3,4.6,7.1,14.2,11.2,2.5,7.1,3,0.7,1.6,0.6,0.4,22.7,6.5,12073
85306,37.8,5.8,4.4,7.7,41.4,81.5,11.1,78.5,7.8,73.9,8.3,6.4,5.5,5.7,6.5,10.2,4.4,7.4,8.3,5.8,19.4,17.1,4.8,13.7,3.4,1.7,5.5,1.5,2.3,21.5,6.9,24503
85307,31,7.1,4.1,6.9,45.3,75.2,9,71.8,6.2,68.2,10.9,8.3,7.4,5.6,6.6,15.4,8.3,4.3,3.8,6.8,15.9,14.2,4.6,9.1,2.2,1.3,2.3,0.4,0.6,28.2,8.7,9376
85308,39.8,6,4.6,7.3,40.4,82.3,9.4,79.5,6.7,75.8,8.2,6.5,5.6,6.2,6.2,10.8,4.8,8.3,7.9,7.4,21.2,18.1,6.1,13.9,3.1,1.9,4.7,1.3,1.5,20.5,5.1,66295
85310,40.7,7.6,4.3,8.9,37.5,80.8,10.8,77.4,6.3,71.3,5.5,6.1,4.5,6.3,8.1,14.3,6.7,10,8.2,7.2,18,14.7,4.7,10.8,2.2,2.3,3.9,0.8,0.7,22.6,4,19252
85321,42.8,3.9,2.2,4.8,30.1,78.2,9.3,76.8,6.8,72.8,4.2,6.2,4.4,3.8,4.6,14.7,10.9,4.5,5.4,6.9,34.3,32.4,7.8,27.4,7,5,12.6,4.7,2.8,23.2,6.2,4776
85322,36.1,6.8,0.9,5.4,41.9,81.4,17.1,80.5,12.7,74,2.5,8.5,11.1,1.7,4.3,13.6,6.8,8.1,5.6,3.7,21.5,21.5,5.9,17.8,4.8,2.9,7.1,3.7,0.5,19.5,5,764
85323,29.6,8.4,4.4,7.4,47.1,71.7,10.7,69,7.7,64.2,9.1,7.3,7.8,7.7,5.7,18.5,10.1,5.4,4.7,3.8,10.6,9.2,2.5,6.7,1.5,1.4,2.7,0.8,0.5,31,8.1,42225
85324,56.8,3.5,2.3,3.6,25.8,90.6,5.8,88.4,4.5,86.6,5.5,2.4,3.6,6.2,3.5,7.9,4.4,6.4,13.5,11.5,41.5,35.3,11.9,30,9.5,2.8,8.6,2,3.8,11.6,1.4,2892
85325,69.1,4.9,2.9,2.9,7.9,88.9,0,87.3,0,87.3,0,2.5,2.5,0,0,7.8,2.9,5.2,6.4,9.8,70.7,70.1,11.2,60.8,18.8,22.4,30.8,5,3.5,12.7,1.9,1087
85326,32.5,7.4,5.1,8.3,47.3,75.6,10,72.2,6.9,67.8,8.3,8.5,8.2,7.1,6.5,15.7,8.3,5.9,4.9,4,12.7,11.4,3.2,8.8,2.4,1.8,3.2,0.9,0.5,27.8,6.9,58276
85331,48,6.8,4.7,6,27.7,81.5,5.1,78.2,3.8,75.9,3.1,3.3,4.7,6.7,9.2,12.5,5.7,8.1,9.3,8.5,28.5,25.3,7.8,20,4.9,3.4,7.3,1.9,2,21.8,4.6,29264
85332,63.8,4.6,2.9,4.3,20.7,86.2,4.4,83.6,3,82.2,2.9,6.1,2.1,2.3,2.6,10,5.4,2.1,3.9,9,57.2,53.2,9.6,48.2,21.1,12.5,17.6,1.5,3.6,16.4,3.5,1548
85333,48.8,6.4,8.1,11.6,34.7,85,4.2,79.8,0.7,76.3,8.2,5.6,5.7,2.9,4.2,9.1,2.7,11.3,13.8,6.7,23.9,20.7,5.1,17.2,2.7,5.2,9.4,3.2,1,20.2,3,594
85334,47.1,4,3.8,12.8,35.4,93.5,13.9,89.7,4.9,80.7,1.1,4.6,3,9.1,11.4,6.5,2.5,12.3,9.4,6,25,23.7,8.5,19,5.1,1.4,5.3,2.4,1.5,10.3,0,844
85335,29.9,9.3,5.4,8.2,45.8,71.4,9.6,67.8,6.7,63.6,8.4,8.7,6.8,6.9,6.2,18.1,8.8,4.9,4.3,3.5,11.9,10.6,3.3,8.4,2.4,1.2,2.7,0.9,0.6,32.2,8.7,34400
85336,37.2,2.8,4,4,43,79.1,14.9,76.9,14.9,70.5,2.4,4,9.8,8,2,7.4,4.6,6,7.8,4.6,22.1,22.1,5.4,17.5,8,4.2,4.2,0,0,23.1,11.8,502
85337,31.7,6.2,4.2,6.1,44.9,71.8,8.8,68.6,6.9,65.8,7.5,5.5,11.4,7.5,5.2,17.5,11.3,4.3,5.5,3.2,12.8,11.3,4.3,9.6,2.9,1.8,2.4,0.2,0.4,31.4,9.7,2611
85338,33.9,9,4.9,6.9,41.5,74.1,7.9,70.6,5.9,67.8,7.1,6.9,7.8,6.9,7.1,16.5,7.5,5.7,5.4,6.2,15.9,13.2,3.9,9.7,2.9,1.5,2.9,0.9,0.6,29.4,8,47588
85339,30.2,9,5.3,7.9,44.7,69.5,8.5,66.2,5.9,62.2,7.2,8.7,7.7,7.3,6.6,18.7,9.7,5.1,5.2,3.8,10,8.2,2.8,6.2,1.5,1,1.9,0.5,0.4,33.8,9.8,45040
85340,37.2,9.4,6.4,8.6,39.5,75,6.6,70.6,4.5,67.4,4.9,5.9,6.8,8.9,6.9,17.7,8.3,7.6,6.6,5.1,16.5,14.8,4.4,11.4,2.6,1.2,4.3,2,1.2,29.4,5.3,32436
85342,61,1.3,1.6,3.9,13.1,90.3,4,89.2,1.7,86.1,1.7,2.5,1.9,1.4,5.5,4.4,3.1,8.3,10.7,14.7,53.1,46,14.4,38.4,13.2,5.1,10.8,2.6,3.2,10.8,4.8,1284
85344,40.5,6.1,3.4,7.4,34.5,79.4,12.2,76.5,8.2,70.8,4.2,5.8,3.9,5.1,6.7,12.6,6.5,6.4,8.4,6.1,23.8,21.7,4.1,17.7,4.8,4.9,8.8,2.3,1.6,23.5,7.5,10537
85345,34.9,7.6,3.4,6.2,39.3,76.6,9.7,74.5,6.9,70,7.5,7.4,4.5,6.8,6.6,15,7.4,6.4,6.7,5.7,18.9,16.2,4.7,13.1,3.5,2.4,5,1.2,1.4,25.5,7.1,56473
85347,32.3,5.8,3.5,8.2,41.8,68.1,11.3,66.6,6.6,59.2,3.6,7.9,6.8,8.6,3.8,18.7,12.9,4.4,3.7,2.8,16.4,14.6,3.7,13.6,1,2.7,9,6.3,0,33.4,11.2,938
85349,27.3,9.8,5.6,9.1,44,71.5,13.2,67.5,9.8,62.2,7.3,6.2,5.2,6.4,7.4,17,7.2,6.2,5,4.5,10.6,8.5,2.4,6.1,1.4,0.6,2.3,1,0.7,32.5,9.8,29972
85350,28.6,8.9,5.4,9.8,49.1,72.3,13.9,69.2,9.5,62.6,6.9,8.5,6.6,7.7,5.4,16.5,7.6,4.2,4.2,4.6,11.7,9.6,1.6,7.1,1.8,1.9,3.6,0.9,0.8,30.8,8.9,22691
85351,72.9,0.2,0,0.2,3.2,99.5,0.8,99.5,0.6,99.3,0.9,0.4,0.4,0.7,1.6,0.3,0.1,2.8,5.5,10.3,86.4,82.5,15.9,76.1,17.4,15.8,42.8,13.2,13.8,0.5,0.2,28855
85353,27.8,9.8,5.6,8.7,49.2,69.9,11.1,66.2,8.1,61.6,9.5,9.4,7,6.5,5.5,18.7,8.9,4.9,3.7,3.2,8.5,7,2.3,5.3,1.1,0.8,1.9,0.4,0.7,33.8,9.4,39400
85354,35.4,8.3,5.7,7.6,40.1,74.9,6.7,71.3,4.8,68.1,7.1,6.8,5.3,8.5,6.6,17.1,8.8,6.7,6.5,4.3,17.1,16.1,5.7,12.8,3.1,2.1,4.1,1.5,0.5,28.7,5.9,7008
85355,35.7,10.3,3.3,6.5,39.7,75.2,8.3,72.7,5.1,68.2,6.7,6.6,8.7,6.1,5.6,17,6.7,7.4,8.6,3.9,14.7,13.2,5.9,10.8,2.2,1.6,2.8,0.5,0.7,27.3,7.1,11369
85356,53.4,5.1,3.2,5.5,28.7,84.7,8.7,83.2,6.4,78.3,4.2,3.8,4.9,3.9,5,10.3,5.2,6.2,5.8,7.1,40.8,40.3,8.4,33.6,9.9,8.9,15.3,5,1.4,16.8,3.2,4997
85361,42.4,10.5,6.9,7.9,37.1,79.5,3.8,73.6,2.8,72.1,4.1,4.1,8.3,9.9,5.9,15.6,5.1,7.5,7.7,6.3,22.3,20.4,8.1,16,4.6,2.1,3.3,0.6,0.5,26.4,4,5777
85362,64.3,1.2,0,0,2.1,95.5,0,95.5,0,95.5,0.7,0,0,1.3,0.6,4.5,3.3,4.5,22.4,20.2,65.9,60.1,14.2,45.7,17.9,6.7,13.6,4.3,2.5,4.5,0,669
85363,35.3,8.6,3.9,6.3,39.1,76,6.8,73.1,4.4,69.9,9.2,6.4,8.2,4.6,7.5,15.8,7.2,4.7,3.2,3.9,22.5,21.3,4,18.6,4.8,3,9.8,2.9,3.8,26.9,7.2,6625
85364,31.6,7.5,4.4,7.6,42.8,75.7,12.4,72.9,9.2,68.2,8,7.1,5.2,5.7,5.7,15.5,8,5.4,5.1,4.4,18.2,16.2,4,13.8,3.1,3.1,6.7,2.3,1.4,27.1,7.3,74299
85365,35.6,6.1,3.8,6.5,39.5,78.4,12,75.8,9.3,71.4,7.5,5.6,4.8,5.8,4.7,13.4,7.3,5.4,5,4.6,25,23.1,6.1,20.4,5.3,5,9.1,2.3,1.8,24.2,7.1,48973
85367,64.2,3.1,1.9,2.9,21.1,88.3,3.8,86.8,2.7,85.2,4.6,4.3,3.1,3.5,3.5,7.1,4,4.5,3.9,7,55.7,52.8,9.8,48.7,13.1,13.2,25.9,7.7,5,13.2,4.2,21018
85373,66,3.7,1.4,2.4,17.8,88.1,2.6,86.9,1.7,85.6,3.9,4.1,3.1,2.7,3.8,7.5,3.9,3.4,5.3,6.8,58,55.5,10.7,51.2,12.8,10.3,27.7,8,9.5,13.1,4.1,18714
85374,54.7,4.7,2.6,3.9,27.1,86.1,5.2,84.3,3.9,81.8,4.7,5,4.5,5,5.3,9,4.3,4.8,5.4,7,44.3,41.5,9.1,37.3,10.4,8.3,17.8,5.5,4.1,15.7,4.1,46395
85375,73.8,0.2,0.3,0.3,3.5,99,0.5,98.8,0.5,98.8,0.8,0.8,0.5,0.5,1.1,0.8,0.6,2.3,3.7,9.7,88.5,85.3,15.4,78.8,16.9,16.1,46.4,14.7,15.6,1.2,0.1,28133
85379,34.6,9.9,4.5,7.1,42.5,73,8.7,69.8,6.2,65.9,5.1,6.7,7.8,9.6,7.7,18.2,8.2,5.3,6.1,3.8,12.8,11.3,3.6,9,3,1.4,2.4,0.6,0.4,30.2,7.4,46320
85381,42,5.9,3.7,6.8,37.8,83.2,10.2,81.1,7.1,76.6,7,5.4,6.1,5.4,7.8,10.6,4.7,7.6,6.8,6.8,24.8,22.2,5.5,18,3.9,3.2,8.7,1.9,3.6,18.9,4.6,24968
85382,42,6.2,4.5,6.8,35.9,79.8,6.9,76.7,4.7,73.5,5.1,6.3,5.8,7.2,6.1,12.4,6.2,6.3,6.1,6.1,26.7,23.9,4.6,20.6,4.9,4.3,11.1,3,3.8,23.3,6.4,40626
85383,38.3,9.2,5,7,36.8,73.7,7,70.7,4.9,67.6,3.9,5.7,6.1,9.2,7.2,17.3,8.1,7.8,7.1,5.8,16.8,14.5,4.8,11,3,1.7,3.2,0.8,0.7,29.3,7.1,46118
85387,64.7,2.6,0.3,0.7,19.5,91.9,2.5,91.6,2.1,90.5,7.4,3.9,3.1,2.2,3.6,4.6,2.1,6,4.9,8.4,57.9,54.8,17.4,49.5,17.1,8.1,14.9,4.5,2.3,8.4,3.5,10829
85388,34.6,10.7,4.9,8.2,41.6,71.3,7.3,67.6,4,63.8,4.4,6.6,9.8,8.6,7.1,20.3,9.6,5.3,4.2,3.9,14.3,12.7,4.6,10.3,2.7,1.7,3,1,0.4,32.4,7.2,28442
85390,56.8,5.6,2.5,4.2,22.6,85.7,3.8,83.5,2.1,80.9,5.1,5.5,1.9,3.9,4.2,11,5.4,4.7,8.1,9.2,46.4,42,9.8,37.2,10.4,7.1,17,6.3,3.6,16.5,2.9,8924
85392,33.2,7.4,5,7.5,46.1,76.6,10.6,73.4,8.1,68.9,8.1,7.7,7.3,7.4,7.4,14.4,7,6.7,5.3,4.6,12.9,11,3.5,8.3,2.5,0.9,2.3,0.8,0.6,26.6,7.2,37710
85395,43.6,6.9,2.9,5,36.1,83.7,7.1,81.6,4.9,78.3,5,6.9,7.9,6.4,6.7,11.2,4.3,5.6,6.6,6.3,29.5,27.7,7.8,23.2,7.8,4.2,7.5,2.2,1.2,18.4,4.4,28364
85396,40.1,9.4,4.7,6.5,31.2,73.1,4.2,69.6,2.3,66.9,4.3,4.6,6.2,7.3,7.2,19.1,9.7,6.1,5.5,7.4,24.2,21.2,8.3,16.8,4.6,2.3,4,0.8,0.8,30.4,6.7,17759
85501,43.7,6.8,3.5,5.3,35.5,81.7,8.7,79.5,6.9,76.3,7,5.1,4.1,7,5.4,11.2,4.5,4.3,7.2,7.4,30.7,27.5,7.7,23.3,5.8,4.6,9.7,3,2.1,20.5,5.8,12657
85530,25.8,6,4.4,8.3,41.9,69.1,14,66.4,10.1,60.3,9,6.1,4.7,3.7,5.3,15,9,5,6.5,3.5,12.1,11,3.2,8.7,1.8,3.3,3.7,0,0.4,33.6,14.2,1942
85533,32.4,9.1,2.6,5.6,37.2,72.1,9.6,71.1,6.5,66.9,7.3,7.3,7.1,3.4,4,17.5,8.3,4.8,6.2,5,21.3,19,3.9,16.3,2.5,3.2,10,5.5,1.3,28.9,8.9,3141
85534,42.5,7.1,6.7,9.8,36.9,79.1,10.2,74.6,7.1,70.5,4.1,2.9,4.3,8.6,5.6,12.7,5.6,7.8,6.2,8.1,24.8,21,3.6,16.7,4.5,4.9,8.6,2,1.8,25.4,6,2761
85536,31.5,16.1,5.4,5.4,35.7,61,5.7,59.8,5.7,58.8,1.6,5.4,13.7,4,0,21.8,5.7,14.9,0,7.5,14.6,11.8,1.9,7.1,1.7,1.6,3.5,1.9,0,40.2,13,577
85539,43,7.7,3.5,4.3,28,75.7,4.9,73.2,4,72,7.7,6.3,3,2.7,7,16.1,8.4,7.3,7,5.9,27.3,25.4,6.7,21.5,5.9,3.7,8.9,3.2,2,26.8,7.2,5109
85540,30.6,8.6,6.1,8.6,50.2,73.5,9,69.9,6.6,65.9,9.6,10.9,6.4,8.2,6.8,16.8,8.2,6.7,5.5,4,6.9,4.9,1.4,2.8,1,0.5,0.5,0,0,30.1,7.2,3415
85541,56.1,4.4,2.6,4.3,22.6,86.6,5.4,85.1,3.7,82.6,3.1,3.9,3.2,4.3,5,8.3,3.9,8.1,8.4,9.9,43.5,38.9,9.9,33.6,8.8,6.3,14.8,5.1,3.3,14.9,4,21546
85542,23.7,11.1,8.3,12.8,45,66,13.3,60.1,8.8,54.4,6.8,5.3,6.2,5.1,4.8,19,7.9,3.4,4.4,4.1,10.6,9.1,2.4,6.6,1.3,1.5,2.9,0.7,0.7,39.9,12.6,3440
85543,34.2,12.3,3.2,4.3,34.4,69.6,5.9,67.6,4.8,65.4,5.4,8,6.3,5.7,4.7,21.2,9,3.9,4.7,8.2,23.1,20.5,4.5,14.9,3.9,2.1,6.5,2.6,1.7,32.4,7.9,3644
85544,64.8,2,3.9,3.9,13.7,93,1.3,90.8,1.3,90.8,0.7,1.1,4.4,2.3,6,5.3,3.3,2.7,7.1,15.6,65.1,55.8,17.3,49.5,16.1,8.9,16.1,4.3,2.9,9.2,0,2305
85546,35.4,7,4.7,6.6,42.8,78.3,7.9,74.9,6,71.9,9.1,7.4,6.9,6.8,6.9,14.2,7.2,5.6,5.2,5.6,19.3,17.1,3.7,13.7,3.8,2.7,6.2,1.9,1.5,25.1,6.2,20594
85550,25.3,8.8,3.7,6.8,40.1,65.4,12.3,62.7,9.2,58.1,6.8,7,5.9,4.4,6.5,21.6,12.8,5.1,6,2,8.8,7.8,2.4,6.7,2.2,0.8,2.1,1.2,0,37.3,12,5227
85551,40.4,4,2.4,7.5,40.6,87,13.4,84.7,8.3,79.5,3.1,12,5.2,4.5,5,8.5,4.5,7.8,7.8,7.1,25.9,22.6,2.6,18.9,4,2.6,12.3,3.1,6.6,15.3,4.5,424
85552,29,6,5.1,11.6,45.7,76,19.9,72.6,13.4,61.8,3.8,6.1,6.5,4.3,4.7,14.7,8.7,5.4,3.4,4.6,18.5,16.4,5.9,13.9,3.3,1.9,4.7,1.3,1.5,27.4,7.6,6556
85553,64.4,3.5,1.1,1.1,11.8,92.1,1,91,1,91,3.9,1.7,2,2.1,2.4,6.8,3.3,4.8,14,14.5,59,56.6,21.6,44.5,14.2,1.9,8.7,3.7,3.1,9,1.1,1683
85554,61.8,0.6,4.3,7.9,15.4,92.5,4.7,91.3,1,86.6,0,0,2.2,4.3,0,2.2,1.6,11,18.3,5.3,50.9,49.7,13.8,45.6,6.1,5.7,25.8,7.1,13,8.7,2.2,493
85602,52.7,6,4.8,6.6,28.1,84.8,5.3,81.8,3.5,78.8,3.8,4.6,5.5,4.1,3.7,10.2,4.2,6.9,4.9,8.7,43,38,8.9,34.3,8.9,7.6,16.5,3.4,5.5,18.2,3.2,9016
85603,53.6,5.3,3.2,3.8,24.8,83.5,4.5,81.3,3.8,80.1,3.5,4.6,4.2,4.9,5.1,12.7,7.4,6.7,9.6,10.2,38.4,32.6,10.5,28.2,6.6,4.7,11.1,3.1,3.3,18.7,2.8,6775
85605,58.9,1.5,4.7,6.8,30.8,92.3,8.1,87.6,6,85,5.3,4.9,1.1,6.6,1.1,2.6,1.1,5.1,9.2,9.4,46.2,42.9,5.8,36.8,10.9,8.3,20.1,7.3,4.5,12.4,5.1,468
85606,58.3,1.4,0.4,0.4,14.2,86.9,2,86.5,2,86.1,1.3,4.2,3.4,2.9,3.1,7.2,5.8,11.3,10.3,13.5,47.9,41.2,12.5,34.4,13.9,3.4,7.9,2.6,1.9,13.5,5.9,1183
85607,31,8,5.5,9.7,41.2,74.1,11.9,70.8,7.8,64.9,7.1,7.1,5.6,3.9,5.8,16,8,5,4.8,6.3,19.6,17.9,4,13.3,4,1.9,5.3,1.6,1.8,29.2,7.7,14428
85608,34.5,0,0,2.2,80.3,100,13.4,100,11.2,95.7,21.7,16.1,17.1,12,10.2,0,0,5.6,1.4,1.4,2.6,2.4,0.5,1.1,0.6,0,0,0,0,0,0,6190
85610,60.2,3.9,2.4,2.4,20.3,91.4,9.5,89.2,9.5,88.7,1.5,0,4.9,1.9,2.4,5.6,1.7,8,10.3,12.5,50.7,45,9.6,38.2,7.4,11.7,21.2,5.3,4.2,10.8,2.7,874
85613,22.6,3.2,1.9,13.2,71.8,74.3,31.8,73.4,20.5,56.1,17,7.2,8.6,5.3,2,12.1,9,1.2,0.2,0,0.1,0.1,0,0.1,0,0.1,0.1,0,0,26.6,12.6,5509
85614,69.7,2.2,0.9,1.5,10.6,93.1,2.1,92.6,1.5,91.9,1.8,2.8,1.7,1.4,1.3,4.6,2.4,2.9,5.1,8.3,73.5,71,16.2,65.2,16,14.6,33,9.8,8.6,7.4,1.9,23229
85615,48.9,3.7,4.6,6.1,29.2,83,6.4,79.3,4.8,76,4.5,5.2,3.5,5,7.1,7.9,4.2,6.7,7.4,11.7,33.5,30.6,12.6,21.8,2.2,4,7,1.8,1.1,20.7,8.2,9929
85616,44.9,5.8,3,3.6,31.6,80.2,7.5,78.6,6.8,76.6,7.5,4.4,4.8,4.4,6.2,13.5,7.7,8.2,6.5,10.6,29,24.5,8.4,18.4,4.3,2.9,5.7,2.3,0.5,21.4,4.9,5374
85617,55.6,9.1,3.4,5.3,18.9,79.1,2.9,76.7,0.9,74.8,1.9,3.6,2.5,4.7,3.9,12.7,3.6,5.6,10.1,10.1,41.7,36,11.4,31.6,10.7,3.6,9.5,1.5,4.5,23.3,7.2,1293
