Zip Code,MONTHLY HOUSING COSTS - Median,Owner-occupied housing percentage,Renter-occupied housing percentage,Total population,Fy 2017,Fy 2018,FY 2019 Through 7/31/2019
76450,634,0.829882812,0.170117187,12885,149550,214000,215800
76453,640,0.918660287,0.081339713,1357,20000,27350,13000
76454,358,0.783387622,0.216612378,1560,14000,8000,5000
76457,666,0.706730769,0.293269231,4102,46000,83000,50350
76458,653,0.836400818,0.163599182,5913,66000,100500,88600
76470,443,0.681281619,0.318718381,3820,20100,28000,39200
76471,361,0.786593707,0.213406293,2275,10000,5000,10000
76472,641,0.830721003,0.169278997,1507,41250,72350,73000
76475,553,0.78028169,0.21971831,909,3000,3000,3000
76476,736,0.798670465,0.201329535,2718,31000,40000,48000
76483,440,0.701680672,0.298319328,972,23000,25500,16000
76486,512,0.85371179,0.14628821,1040,10000,18550,22650
76487,885,0.836824697,0.163175303,2704,27600,23600,16000
76501,701,0.60998062,0.39001938,17571,177200,256150,225750
76502,1071,0.665563147,0.334436853,38571,432000,784750,776650
76504,780,0.391589107,0.608410893,23368,298800,436050,528100
76511,565,0.753889675,0.246110325,2869,18000,33000,32800
76513,907,0.679895199,0.320104801,38124,513200,792650,837700
76520,575,0.680892338,0.319107662,8124,76000,156900,140700
76522,914,0.583985375,0.416014625,36581,355100,594650,679350
76527,779,0.68984375,0.31015625,3886,48000,88000,106550
76528,716,0.70631351,0.29368649,16708,221450,512750,383350
76530,728,0.750325098,0.249674902,2190,62000,116150,185000
76531,554,0.817991632,0.182008368,4632,69000,76450,63400
76534,774,0.735868448,0.264131552,2927,17000,33600,26000
76537,1085,0.764527845,0.235472155,4921,310000,311100,157850
76539,940,0.874628835,0.125371165,8530,14000,42000,40000
76541,661,0.283255504,0.716744496,18447,183250,340600,320800
76542,1123,0.561367621,0.438632379,50324,510050,866450,936100
76543,822,0.381533563,0.618466437,29256,200150,303350,292950
76548,1097,0.64529483,0.35470517,29595,281050,447200,538900
76549,1070,0.510298186,0.489701814,48970,353950,568600,556700
76550,717,0.700529316,0.299470684,12517,172350,184700,281250
76554,824,0.724230254,0.275769746,2285,28850,49000,50500
76556,494,0.79704797,0.20295203,1281,5000,11000,8650
76557,582,0.835702103,0.164297897,4783,11000,12000,22000
76559,948,0.571809931,0.428190069,5534,30000,66000,119950
76567,623,0.596457238,0.403542762,9098,68000,82150,89800
76569,697,0.787878788,0.212121212,2250,27000,32000,54200
76570,496,0.754080522,0.245919478,2909,16700,14200,16250
76571,1061,0.858919549,0.141080451,7200,62000,62000,56000
76574,879,0.645727848,0.354272152,18939,292700,490950,633950
76577,616,0.755102041,0.244897959,3311,41000,47000,64000
76578,741,0.852589641,0.147410359,1422,22000,23000,32000
76579,814,0.753488372,0.246511628,4672,15000,40000,63000
76621,788,0.878116343,0.121883657,907,16000,13000,13000
76627,649,0.891696751,0.108303249,1612,22000,25300,15000
76629,493,0.659722222,0.340277778,1686,51000,51000,21350
76633,1173,0.851336898,0.148663102,5346,26000,37750,64000
76634,627,0.762393768,0.237606232,7068,149500,281850,275000
76635,615,0.742243437,0.257756563,1219,17950,38850,60250
76636,605,0.821621622,0.178378378,1330,8000,4000,12000
76637,617,0.80952381,0.19047619,629,5000,5600,11000
76638,950,0.816987741,0.183012259,3081,7000,4000,16000
76639,514,0.660344828,0.339655172,1341,13000,13000,14850
76640,738,0.684027778,0.315972222,2816,6000,13000,17000
76642,663,0.763085399,0.236914601,7025,65300,94450,81150
76643,1071,0.733491031,0.266508969,14253,119650,265900,279700
76645,684,0.617829249,0.382170751,10477,212500,323450,328700
76648,639,0.742913001,0.257086999,2762,43000,57500,37000
76649,540,0.903448276,0.096551724,701,1000,15000,13000
76651,747,0.690095847,0.309904153,3232,87000,121450,124000
76653,581,0.808022923,0.191977077,902,53000,37000,34000
76655,1083,0.808319468,0.191680532,8530,44000,82000,54000
76656,525,0.759784076,0.240215924,2440,24000,38350,26550
76657,1055,0.700116009,0.299883991,9663,155000,217200,173400
76661,490,0.628061436,0.371938564,8108,108800,149850,150750
76664,733,0.738655462,0.261344538,3494,18000,25650,25250
76665,671,0.678723404,0.321276596,2399,36000,54750,79900
76667,668,0.732841127,0.267158873,11261,75500,157800,161150
76670,791,0.75625,0.24375,1524,2950,3000,1450
76671,588,0.74501992,0.25498008,1792,36000,71650,14100
76673,617,0.753424658,0.246575342,1620,249000,257000,135000
76678,529,0.535353535,0.464646465,362,29000,34000,38000
76681,548,0.6996337,0.3003663,676,3000,4000,6850
76682,682,0.748701973,0.251298027,2702,32000,43000,63000
76687,532,0.725490196,0.274509804,1934,1000,1000,3000
76689,704,0.81972265,0.18027735,3715,2000,15000,20000
76690,539,0.702623907,0.297376093,984,28000,57000,71000
76691,698,0.72651357,0.27348643,6524,60000,140700,141000
76692,665,0.777120823,0.222879177,10577,85250,130200,136300
76693,636,0.564899452,0.435100548,1604,4000,9000,10000
76701,1016,0.173780488,0.826219512,1906,28000,97150,83350
76704,611,0.363577236,0.636422764,7825,34000,37550,29350
76705,730,0.557865558,0.442134442,30546,487000,900950,1166150
76706,814,0.395368389,0.604631611,36680,316850,715900,687750
76707,723,0.45120308,0.54879692,16256,44000,72550,66400
76708,858,0.599527041,0.400472959,27160,138750,263700,414200
76710,805,0.491364421,0.508635579,24415,404850,600800,638000
76711,761,0.532439177,0.467560823,9671,140050,185950,186600
76712,1091,0.684087917,0.315912083,25350,323550,409450,463800
76801,643,0.684571935,0.315428065,24918,489650,694200,796550
76802,655,0.753071972,0.246928028,5010,120000,185050,189000
76821,563,0.748143918,0.251856082,4595,87000,139250,76000
76823,583,0.786885246,0.213114754,3348,55000,53300,41000
76825,592,0.738574748,0.261425252,6891,69300,170800,183000
76834,645,0.707720588,0.292279412,5349,132100,210750,238000
76837,584,0.643442623,0.356557377,2901,24000,35000,31000
76844,486,0.834788937,0.165211063,3719,15000,40000,72000
76849,626,0.721744472,0.278255528,3884,127800,274250,312300
76853,660,0.773684211,0.226315789,1575,17000,10000,11000
76856,655,0.718641719,0.281358281,3684,26000,23000,20000
76859,534,0.641466208,0.358533792,1967,37000,44000,36000
76861,642,0.764430577,0.235569423,1992,6000,17100,9450
76875,630,0.834821429,0.165178571,551,20900,8000,12000
76877,632,0.656696125,0.343303875,4187,55000,80000,80700
76878,582,0.61023622,0.38976378,1920,22000,33000,37150
76901,853,0.665146865,0.334853135,29879,306300,451350,503800
76903,642,0.590284757,0.409715243,32103,418800,656900,766550
76904,976,0.594021424,0.405978576,34828,266000,443500,687000
76905,864,0.682086168,0.317913832,13129,24000,49650,87800
76932,619,0.691780822,0.308219178,3744,177000,309150,371000
76933,549,0.719869707,0.280130293,1344,15600,31350,31000
76935,729,0.949675325,0.050324675,1736,6000,11000,16000
76936,504,0.768602541,0.231397459,3122,23000,36000,63000
76941,640,0.822183099,0.177816901,1430,63250,121450,95000
76943,483,0.730239304,0.269760696,3693,42000,69700,127000
76945,524,0.697121402,0.302878598,1647,29000,22000,46000
76950,657,0.679066835,0.320933165,3915,67000,105200,180000
76951,409,0.850649351,0.149350649,1139,36000,55050,40000
77002,1439,0.252807284,0.747192716,12370,280400,338750,259900
77003,1209,0.450559284,0.549440716,9646,344000,404100,236850
77004,1082,0.344452774,0.655547226,37642,42000,78600,76850
77005,2476,0.730077121,0.269922879,28233,87000,114000,118000
77006,1422,0.353718082,0.646281918,21945,97000,92000,106100
77007,1866,0.505974217,0.494025783,35822,265000,360500,451400
77008,1522,0.589538347,0.410461653,34491,242000,374000,380300
77009,912,0.535341422,0.464658578,37751,156700,249200,239650
77010,3096,0.132427844,0.867572156,915,17000,13550,10250
77011,625,0.455775049,0.544224951,18598,60050,107150,95250
77012,701,0.412886259,0.587113741,20085,110000,216850,180050
77013,807,0.357458654,0.642541346,20790,68000,210550,232500
77014,1017,0.422884715,0.577115285,35729,62000,82000,102750
77015,855,0.512593523,0.487406477,57258,427900,771050,810250
77016,597,0.634633098,0.365366902,29597,62000,107650,95250
77017,791,0.536453645,0.463546355,32556,123000,221750,219150
77018,1143,0.674533933,0.325466067,28073,231050,490050,335600
77019,1798,0.525611444,0.474388556,21572,125000,152750,191450
77020,628,0.445424606,0.554575394,25898,99000,173550,216600
77021,812,0.394150418,0.605849582,26654,105150,165100,126050
77022,630,0.44863459,0.55136541,27364,177000,301850,258400
77023,740,0.452981651,0.547018349,28528,177000,260600,157050
77024,2046,0.671452924,0.328547076,38110,140000,211150,277450
77025,1334,0.425881627,0.574118373,28922,172800,229250,211100
77026,602,0.41771053,0.58228947,22799,50450,81650,76250
77027,1555,0.351766685,0.648233315,16012,214000,293500,295850
77028,578,0.541259501,0.458740499,15725,112650,144300,155100
77029,678,0.587217514,0.412782486,17894,184000,372450,283850
77030,1512,0.427913496,0.572086504,10813,32000,63000,41000
77031,840,0.456108144,0.543891856,18052,113000,173600,246750
77032,863,0.365330848,0.634669152,14443,147750,211600,254600
77033,625,0.608600503,0.391399497,29692,38000,70800,58150
77034,919,0.439537329,0.560462671,40183,281450,382050,251450
77035,855,0.41197681,0.58802319,38324,308000,457750,508400
77036,746,0.193318933,0.806681067,76605,182100,278450,224200
77037,781,0.699503768,0.300496232,20038,223000,327150,278000
77038,941,0.522775549,0.477224451,30653,126700,204000,325900
77039,803,0.614459441,0.385540559,27972,93250,195200,167950
77040,995,0.54577385,0.45422615,48273,311000,420200,494000
77041,1209,0.752854322,0.247145678,35372,218650,325950,411550
77042,1019,0.258074615,0.741925385,42098,218000,348750,397550
77043,980,0.58127859,0.41872141,25838,213000,203050,191150
77044,1407,0.739637923,0.260362077,42665,130000,262450,385650
77045,851,0.680832527,0.319167473,36270,118550,228450,230200
77046,1883,0.30876217,0.69123783,1029,44000,42000,51000
77047,1123,0.715354249,0.284645751,29410,261600,382250,381150
77048,718,0.64265386,0.35734614,17143,34950,82300,150250
77049,1084,0.687670965,0.312329035,33749,215000,386800,471250
77050,571,0.782763533,0.217236467,5031,13000,37700,47400
77051,707,0.414126516,0.585873484,16661,98150,146400,105950
77053,969,0.656864989,0.343135011,31868,143000,222750,265000
77054,1065,0.160592711,0.839407289,22517,156000,193850,210400
77055,981,0.424504457,0.575495543,45003,279700,505050,471950
77056,1740,0.433314784,0.566685216,21732,122900,212000,210000
77057,1142,0.342286953,0.657713047,40130,298000,619600,526650
77058,1004,0.295420792,0.704579208,16669,223000,372900,441550
77059,1605,0.90354899,0.09645101,17374,82000,138000,135000
77060,764,0.231606255,0.768393745,44549,72000,150850,190050
77061,768,0.344188723,0.655811277,26276,108000,263050,268500
77062,1273,0.783357245,0.216642755,26583,90000,156800,186700
77063,1036,0.259176194,0.740823806,38931,177700,408000,515600
77064,1168,0.58404908,0.41595092,49578,130800,228850,259350
77065,1122,0.480010643,0.519989357,38820,557400,694400,652250
77066,1085,0.699175957,0.300824043,33796,92000,158550,156800
77067,893,0.402854331,0.597145669,33489,156200,212000,215000
77068,1169,0.662392044,0.337607956,10897,99000,88300,89350
77069,1168,0.54724793,0.45275207,18238,207600,421150,314150
77070,1244,0.522396388,0.477603612,51080,586200,783900,764300
77071,924,0.549636804,0.450363196,27981,82000,190850,213400
77072,897,0.476558562,0.523441438,62162,252650,404150,553650
77073,1130,0.550608235,0.449391765,42780,112000,228100,229750
77074,826,0.325133283,0.674866717,39915,107000,242750,259800
77075,993,0.534731426,0.465268574,43586,232650,398250,324250
77076,811,0.470787208,0.529212792,35144,147600,241400,242100
77077,1219,0.354925979,0.645074021,57757,325100,552150,545400
77078,718,0.592179945,0.407820055,15820,9150,22000,22000
77079,1418,0.636763764,0.363236236,33577,181350,285900,314850
77080,894,0.40194213,0.59805787,45665,198000,421100,411100
77081,787,0.054067515,0.945932485,49059,183900,342400,382850
77082,1126,0.36053577,0.63946423,56641,338000,420100,460500
77083,1077,0.665817694,0.334182306,79408,220300,404350,413500
77084,1204,0.623083753,0.376916247,104582,520600,811500,1042700
77085,1062,0.689078896,0.310921104,17981,36000,63600,58600
77086,953,0.602624412,0.397375588,29506,143000,334600,351200
77087,693,0.490520043,0.509479957,37200,162400,408850,311950
77088,880,0.612622979,0.387377021,56716,132150,192750,211800
77089,1140,0.648060268,0.351939732,52699,262000,401100,437700
77090,942,0.220894944,0.779105056,38361,159250,289800,232050
77091,751,0.409919238,0.590080762,25277,177600,233700,186250
77092,796,0.365328597,0.634671403,38476,256150,361900,334250
77093,626,0.568961303,0.431038697,44428,262000,547000,520250
77094,2095,0.820966214,0.179033786,9439,43000,74000,117000
77095,1384,0.749009574,0.250990426,72081,401600,711450,833700
77096,992,0.4800445,0.5199555,35465,165000,276000,252600
77098,1586,0.313226205,0.686773795,13444,93000,114850,123000
77099,889,0.378875335,0.621124665,51905,180900,277750,305700
77301,813,0.48648383,0.51351617,31801,273400,406600,449400
77302,908,0.831385383,0.168614617,19311,80000,125750,186050
77303,906,0.734917733,0.265082267,19695,234550,426650,397050
77304,1113,0.561218361,0.438781639,28692,251850,397050,484300
77306,723,0.767073848,0.232926152,11453,128000,212050,240000
77316,1236,0.879627091,0.120372909,21272,20000,58000,81950
77318,1044,0.784541724,0.215458276,15437,155000,306550,452600
77320,734,0.639883617,0.360116383,35670,121000,220250,280000
77327,673,0.686915888,0.313084112,22430,162000,191600,210150
77328,716,0.763777914,0.236222086,15863,133350,234200,213600
77331,723,0.907061959,0.092938041,7667,29000,47000,60000
77335,573,0.794200187,0.205799813,2519,20000,15550,18000
77336,1105,0.732957111,0.267042889,12397,222000,358700,433100
77338,1072,0.551553157,0.448446843,40335,524750,1008700,884300
77339,1265,0.652531725,0.347468275,41403,334050,647850,529950
77340,838,0.397288453,0.602711547,29900,229000,357550,367650
77345,1657,0.85562982,0.14437018,29090,93000,156600,221700
77346,1484,0.82874035,0.17125965,63233,447400,717700,857650
77351,594,0.766907311,0.233092689,33199,461450,613600,647600
77354,1353,0.828156651,0.171843349,35904,359650,481200,648200
77355,1263,0.849606214,0.150393786,27271,336750,533850,479350
77356,1277,0.811749727,0.188250273,25888,222600,449250,527250
77357,786,0.753712028,0.246287972,24334,223850,509700,527150
77358,793,0.754474273,0.245525727,5597,59050,76650,136100
77360,656,0.808481532,0.191518468,5084,36150,52400,52750
77362,1080,0.865546218,0.134453782,5546,165250,301200,367650
77363,499,0.813311688,0.186688312,2705,68000,69000,76550
77364,487,0.912280702,0.087719298,1822,20150,30150,39000
77365,1018,0.736536788,0.263463212,31406,249500,435400,357200
77371,524,0.725562372,0.274437628,8025,52000,90650,80100
77372,759,0.771498771,0.228501229,12351,78000,97200,115950
77373,1203,0.731336476,0.268663524,58255,255600,390250,355000
77375,1295,0.71448062,0.28551938,50525,568700,926150,814050
77377,1513,0.827770131,0.172229869,36758,417500,555100,604550
77378,915,0.734697973,0.265302027,16150,111000,178700,353450
77379,1525,0.793966795,0.206033205,78226,675250,1173050,993950
77380,1279,0.412224225,0.587775775,26691,350000,429450,444650
77381,1521,0.736149243,0.263850757,36919,132800,162500,146850
77382,2218,0.744249189,0.255750811,40546,91000,145700,173000
77384,1428,0.600304878,0.399695122,16472,317000,513250,567350
77385,1351,0.800276521,0.199723479,23578,228750,326100,392000
77386,1515,0.763718141,0.236281859,53042,306450,385700,349350
77388,1420,0.79916318,0.20083682,45841,361700,690050,580350
77389,1741,0.837626407,0.162373593,31883,89000,109800,130100
77396,1204,0.57992011,0.42007989,54352,291650,423100,448200
77401,2368,0.82156611,0.17843389,19062,95550,148350,126800
77406,1740,0.880749701,0.119250299,41008,144000,372500,407000
77407,1655,0.832159459,0.167840541,48157,179000,312250,321550
77414,664,0.578825705,0.421174295,23369,888100,1121450,1218150
77417,754,0.686553874,0.313446126,2760,48000,100000,81750
77418,808,0.73425345,0.26574655,9926,185000,246800,201700
77419,738,0.789473684,0.210526316,1473,48000,47500,25000
77420,615,0.763417306,0.236582694,2245,91700,97650,99000
77422,600,0.807106599,0.192893401,13378,164000,248350,244450
77423,905,0.719663069,0.280336931,11551,204000,274950,297800
77426,646,0.807100592,0.192899408,2350,36900,42050,42000
77429,1537,0.841418112,0.158581888,86399,675500,1075450,1065700
77430,662,0.906756757,0.093243243,2051,15000,18000,21000
77433,1666,0.858456999,0.141543001,75008,381050,612350,695500
77434,621,0.775198534,0.224801466,4781,56000,99400,170200
77435,732,0.752333541,0.247666459,4303,72000,156000,112000
77437,795,0.654732306,0.345267694,16875,337950,468050,696000
77441,2398,0.949321267,0.050678733,9919,183000,117000,178000
77442,478,0.752043597,0.247956403,922,10000,33800,50000
77445,784,0.571364853,0.428635147,13301,185250,406650,384700
77447,1143,0.812738854,0.187261146,15246,88800,129800,191600
77449,1370,0.694326641,0.305673359,119204,454900,565900,699250
77450,1472,0.712970745,0.287029255,74631,380300,464500,532600
77455,617,0.816646562,0.183353438,2026,24150,38000,65000
77459,1802,0.859924386,0.140075614,66175,500000,689450,844050
77461,846,0.763499481,0.236500519,10752,92200,179300,174650
77465,504,0.868905742,0.131094258,7269,81000,115650,91750
77466,706,0.649350649,0.350649351,353,11000,10800,19000
77469,1320,0.733050562,0.266949438,46934,240950,570300,637300
77471,953,0.567212583,0.432787417,38837,637600,1168000,1567150
77474,827,0.723511384,0.276488616,12993,206000,362650,451900
77477,1158,0.45098337,0.54901663,36932,350000,465450,399700
77478,1409,0.764258962,0.235741038,25846,307000,458250,578850
77479,1904,0.839351106,0.160648894,88603,221000,370150,413350
77480,617,0.7972879,0.2027121,7661,168000,211600,221400
77482,567,0.818632309,0.181367691,2274,79000,94900,161000
77484,818,0.7737768,0.2262232,10710,163350,276900,340550
77485,783,0.725334957,0.274665043,4691,55200,63450,72000
77486,930,0.759055118,0.240944882,7082,299000,291950,442950
77488,627,0.640780272,0.359219728,14738,171350,238950,232750
77489,1170,0.753213368,0.246786632,36786,239000,411700,382600
77493,1372,0.794757885,0.205242115,29984,196200,236300,324900
77494,2113,0.799307004,0.200692996,105854,483000,782450,922800
77498,1327,0.738985923,0.261014077,51037,221100,499850,521200
77502,796,0.61260274,0.38739726,39040,105000,193600,314600
77503,837,0.507208551,0.492791449,26171,268000,417800,535400
77504,874,0.403364269,0.596635731,23327,171850,307550,306900
77505,1200,0.683034648,0.316965352,24230,320450,584950,642900
77506,728,0.404548337,0.595451663,37736,274550,316150,341700
77510,881,0.781529476,0.218470524,14608,119000,202950,200200
77511,868,0.711464174,0.288535826,46121,469150,751900,806950
77514,612,0.807228916,0.192771084,4443,64000,170950,144000
77515,794,0.67787924,0.32212076,31627,419000,609350,689200
77517,808,0.942462601,0.057537399,5688,82000,68400,52300
77518,770,0.644468606,0.355531394,10984,121000,182600,240700
77520,775,0.573417517,0.426582483,36694,486200,767750,764750
77521,991,0.623036373,0.376963627,57125,769400,1263750,1608250
77523,1411,0.823819898,0.176180102,21366,447000,678900,1012050
77530,877,0.638705488,0.361294512,31119,198000,369700,364350
77531,809,0.526376716,0.473623284,16078,485000,649850,708000
77532,1054,0.791474423,0.208525577,28320,341000,445000,429350
77534,1060,0.825938567,0.174061433,2426,27000,34000,78450
77535,749,0.79505752,0.20494248,32904,302000,463700,590000
77536,1172,0.76845112,0.23154888,32392,539950,902150,1042200
77538,502,0.936877076,0.063122924,906,2000,65350,50950
77539,1040,0.700937082,0.299062918,42607,375000,769250,697900
77541,667,0.58424996,0.41575004,18525,298000,633950,937100
77545,1398,0.840269805,0.159730195,25036,59000,124800,123650
77546,1433,0.788191882,0.211808118,52261,316050,529600,729800
77547,685,0.631403118,0.368596882,10077,29000,68050,79500
77550,822,0.413338739,0.586661261,22070,139400,273850,152650
77551,907,0.388916378,0.611083622,21203,258000,359350,383700
77554,1179,0.651515152,0.348484848,8249,165700,233050,296400
77562,752,0.753387534,0.246612466,10665,66300,151300,133600
77563,866,0.71969697,0.28030303,10067,106000,148500,142450
77565,1298,0.548726953,0.451273047,7233,114000,167850,144150
77566,1063,0.679754601,0.320245399,29441,360500,638650,724000
77568,830,0.674297979,0.325702021,15640,111850,155200,180200
77571,1074,0.740791063,0.259208937,37374,757900,1258850,1161700
77573,1551,0.750830451,0.249169549,85108,663350,976150,998650
77575,754,0.732575631,0.267424369,17005,140000,305100,260750
77578,1683,0.874595331,0.125404669,18636,145000,258300,355000
77581,1369,0.753646973,0.246353027,47625,659550,1016900,879400
77583,1234,0.807225964,0.192774036,35308,61800,142900,107250
77584,1624,0.74356292,0.25643708,87121,542850,978700,974000
77586,1237,0.653546018,0.346453982,22182,290000,465150,297400
77587,731,0.59898027,0.40101973,16901,145700,324250,264350
77590,788,0.604997769,0.395002231,31084,510750,683750,597350
77591,874,0.543619189,0.456380811,14073,31500,71250,56550
77597,903,0.864615385,0.135384615,1210,25000,34000,35850
77598,1028,0.20987535,0.79012465,24689,204950,443900,501850
77611,902,0.774853801,0.225146199,8325,144000,312200,269950
77612,506,0.843709884,0.156290116,9134,59000,115000,164750
77613,657,0.766454352,0.233545648,1048,30000,28000,21000
77619,835,0.699764785,0.300235215,15775,344000,612150,560050
77622,790,0.911578947,0.088421053,1464,7650,11000,13000
77625,612,0.848942598,0.151057402,9691,95000,151450,86350
77627,869,0.71155596,0.28844404,21198,348350,685550,846550
77629,577,0.804,0.196,634,4600,14400,19000
77630,682,0.664730007,0.335269993,28740,301400,510150,611650
77632,728,0.831215342,0.168784658,23475,186000,340650,463000
77640,496,0.62118855,0.37881145,15964,246000,541350,484250
77642,644,0.530819434,0.469180566,38845,188600,458150,348200
77650,820,0.735905045,0.264094955,1611,21000,39100,36450
77651,862,0.746561886,0.253438114,12840,134200,303150,321000
77656,562,0.766671922,0.233328078,16362,238000,410900,458300
77657,744,0.793150856,0.206849144,21427,156000,319350,323350
77659,817,0.83908046,0.16091954,4722,69000,153700,181400
77660,412,0.878481013,0.121518987,1182,24000,28050,49000
77662,547,0.786594683,0.213405317,26394,368300,520250,580550
77665,591,0.760384784,0.239615216,6252,190200,247550,247350
77701,535,0.541967871,0.458032129,13216,268450,473850,376550
77702,846,0.486028789,0.513971211,3091,23000,50000,46000
77703,605,0.500658514,0.499341486,14288,137000,237650,186700
77705,657,0.632525698,0.367474302,40819,524300,922300,835400
77706,941,0.568907629,0.431092371,29249,372000,655650,565000
77707,952,0.722978138,0.277021862,17954,399800,733700,722700
77708,852,0.57249725,0.42750275,12288,101000,270050,202750
77713,1013,0.620404722,0.379595278,14402,260000,350000,352150
77801,800,0.170916818,0.829083182,16759,162000,226000,170900
77802,951,0.510294383,0.489705617,26185,479550,733950,683500
77803,771,0.580491502,0.419508498,30609,464550,766050,1033400
77807,870,0.629562594,0.370437406,10288,132150,240100,271600
77808,1069,0.906069364,0.093930636,10849,121000,243100,222000
77830,441,0.859449193,0.140550807,2830,56000,46850,95850
77831,638,0.887931034,0.112068966,3115,4000,32000,15000
77833,799,0.755784062,0.244215938,29060,986500,1208800,1113000
77836,585,0.779067122,0.220932878,12022,168050,249600,357100
77840,890,0.126585285,0.873414715,59673,128000,245750,210500
77845,1284,0.662533054,0.337466946,59512,519800,667050,804050
77853,696,0.841176471,0.158823529,1287,10000,9100,19500
77856,626,0.762351779,0.237648221,5037,45000,57000,95000
77859,636,0.760759984,0.239240016,7393,144950,214400,323800
77864,706,0.707063712,0.292936288,6935,74000,117450,123000
77865,518,0.947441217,0.052558783,1778,80700,104500,66750
77868,593,0.713541667,0.286458333,17027,269000,501200,717700
77871,514,0.770870337,0.229129663,2568,27000,34000,65000
77872,515,0.896551724,0.103448276,1577,46000,73150,80900
77879,499,0.808638875,0.191361125,5251,19000,23000,32000
77901,812,0.51683195,0.48316805,43424,482950,735600,804750
77904,995,0.711102611,0.288897389,27570,531650,745100,689350
77905,708,0.873078365,0.126921635,14326,170000,249800,217700
77951,416,0.690292758,0.309707242,2059,13000,1000,12000
77954,667,0.684514436,0.315485564,12256,248850,377450,443100
77957,780,0.669148592,0.330851408,8494,319000,199000,314100
77962,691,0.773459716,0.226540284,3178,71000,138700,160500
77963,464,0.81006865,0.18993135,5991,115000,146450,109300
77964,566,0.752599388,0.247400612,8269,192750,245600,233550
77968,858,0.888111888,0.111888112,3054,13000,25000,14950
77975,641,0.70923913,0.29076087,1942,26000,46900,32000
77977,395,0.791338583,0.208661417,747,8000,16000,21600
77978,746,0.563291139,0.436708861,774,58000,66000,107000
77979,689,0.696212732,0.303787268,17526,376150,590050,895550
77983,682,0.765,0.235,2351,45000,55000,45000
77984,577,0.82003829,0.17996171,3954,125000,218800,213800
77990,617,0.68,0.32,864,27000,51750,38000
77995,616,0.755810847,0.244189153,9847,185000,254900,302300
78002,650,0.764105058,0.235894942,7904,19000,35000,124000
78003,756,0.84397965,0.15602035,8958,171000,252300,283600
78006,1246,0.724147193,0.275852807,31709,495000,799700,972750
78009,920,0.831893449,0.168106551,8910,140000,204750,210900
78010,536,0.803174603,0.196825397,3401,27000,66000,44700
78011,505,0.785714286,0.214285714,2030,58000,123350,96650
78013,837,0.767894737,0.232105263,6574,139000,260500,292000
78014,464,0.713589605,0.286410395,5616,129000,223350,300300
78015,2209,0.884907709,0.115092291,13897,17000,13000,14850
78016,578,0.789638932,0.210361068,8895,170250,227700,239350
78017,546,0.556654676,0.443345324,5514,79850,104850,118400
78019,496,0.671018277,0.328981723,1505,44000,52000,44150
78022,558,0.780400572,0.219599428,4286,148250,232950,275000
78023,1806,0.91500679,0.08499321,29872,185000,271000,293000
78025,621,0.807669959,0.192330041,4523,97000,129650,172000
78026,656,0.719723183,0.280276817,6094,65000,117150,130700
78028,735,0.693442128,0.306557872,39626,687000,1079600,1381000
78039,604,0.867145422,0.132854578,1528,15000,31800,53000
78040,577,0.437434918,0.562565082,42324,254700,215550,217400
78041,816,0.546438623,0.453561377,46671,512000,744050,740850
78043,747,0.571768178,0.428231822,44762,247000,307200,248500
78045,1217,0.772960017,0.227039983,64705,318000,423900,462100
78046,776,0.720471448,0.279528552,69471,92000,100550,88000
78052,650,0.812285012,0.187714988,6838,86000,166000,172900
78055,685,0.751181102,0.248818898,1945,12000,10000,15000
78059,856,0.923652695,0.076347305,6131,31000,55200,37750
78061,578,0.696969697,0.303030303,12595,111000,183450,272850
78063,838,0.859963627,0.140036373,9936,28200,27000,17900
78064,798,0.69996341,0.30003659,15966,384000,632250,762300
78065,609,0.755854989,0.244145011,10181,46100,85850,93850
78069,598,0.798913043,0.201086957,5874,49000,56000,50000
78070,1281,0.890599821,0.109400179,15559,175100,272050,400000
78071,490,0.797709924,0.202290076,4510,109000,118550,161450
78072,448,0.806896552,0.193103448,404,55000,72000,67350
78073,555,0.752832564,0.247167436,9269,92000,118000,153750
78076,409,0.723875092,0.276124908,13202,57000,82250,41400
78101,996,0.938374126,0.061625874,6911,251000,254000,372000
78102,686,0.594373614,0.405626386,28648,213000,413250,550000
78108,1540,0.802371542,0.197628458,35986,145000,268850,310850
78109,1167,0.710790517,0.289209483,40093,613800,908050,942800
78112,721,0.844748858,0.155251142,8129,101650,179900,180800
78113,743,0.759776536,0.240223464,2877,94000,128150,102000
78114,863,0.79053509,0.20946491,22409,384800,753550,599050
78118,542,0.714285714,0.285714286,3862,74000,153750,212950
78119,468,0.753895755,0.246104245,7521,190000,344850,379250
78121,1163,0.904448105,0.095551895,12726,188000,300750,278000
78123,827,0.73518851,0.26481149,2527,32000,64000,27000
78124,833,0.829698376,0.170301624,5961,68650,103050,96300
78130,1085,0.64302875,0.35697125,70055,1094000,1545850,2228150
78132,1303,0.865401024,0.134598976,26918,270000,427700,441800
78133,957,0.798234225,0.201765775,18942,277000,364050,509750
78140,406,0.668088737,0.331911263,3736,74000,69650,167400
78146,544,0.745454545,0.254545455,559,31000,40000,44000
78147,729,0.685887709,0.314112291,2156,33000,85200,101000
78148,1005,0.571356275,0.428643725,21456,273000,600800,794950
78151,480,0.686868687,0.313131313,1529,2000,11000,18000
78152,947,0.881258941,0.118741059,2155,52000,54000,63000
