Zip Code,MONTHLY HOUSING COSTS - Median,Owner-occupied housing percentage,Renter-occupied housing percentage,Total population,Fy 2017,Fy 2018,FY 2019 Through 7/31/2019
75204,1431,0.204907756,0.795092244,30370,102000,114000,157300
75205,2468,0.633042711,0.366957289,24211,32000,34500,35000
75206,1245,0.258813161,0.741186839,38762,466750,384900,425350
75207,1519,0,1,8028,82000,150000,160050
75208,961,0.544953767,0.455046233,29448,124000,159400,156200
75209,1560,0.58473167,0.41526833,13898,356000,472800,660450
75210,663,0.257527453,0.742472547,8243,44000,52100,70450
75211,819,0.496380846,0.503619154,77600,186050,392150,589300
75212,612,0.536621422,0.463378578,26120,107000,132550,181750
75214,1442,0.555204848,0.444795152,34145,105000,117950,143300
75215,719,0.354489664,0.645510336,15664,115000,226750,213900
75216,680,0.510040386,0.489959614,52895,201950,307800,354450
75217,813,0.610739979,0.389260021,85249,280900,387350,458350
75218,1200,0.657806353,0.342193647,22264,146650,229950,247600
75219,1331,0.349749821,0.650250179,23277,130800,181000,175700
75220,833,0.312622173,0.687377827,42642,603700,726750,822900
75223,828,0.546793761,0.453206239,14351,217250,273800,307100
75224,801,0.482500911,0.517499089,36468,50000,79300,80900
75225,2646,0.752091341,0.247908659,21568,84000,119000,148600
75226,1133,0.029181866,0.970818134,4790,37000,64000,102000
75227,874,0.576434054,0.423565946,57806,118050,168300,182050
75228,845,0.456784332,0.543215668,74605,182600,244400,296800
75229,1478,0.715156951,0.284843049,32390,124900,213450,318200
75230,1428,0.60678305,0.39321695,27521,131000,171300,121900
75231,842,0.195118975,0.804881025,40464,263750,365150,339850
75232,847,0.58457922,0.41542078,30714,270750,371600,411600
75233,897,0.510393981,0.489606019,16318,13000,30000,37000
75234,1128,0.615879083,0.384120917,32589,352650,594200,799500
75235,1019,0.262445887,0.737554113,18794,124000,163050,228000
75236,920,0.344516537,0.655483463,18542,56450,116800,110000
75237,811,0.150421179,0.849578821,20295,82600,95900,123450
75238,979,0.494065517,0.505934483,33009,145000,413800,429300
75240,970,0.228503657,0.771496343,27875,164000,261900,275150
75241,739,0.591315089,0.408684911,29398,110000,172800,177900
75243,867,0.244075483,0.755924517,67445,239200,278800,356750
75244,1405,0.499340804,0.500659196,13613,269000,250000,184000
75246,707,0.154417836,0.845582164,2276,33700,46100,62350
75248,1275,0.531549471,0.468450529,35464,160250,200400,213000
75249,1315,0.780259222,0.219740778,16100,6000,12000,12650
75251,1297,0,1,2368,42000,45000,64900
75252,1094,0.397880309,0.602119691,26493,163650,229600,255850
75253,821,0.655612245,0.344387755,22721,71000,139150,145550
75254,1060,0.18498452,0.81501548,26602,135000,196500,294700
75287,1017,0.203942325,0.796057675,53903,312150,421100,351000
75401,755,0.533570545,0.466429455,18830,82800,132500,141200
75402,912,0.711482792,0.288517208,16931,276000,347450,328000
75407,1003,0.683253077,0.316746923,16367,96350,138000,186000
75409,1352,0.737591912,0.262408088,14010,99000,136950,112250
75414,900,0.847693647,0.152306353,3184,12000,29000,39000
75418,706,0.688705234,0.311294766,14318,137000,233250,226300
75422,692,0.861900098,0.138099902,2946,6000,14000,8000
75423,780,0.846520496,0.153479504,2749,9000,13000,18000
75424,1016,0.840189873,0.159810127,3765,8000,16000,19000
75426,482,0.673304884,0.326695116,4953,11000,31050,63000
75428,728,0.482895784,0.517104216,10802,54650,99600,70900
75432,659,0.673563218,0.326436782,3519,14000,110000,100000
75433,714,0.811267606,0.188732394,2752,18000,13000,12000
75435,460,0.666666667,0.333333333,1374,2250,2000,2000
75440,669,0.801841473,0.198158527,6201,68650,137550,115300
75442,984,0.686711646,0.313288354,9848,66500,139900,90000
75446,635,0.774873524,0.225126476,3553,5000,4000,7000
75449,566,0.718213058,0.281786942,1484,2000,17000,11000
75452,737,0.735632184,0.264367816,4306,13000,22600,26250
75453,719,0.799209486,0.200790514,3102,6000,15000,17450
75454,1757,0.840122982,0.159877018,8807,60500,91800,100950
75455,689,0.648671626,0.351328374,28560,274700,602250,513750
75457,752,0.705508475,0.294491525,6131,58900,77800,85150
75459,826,0.759873618,0.240126382,5207,45000,66400,48000
75460,610,0.50419426,0.49580574,22226,188400,406350,394100
75462,857,0.735472291,0.264527709,11691,124550,145650,134000
75472,631,0.706884799,0.293115201,3931,30000,30850,18100
75473,651,0.845170455,0.154829545,3879,6000,1000,9000
75474,659,0.757093172,0.242906828,15047,127000,187050,273000
75479,560,0.792207792,0.207792208,1859,6000,22000,16000
75482,719,0.64575405,0.35424595,24802,219500,456000,477600
75489,912,0.646489104,0.353510896,1061,2750,4000,6000
75490,940,0.85778781,0.14221219,2399,16000,21000,30000
75491,840,0.751506024,0.248493976,5646,30000,30500,30000
75494,619,0.783701657,0.216298343,9931,50000,74100,65900
75495,1086,0.791216703,0.208783297,7797,45000,65000,77000
75496,636,0.77751004,0.22248996,3436,30000,29000,35000
75497,813,0.847672779,0.152327221,3585,28000,28000,27450
75501,661,0.600841337,0.399158663,35692,109450,257400,271000
75503,953,0.637379858,0.362620142,25916,299000,490300,399750
75550,452,0.798882682,0.201117318,838,3000,4000,4000
75551,599,0.789275635,0.210724365,10867,103000,165850,169600
75554,553,0.897402597,0.102597403,1805,13000,17600,11000
75556,434,0.804232804,0.195767196,1044,4000,3000,5000
75559,507,0.800583658,0.199416342,5316,44000,53850,39000
75560,573,0.864553314,0.135446686,715,22000,24650,32000
75561,635,0.693972179,0.306027821,5108,18000,30050,36750
75563,512,0.712096333,0.287903667,4410,55000,123400,102000
75567,770,0.761098131,0.238901869,5191,3000,2000,4750
75568,548,0.685328185,0.314671815,2271,11000,12000,18300
75569,752,0.524360033,0.475639967,3229,6000,27000,26000
75570,589,0.700031279,0.299968721,10969,58450,81650,110000
75571,604,0.838392857,0.161607143,3189,4000,8000,5000
75572,477,0.75875,0.24125,4285,22300,85850,104850
75601,786,0.566798419,0.433201581,16310,212000,301800,303300
75602,692,0.590138236,0.409861764,22112,245300,360900,375600
75603,717,0.808849558,0.191150442,5913,78000,121350,173750
75604,835,0.543274802,0.456725198,30565,337600,546450,846550
75605,890,0.61425182,0.38574818,30721,364100,568550,674300
75630,517,0.888601036,0.111398964,2238,9000,31850,10750
75631,605,0.791150442,0.208849558,3137,16000,16000,19000
75633,634,0.752050708,0.247949292,13779,130000,182600,191550
75638,535,0.76092437,0.23907563,5908,52000,84050,56950
75640,701,0.796517954,0.203482046,5020,12000,15000,6050
75644,615,0.711763357,0.288236643,12579,105000,154650,193850
75647,826,0.704332291,0.295667709,12459,72100,109500,292300
75650,803,0.759178594,0.240821406,8858,25000,32050,125000
75651,623,0.957746479,0.042253521,2192,8000,6000,9750
75652,695,0.694491887,0.305508113,17061,77000,84000,173700
75654,649,0.784152414,0.215847586,12299,76000,106000,177700
75656,626,0.748762376,0.251237624,4601,6000,24450,15000
75657,536,0.752299021,0.247700979,8139,125300,73100,52350
75661,498,0.760617761,0.239382239,3043,1000,3000,4000
75662,768,0.687701367,0.312298633,26009,338400,618250,594350
75668,551,0.62785114,0.37214886,2005,14150,20950,20300
75670,566,0.626808581,0.373191419,17537,124250,173300,227050
75672,699,0.780194805,0.219805195,16252,40000,66000,50900
75681,416,0.851505711,0.148494289,2299,22000,61850,78000
75683,545,0.790058862,0.209941138,3811,34000,66000,47450
75684,687,0.723779023,0.276220977,7750,35900,44000,73250
75686,616,0.718275154,0.281724846,13047,54050,79000,129100
75691,595,0.731497418,0.268502582,3006,28000,40300,70850
75692,604,0.804625685,0.195374315,5078,49100,61000,65000
75693,1025,0.686516376,0.313483624,6973,35000,66450,107350
75701,879,0.567457737,0.432542263,34876,301850,676700,801050
75702,649,0.519959447,0.480040553,28270,434300,695700,931050
75703,958,0.562234837,0.437765163,40868,362700,561100,695150
75704,655,0.764491553,0.235508447,9974,89000,159350,171250
75706,710,0.650920458,0.349079542,9793,174450,125600,186350
75707,932,0.722623574,0.277376426,14565,42000,82200,147000
75708,645,0.677029361,0.322970639,7709,100000,166350,173100
75709,993,0.592741935,0.407258065,5046,56000,127550,104000
75750,702,0.816713483,0.183286517,3695,22000,17000,27000
75751,755,0.627197518,0.372802482,16715,245100,331150,264850
75754,763,0.791546984,0.208453016,6506,38900,40850,46000
75755,657,0.678661936,0.321338064,5150,17000,13000,18800
75756,859,0.898897059,0.101102941,4873,21000,113900,86000
75757,874,0.861796184,0.138203816,12166,53100,69750,91000
75758,639,0.774127907,0.225872093,8100,171000,248800,278250
75760,453,0.841733871,0.158266129,2429,6000,22000,25000
75762,1151,0.801558879,0.198441121,12986,91850,88800,80000
75763,692,0.792624729,0.207375271,6286,32000,58000,48700
75765,681,0.842453817,0.157546183,7751,12000,18750,33000
