Zip Code,American Indian and Alaska Native percent,Asian percent,Black or African American percent,Female percent,Hispanic or Latino percent,Male percent,Median income(all),Median income(full time),Native Hawaiian and Other Pacific Islander percent,Total population,White percent,Fy 2017,Fy 2018,FY 2019 Through 7/31/2019
75104,0.1,2.8,54.7,53.2,22.1,46.8,37538,47367,0,48568,36.5,347150,492150,490100
75109,1.3,0.3,5.2,48.6,5.8,51.4,36398,46016,0,4096,86.4,73550,90950,146400
75110,1.8,0.9,17.1,51.4,32.3,48.6,24958,32117,1.7,28847,70.4,352350,805500,886200
75114,0.2,0.2,7.9,53.5,17.5,46.5,33577,45584,0,5930,89.3,14000,17000,25000
75115,0.1,0.5,69.3,53.4,16.1,46.6,37016,46782,0,52377,26.1,333600,480150,481450
75116,0.2,0.7,26.3,51,45.9,49,27392,34024,0,19996,68.5,268000,479100,525050
75117,2,0,3.5,51.2,6,48.8,27263,46060,0,4007,92.6,37000,70000,59800
75119,2.6,0.4,9.1,50.8,39.7,49.2,30204,39055,0.1,27514,78.2,379450,779450,887200
75124,0,0,2.6,49.5,4.4,50.5,29089,36412,0,4229,95.8,65000,110100,75500
75125,1,0.1,9.1,51.6,40.4,48.4,30155,48684,0,6236,83.1,126750,114750,134000
75126,0.2,1.8,12.4,51,18.3,49,46302,55561,0.1,42409,80.4,364400,411050,444850
75132,0,0,17.3,48.1,12.4,51.9,46676,48648,0,1864,82.7,15000,36750,32000
75134,0.5,0.6,70.1,55.2,22.2,44.8,27294,36292,0,22106,24,51850,100500,94800
75135,0,0.3,2.8,49.9,12.1,50.1,40582,46758,0.4,7113,91.1,59000,84750,96300
75137,0,0.7,45.5,54.1,29,45.9,32137,42942,0.2,19640,45.6,177500,325000,360950
75140,0.2,0.2,0.7,50.6,16.3,49.4,25811,35770,0,6752,96.6,66000,97450,87200
75141,0.4,0,35.9,32.7,38.9,67.3,22463,32697,0,5815,58.7,111300,166050,219200
75142,0.2,0,4.2,49.6,29,50.4,30772,38490,0,18702,88.2,202000,327950,384800
75143,0.6,0.1,3.6,51.2,12.7,48.8,30034,41720,0,14138,93.5,216100,353500,311050
75144,3.1,0,25.7,46.6,9.4,53.4,29410,39466,0,3377,69.4,152000,134000,101450
75146,0.4,0.1,64,54.1,16.1,45.9,31406,36388,0.2,19071,30.6,142400,232500,366400
75147,1,0.9,2.8,49.3,12,50.7,30524,40698,0,6736,91.8,82050,119400,94600
75148,0.2,0,18.5,53.2,10.8,46.8,20203,27875,0.5,5774,77,71650,73800,127300
75149,0.7,2,23.5,51.2,40.3,48.8,26136,35741,0,55797,68.8,444650,706200,764300
75150,0.8,3.3,21,52.5,42.5,47.5,29040,37463,0.1,62297,66.9,665800,825750,820250
75152,1.9,0.1,4.2,49.8,33.6,50.2,29509,40370,0,4694,85.7,43000,83400,92000
75154,1.1,0.9,25,51.1,26.7,48.9,36130,47604,0,40225,65.3,438900,651200,696350
75155,3.1,0,2.4,50.6,41.7,49.4,27544,34048,0,2946,82.4,33000,48000,37000
75156,1.4,0.5,1.2,51.7,5.3,48.3,30157,40000,0,15720,95.1,44700,67000,96400
75158,0.4,0.2,1.7,51.4,6.1,48.6,37471,47474,0,3793,91.1,4000,11000,13700
75159,0.4,0.6,10.4,46.7,37,53.3,29419,35843,0,19440,82.4,178400,343900,632950
75160,1,1.5,16,51.4,26.1,48.6,26733,38973,0.1,25315,73.1,272450,383050,452750
75161,0.3,0,15.4,50.4,13.6,49.6,29341,34731,0,6577,82.5,68000,105450,106250
75165,0.9,0.8,11.8,51.6,25.5,48.4,32585,44758,0.1,42048,78,637650,922550,1066350
75166,0.4,3.5,9.3,48.4,12.2,51.6,50035,55514,0,4057,79.5,32000,51550,75000
75167,0.5,0.1,3.5,48.2,18.1,51.8,40852,51714,0.1,10616,89.4,19000,23000,29000
75169,1.4,0.2,3.8,52.4,8.1,47.6,32684,42133,0,12779,93,84800,124200,131600
75172,0.2,0.4,20.4,45,60.2,55,21799,30574,0,4109,71.6,47000,106000,96700
75173,0.3,0.4,1.5,49.7,15,50.3,40605,48500,0,4166,92.6,24000,20750,49000
75180,0.1,0.9,20.1,50.6,59.9,49.4,25466,32439,0,24112,73.1,192850,339300,386800
75181,0.2,3.2,36.1,51.8,29.9,48.2,38647,50785,0,27588,53.9,76000,33000,32650
75189,0.3,0.9,5.1,51.1,20.5,48.9,41022,50207,0,25560,84.3,98000,166100,140500
75201,0,3.9,18.1,46,12.7,54,61126,69063,0,15185,74.5,39000,101150,96000
75202,0.1,4,15.7,43.7,15,56.3,60719,70588,0,2029,73.1,35000,28000,23050
75203,0.1,0.6,35.1,46.6,54.7,53.4,26120,31165,0,16351,57.6,157450,232000,215600
75204,0,8,13.6,48.4,23.4,51.6,51635,61102,0,30370,68.8,102000,114000,157300
75205,0.1,5.7,1.2,52.6,7.2,47.4,54643,112423,0.1,24211,90.7,32000,34500,35000
75206,0.3,6.9,5.7,47.7,23.3,52.3,46444,55536,0.1,38762,78.2,466750,384900,425350
75207,1,1.3,40,24.6,23.6,75.4,22295,57671,0.4,8028,49.4,82000,150000,160050
75208,0.5,0.7,5.1,48.1,67.8,51.9,31460,36521,0,29448,83.9,124000,159400,156200
75209,0,3,13.7,51.6,16.8,48.4,51486,64711,0,13898,76.4,356000,472800,660450
75210,0,0,62.7,48.7,36.4,51.3,22627,26523,0,8243,33.8,44000,52100,70450
75211,0.3,0.6,6.5,49.4,84.6,50.6,23681,28345,0.1,77600,81.6,186050,392150,589300
75212,0.6,1.4,28.4,54.7,55.2,45.3,21217,29369,0,26120,61.1,107000,132550,181750
