Zip Code,Scratcher Sales Amount,Income Per Household Amount,Population Count,Price Point,Male Population Count,Female Population Count,Asian Population Count,Black Population Count,Hawaiian Population Count,Hispanic Population Count,Indian Population Count,White Population Count,Other Population Count,Total Population,Male Population Ratio,Female Population Ratio,Asian Population Ratio,Black Population Ratio,Hawaiian Population Ratio,Hispanic Population Ratio,Indian Population Ratio,White Population Ratio,Other Population Ratio,Ticket count,Ticket Per Capita,Sales Per Capita
85009,6875720.00,27506,52520,20,28808,23712,379,2815,106,42478,1665,26381,23130,96954,0.548514851,0.451485149,0.00390907,0.029034387,0.001093302,0.438125297,0.017173092,0.272098108,0.238566743,343786,3.545867112,70.91734224
85009,1734420.00,27506,52520,30,28808,23712,379,2815,106,42478,1665,26381,23130,96954,0.548514851,0.451485149,0.00390907,0.029034387,0.001093302,0.438125297,0.017173092,0.272098108,0.238566743,57814,0.596303402,17.88910205
85012,1891720.00,62672,6390,20,3338,3052,216,448,21,1121,245,5174,507,7732,0.522378717,0.477621283,0.027935851,0.057941024,0.002715986,0.144981893,0.031686498,0.669167098,0.06557165,94586,12.23305742,244.6611485
85012,1723740.00,62672,6390,10,3338,3052,216,448,21,1121,245,5174,507,7732,0.522378717,0.477621283,0.027935851,0.057941024,0.002715986,0.144981893,0.031686498,0.669167098,0.06557165,172374,22.2935851,222.935851
85012,1476050.00,62672,6390,5,3338,3052,216,448,21,1121,245,5174,507,7732,0.522378717,0.477621283,0.027935851,0.057941024,0.002715986,0.144981893,0.031686498,0.669167098,0.06557165,295210,38.18028971,190.9014485
85012,567390.00,62672,6390,30,3338,3052,216,448,21,1121,245,5174,507,7732,0.522378717,0.477621283,0.027935851,0.057941024,0.002715986,0.144981893,0.031686498,0.669167098,0.06557165,18913,2.446068288,73.38204863
85013,4064840.00,51889,19314,20,9859,9455,791,1555,77,4945,947,14708,1961,24984,0.510458735,0.489541265,0.031660263,0.062239833,0.003081972,0.197926673,0.037904259,0.588696766,0.078490234,203242,8.134886327,162.6977265
85013,3942270.00,51889,19314,10,9859,9455,791,1555,77,4945,947,14708,1961,24984,0.510458735,0.489541265,0.031660263,0.062239833,0.003081972,0.197926673,0.037904259,0.588696766,0.078490234,394227,15.77917867,157.7917867
85013,3434025.00,51889,19314,5,9859,9455,791,1555,77,4945,947,14708,1961,24984,0.510458735,0.489541265,0.031660263,0.062239833,0.003081972,0.197926673,0.037904259,0.588696766,0.078490234,686805,27.48979347,137.4489673
85013,1037370.00,51889,19314,30,9859,9455,791,1555,77,4945,947,14708,1961,24984,0.510458735,0.489541265,0.031660263,0.062239833,0.003081972,0.197926673,0.037904259,0.588696766,0.078490234,34579,1.384045789,41.52137368
85014,3265850.00,46390,24782,10,12685,12097,699,1929,87,7492,1740,17557,3828,33332,0.511863449,0.488136551,0.020970839,0.057872315,0.002610104,0.224768991,0.052202088,0.526731069,0.114844594,326585,9.797941918,97.97941918
85014,3241600.00,46390,24782,20,12685,12097,699,1929,87,7492,1740,17557,3828,33332,0.511863449,0.488136551,0.020970839,0.057872315,0.002610104,0.224768991,0.052202088,0.526731069,0.114844594,162080,4.862594504,97.25189008
85014,3114325.00,46390,24782,5,12685,12097,699,1929,87,7492,1740,17557,3828,33332,0.511863449,0.488136551,0.020970839,0.057872315,0.002610104,0.224768991,0.052202088,0.526731069,0.114844594,622865,18.68669747,93.43348734
85014,949080.00,46390,24782,30,12685,12097,699,1929,87,7492,1740,17557,3828,33332,0.511863449,0.488136551,0.020970839,0.057872315,0.002610104,0.224768991,0.052202088,0.526731069,0.114844594,31636,0.949117965,28.47353894
85015,4765415.00,33532,37644,5,19013,18631,2468,3669,220,18239,2371,23662,7120,57749,0.50507385,0.49492615,0.042736671,0.063533568,0.00380959,0.315832309,0.041056988,0.409738697,0.123292178,953083,16.50388751,82.51943757
85015,3857570.00,33532,37644,10,19013,18631,2468,3669,220,18239,2371,23662,7120,57749,0.50507385,0.49492615,0.042736671,0.063533568,0.00380959,0.315832309,0.041056988,0.409738697,0.123292178,385757,6.679890561,66.79890561
85015,3241000.00,33532,37644,20,19013,18631,2468,3669,220,18239,2371,23662,7120,57749,0.50507385,0.49492615,0.042736671,0.063533568,0.00380959,0.315832309,0.041056988,0.409738697,0.123292178,162050,2.806109197,56.12218393
85015,975600.00,33532,37644,30,19013,18631,2468,3669,220,18239,2371,23662,7120,57749,0.50507385,0.49492615,0.042736671,0.063533568,0.00380959,0.315832309,0.041056988,0.409738697,0.123292178,32520,0.563126634,16.89379903
85016,9327780.00,55156,33896,20,16976,16920,1276,2000,104,10684,1614,25248,5017,45943,0.500826056,0.499173944,0.027773545,0.043532203,0.002263675,0.232549028,0.035130488,0.54955053,0.109200531,466389,10.1514703,203.029406
85016,7901860.00,55156,33896,10,16976,16920,1276,2000,104,10684,1614,25248,5017,45943,0.500826056,0.499173944,0.027773545,0.043532203,0.002263675,0.232549028,0.035130488,0.54955053,0.109200531,790186,17.19926866,171.9926866
85016,6976175.00,55156,33896,5,16976,16920,1276,2000,104,10684,1614,25248,5017,45943,0.500826056,0.499173944,0.027773545,0.043532203,0.002263675,0.232549028,0.035130488,0.54955053,0.109200531,1395235,30.36882659,151.8441329
85016,2416800.00,55156,33896,30,16976,16920,1276,2000,104,10684,1614,25248,5017,45943,0.500826056,0.499173944,0.027773545,0.043532203,0.002263675,0.232549028,0.035130488,0.54955053,0.109200531,80560,1.753477135,52.60431404
85017,6872200.00,29758,38872,5,19945,18927,2302,3003,129,25169,1520,20739,12901,65763,0.513094258,0.486905742,0.035004486,0.045663975,0.001961589,0.382722808,0.023113301,0.315359701,0.19617414,1374440,20.89989812,104.4994906
85017,5710680.00,29758,38872,10,19945,18927,2302,3003,129,25169,1520,20739,12901,65763,0.513094258,0.486905742,0.035004486,0.045663975,0.001961589,0.382722808,0.023113301,0.315359701,0.19617414,571068,8.683727932,86.83727932
85017,4300980.00,29758,38872,20,19945,18927,2302,3003,129,25169,1520,20739,12901,65763,0.513094258,0.486905742,0.035004486,0.045663975,0.001961589,0.382722808,0.023113301,0.315359701,0.19617414,215049,3.270060672,65.40121345
85017,958740.00,29758,38872,30,19945,18927,2302,3003,129,25169,1520,20739,12901,65763,0.513094258,0.486905742,0.035004486,0.045663975,0.001961589,0.382722808,0.023113301,0.315359701,0.19617414,31958,0.485957149,14.57871447
85018,6275180.00,60250,36065,20,17821,18244,1037,1532,96,7162,1020,30449,3135,44431,0.494135589,0.505864411,0.02333956,0.03448043,0.002160654,0.161193761,0.022956944,0.685309806,0.070558844,313759,7.061713668,141.2342734
85018,5250910.00,60250,36065,10,17821,18244,1037,1532,96,7162,1020,30449,3135,44431,0.494135589,0.505864411,0.02333956,0.03448043,0.002160654,0.161193761,0.022956944,0.685309806,0.070558844,525091,11.81812248,118.1812248
85018,4882005.00,60250,36065,5,17821,18244,1037,1532,96,7162,1020,30449,3135,44431,0.494135589,0.505864411,0.02333956,0.03448043,0.002160654,0.161193761,0.022956944,0.685309806,0.070558844,976401,21.97567014,109.8783507
85018,1893690.00,60250,36065,30,17821,18244,1037,1532,96,7162,1020,30449,3135,44431,0.494135589,0.505864411,0.02333956,0.03448043,0.002160654,0.161193761,0.022956944,0.685309806,0.070558844,63123,1.420697261,42.62091783
85019,3462030.00,31815,25042,5,12608,12434,976,1578,67,17199,863,13631,9029,43343,0.503474163,0.496525837,0.022518054,0.036407263,0.001545809,0.396811481,0.019910943,0.314491383,0.208315068,692406,15.97503634,79.87518169
85019,2799530.00,31815,25042,10,12608,12434,976,1578,67,17199,863,13631,9029,43343,0.503474163,0.496525837,0.022518054,0.036407263,0.001545809,0.396811481,0.019910943,0.314491383,0.208315068,279953,6.459012989,64.59012989
85019,2297860.00,31815,25042,20,12608,12434,976,1578,67,17199,863,13631,9029,43343,0.503474163,0.496525837,0.022518054,0.036407263,0.001545809,0.396811481,0.019910943,0.314491383,0.208315068,114893,2.650785594,53.01571188
85019,501510.00,31815,25042,30,12608,12434,976,1578,67,17199,863,13631,9029,43343,0.503474163,0.496525837,0.022518054,0.036407263,0.001545809,0.396811481,0.019910943,0.314491383,0.208315068,16717,0.385690884,11.57072653
85020,6539900.00,49332,32850,20,16163,16687,962,1500,73,8894,937,26636,3849,42851,0.492024353,0.507975647,0.022449884,0.035005017,0.001703578,0.207556416,0.021866468,0.621595762,0.089822875,326995,7.630977107,152.6195421
85020,6435090.00,49332,32850,10,16163,16687,962,1500,73,8894,937,26636,3849,42851,0.492024353,0.507975647,0.022449884,0.035005017,0.001703578,0.207556416,0.021866468,0.621595762,0.089822875,643509,15.01736249,150.1736249
85020,6018130.00,49332,32850,5,16163,16687,962,1500,73,8894,937,26636,3849,42851,0.492024353,0.507975647,0.022449884,0.035005017,0.001703578,0.207556416,0.021866468,0.621595762,0.089822875,1203626,28.0886327,140.4431635
85020,1669050.00,49332,32850,30,16163,16687,962,1500,73,8894,937,26636,3849,42851,0.492024353,0.507975647,0.022449884,0.035005017,0.001703578,0.207556416,0.021866468,0.621595762,0.089822875,55635,1.298336095,38.95008285
85021,6387410.00,40744,37743,5,18978,18765,1709,3140,154,12602,2119,25879,6286,51889,0.502821715,0.497178285,0.03293569,0.060513789,0.002967874,0.242864576,0.040837172,0.49873769,0.12114321,1277482,24.61951473,123.0975737
85021,5868420.00,40744,37743,10,18978,18765,1709,3140,154,12602,2119,25879,6286,51889,0.502821715,0.497178285,0.03293569,0.060513789,0.002967874,0.242864576,0.040837172,0.49873769,0.12114321,586842,11.30956465,113.0956465
85021,5195820.00,40744,37743,20,18978,18765,1709,3140,154,12602,2119,25879,6286,51889,0.502821715,0.497178285,0.03293569,0.060513789,0.002967874,0.242864576,0.040837172,0.49873769,0.12114321,259791,5.00666808,100.1333616
85021,1427490.00,40744,37743,30,18978,18765,1709,3140,154,12602,2119,25879,6286,51889,0.502821715,0.497178285,0.03293569,0.060513789,0.002967874,0.242864576,0.040837172,0.49873769,0.12114321,47583,0.917015167,27.51045501
