Zip Code,Asian percent,Hispanic or Latino percent,White percent,Total population,Fy 2017,Fy 2018,FY 2019 Through 7/31/2019
75219,9.1,24.6,75.6,23277,130800,181000,175700
75220,0.8,57.7,89.6,42642,603700,726750,822900
75223,0.8,70.6,81.1,14351,217250,273800,307100
75224,1.4,64.3,66.1,36468,50000,79300,80900
75225,3.7,4.3,94.2,21568,84000,119000,148600
75226,1,35.4,73.5,4790,37000,64000,102000
75227,0.7,63.3,66.4,57806,118050,168300,182050
75228,2.2,54.1,55.4,74605,182600,244400,296800
75229,2.7,33.9,90.1,32390,124900,213450,318200
75230,4,11.2,82.9,27521,131000,171300,121900
75231,8.5,35.6,53.8,40464,263750,365150,339850
75232,0.2,29.4,32.1,30714,270750,371600,411600
75233,0.2,58.1,56.1,16318,13000,30000,37000
75234,5.8,50.3,71.4,32589,352650,594200,799500
75235,6.9,48.1,69.3,18794,124000,163050,228000
75236,4.2,42.6,43.4,18542,56450,116800,110000
75237,1.1,17,13.6,20295,82600,95900,123450
75238,5.9,26.9,69.8,33009,145000,413800,429300
75240,5.2,59.5,27.9,27875,164000,261900,275150
75241,0,19.1,18.1,29398,110000,172800,177900
75243,6.3,24.4,42.8,67445,239200,278800,356750
75244,6,23,68.5,13613,269000,250000,184000
75246,1.8,36.8,66.4,2276,33700,46100,62350
75248,5.6,18.7,66.5,35464,160250,200400,213000
75249,3.7,37.4,35.9,16100,6000,12000,12650
75251,9.7,12.5,75.1,2368,42000,45000,64900
75252,19.1,15.7,54.7,26493,163650,229600,255850
75253,0,66.9,75.4,22721,71000,139150,145550
75254,4.4,42.2,38,26602,135000,196500,294700
75287,6.7,19.1,51,53903,312150,421100,351000
75401,0.7,31.5,56,18830,82800,132500,141200
75402,0.9,10.8,85.7,16931,276000,347450,328000
75407,1.2,26.3,87.7,16367,96350,138000,186000
75409,3.5,12.3,86.7,14010,99000,136950,112250
75414,1.7,6.7,91,3184,12000,29000,39000
75418,0.8,13.6,83.7,14318,137000,233250,226300
75422,1.3,12,88.7,2946,6000,14000,8000
75423,0.3,10.2,91.9,2749,9000,13000,18000
75424,0.6,9.6,96.4,3765,8000,16000,19000
75426,0,8.2,63.4,4953,11000,31050,63000
75428,6,11.4,64.5,10802,54650,99600,70900
75432,0.7,5.8,85.1,3519,14000,110000,100000
75433,0.1,6.8,97,2752,18000,13000,12000
75435,0,11.3,93.5,1374,2250,2000,2000
75440,0,8.5,91.5,6201,68650,137550,115300
75442,0.6,17.8,89,9848,66500,139900,90000
75446,0.4,10.8,81.2,3553,5000,4000,7000
75449,1.7,12.3,69.1,1484,2000,17000,11000
75452,0,7.8,93.4,4306,13000,22600,26250
75453,0,8.4,88.9,3102,6000,15000,17450
75454,4.8,15.7,84.4,8807,60500,91800,100950
75455,0.9,43.1,72.4,28560,274700,602250,513750
75457,0.1,6.8,86.1,6131,58900,77800,85150
75459,3.7,9.6,91.1,5207,45000,66400,48000
75460,1.3,8.8,69.5,22226,188400,406350,394100
75462,1.3,3.4,89,11691,124550,145650,134000
75472,0.2,7.8,88.2,3931,30000,30850,18100
75473,0,13.3,93.7,3879,6000,1000,9000
