Zip Code,Asian percent,Hispanic or Latino percent,White percent,Total population
85554,0,4.9,94.5,493
85602,0.2,19.7,92.9,9016
85603,0.4,34.5,89.2,6775
85605,0,48.9,79.5,468
85606,0,13.4,92.5,1183
85607,1.1,83.7,84.7,14428
85608,0.1,51.2,80.6,6190
85610,0.5,25.3,91.2,874
85613,5,14.8,74.9,5509
85614,0.6,13.3,96.2,23229
85615,0.2,23.2,95.7,9929
85616,2,21,77.2,5374
85617,0.5,17.6,88.1,1293
85618,0,65.7,75.2,1781
85620,0.7,87.3,76,670
85621,1.2,93,85.7,22290
85622,0.6,2.4,98.7,6330
85623,0,31,91.2,4980
85624,0.3,30.2,89.9,1390
85625,0,28.2,85.4,2053
85626,0,92.3,64.2,1172
85627,0,9.7,99.6,1187
85629,2.4,37.8,87.6,25500
85630,0,12,99.6,2418
85631,0,56,93.7,3719
85632,0.5,23.5,91.4,759
85634,0.6,2,3.3,6409
85635,3.5,29.1,76.9,33574
85637,0.8,10.1,98.5,1313
85638,0,22.7,92,1991
85641,1.5,20.2,88.5,25657
85643,0.3,53.6,87.4,8239
85645,0.2,56.6,82.5,2235
85648,0.6,88.3,84.8,18992
85650,3.4,19.6,88,15136
85653,1.6,27.7,79.4,16405
85658,3.2,12.6,86.8,10683
85701,3.9,34.8,78.6,5286
85704,3.9,21.5,85.7,31795
85705,3.9,46.5,67.5,55463
85706,0.9,83.6,71.9,55691
85708,8.9,17.7,66.8,4187
85710,3.3,26.7,80.1,56168
85711,3.4,37.3,71.4,39451
85712,3.2,23.8,79.3,33239
85713,0.7,68.4,63,46071
85714,0,82.1,63.7,14683
85715,2.3,16.9,89.7,17066
85716,4.8,26.8,79.1,31134
85718,6.1,13.8,85.3,26262
85719,6.3,25.1,77.6,47503
85730,2.8,27.5,72.2,39055
85735,0.9,38.8,73.2,11108
85736,0.8,40.2,80.7,4998
85737,3.9,15.7,88.4,21293
85739,0.4,12.7,93.1,18474
85741,1.8,30,79.8,35149
85742,2.7,26.6,84.7,26868
85743,3.7,25.9,85.2,29552
85745,3.4,52.5,73.9,38005
85746,0.7,74,61.3,43873
85747,2.6,23,82.7,25077
85748,4,18.6,84.2,17727
85749,2.4,8.8,90.7,19121
85750,6,10.5,88,24207
85755,2.4,12.7,91.2,16143
85756,1.2,58.7,68.7,40965
85757,0.9,63.9,46.1,19264
85901,0.6,15.5,89.8,18279
85911,2.7,6.4,0.8,2293
85920,0,10,97.1,309
85924,1.6,16.4,91,2668
85925,0,17.8,90.6,4936
85929,0.2,17.9,91.7,7085
85930,0,6.5,1.4,1340
85933,0.6,7.9,92.7,2690
85935,0.2,9.5,84.5,4963
85936,0,28.7,84.2,4520
85937,0,4.9,91.9,7827
85938,0.1,30.2,81.6,2042
85939,0.6,13.2,89,4215
85940,0,4.1,97,971
85941,0.4,2.4,2.1,10968
86001,3.3,15.4,80,44819
86004,1,20.9,78,36186
86011,4.3,19.3,78,8471
86018,1.3,2,84.2,879
86020,0,1.9,1.2,2213
86021,0,0,100,6325
86022,0,3,72.1,2209
86023,4.4,13.7,71.1,1830
86024,0,3.6,92.6,585
86025,1.8,23.8,58.1,5552
86030,0.5,1.4,2.4,1717
86031,0,0.9,1,1830
86032,0.1,10.2,68.4,1396
86033,0.5,0.8,4.8,7130
86034,0.3,4.7,2.9,2096
86035,1.4,2.4,0.6,2061
86036,0,1.8,54.6,399
86039,0,0.8,0.2,1218
86040,0.6,6.7,32.3,10752
86042,3.5,0.5,5.7,2161
86043,0.3,0.2,0,2762
86044,0.1,0.2,0.5,3707
86045,1.1,1.4,3,11885
86046,0.5,21.8,83.5,5535
