,Zip1,Similiarity1,Prediction1,Zip2,Similiarity2,Prediction2,Zip3,Similiarity3,Prediction3,Zip4,Similiarity4,Prediction4,Zip5,Similiarity5,Prediction5,Zip6,Similiarity6,Prediction6
84531,78072,0.9672733605603665,166374.50495049506,76629.0,0.9999693032774879,30188.612099644128,76044.0,0.9999997352658159,10061.437220321139,77977,0.9999943670840341,21376.171352074965,79563,0.9998740282853044,63560.83650190114,77419,0.9999999957401455,32182.6205023761
84536,78072,0.9937598456470478,303575.12376237626,75833.0,0.999977218643626,30849.696707105722,76821.0,0.9999999515175174,34478.12840043526,78389,0.9999989760325392,192534.56561922366,79355,0.9999688583347387,34704.07623080995,78850,0.9999999950347932,13943.33843797856
85003,79906,0.990260201883982,15267.512195121952,76249.0,0.9999790571734996,92902.06669798028,75076.0,0.9999999972924553,83891.57923799005,79410,0.9999998517043799,12429.072315558802,78756,0.9999990841594373,189509.89614420437,76067,0.9999999999957623,158966.45591167745
85004,78072,0.9482024992521206,990911.881188119,75692.0,0.9998287416187945,71402.91453328081,76444.0,0.9999998792704449,68479.26267281106,79121,0.9999999773764269,44250.379823761774,78017,0.9999898081458083,113026.5505984766,78146,0.9999999999993798,425330.94812164584
85006,77014,0.9861257105350496,63506.45134204708,76180.0,0.9999917551619033,397782.50790160784,76901.0,0.9999999999010748,417996.11265437264,78028,0.9999999993026668,753889.1535860293,75240,0.9999999735871513,259983.31479820627,77012,0.9999999999999758,248053.94822006472
85007,75219,0.9810063113742058,111789.19104695623,77389.0,0.9999869883986192,51003.29329109557,76126.0,0.9999999991764188,287704.44860688364,78654,0.999999997496619,286899.6916919082,75223,0.9999999348858986,282557.17371611734,76501,0.9999999999955114,190277.01895168176
85008,77083,0.9910657137193531,309087.81231110217,79907.0,0.9999141674039952,99266.42369871975,78040.0,0.9999999996826241,311789.5283999622,75040,0.9999999995989457,693678.0834015768,76137,0.9999999875487351,528023.8075418298,78572,0.9999999999999994,467675.8918369938
85009,75227,0.9938334605377852,139197.02107047712,77015.0,0.9999951780753451,643820.959516574,78237.0,0.9999999946553861,715977.3115068786,75227,0.9999999987134651,139197.02107047712,78744,0.9999999891137091,614110.5260984473,76119,0.9999999999999856,225066.71145101282
85012,77951,0.994114888290608,39491.01505585235,77358.0,0.999991073427104,92796.21225656602,76849.0,0.9999999862311554,478454.6858908342,78266,0.999999585803361,72320.18974206937,75860,0.9999986903906787,105099.29851909587,76501,0.9999999999965533,87057.19651698822
85013,75219,0.9880622243121504,158701.40052412252,77008.0,0.9999954116697284,227982.66214374764,78702.0,0.9999999999736815,340613.0879524392,77586,0.9999999995027272,281887.79190334503,78703,0.9999999252517513,82783.15614777755,75253,1.0,128763.20364420579
85014,78414,0.9860411304178391,295167.018751793,77598.0,0.9999774876691567,492822.6740653732,77041.0,0.9999999975358402,252580.8407780165,78628,0.9999999998670647,472095.26086669747,77380,0.9999999586001751,441018.4893784422,77447,0.9999999999999262,233360.75036075036
85015,77090,0.9911206462348067,238304.78220067255,75034.0,0.9999207231836009,634819.4247676986,77080.0,0.9999999998135819,354654.2100076646,77471,0.9999999998287509,1184781.5227746735,77074,0.9999999901761344,239587.52975072028,77598,0.9999999999999843,708308.9837579489
85016,75208,0.983207331066633,187351.94919858736,78238.0,0.9999603087294229,683175.1521739131,77530.0,0.9999999998926444,413548.197242842,78723,0.999999999438514,530986.3325293941,75214,0.9999999798748265,122012.35759261971,77705,0.9999999999999956,722878.1547808618
85017,78744,0.9896205858159407,535063.5447637925,75149.0,0.9999646723565784,527223.0980160224,78041.0,0.9999999998492998,661242.4760557949,78227,0.9999999991326596,521860.7595445143,77073,0.9999999869926541,222106.909770921,76308,0.9999999999998321,314447.82810805226
85018,78414,0.9800456521808991,407569.5485486269,75025.0,0.9999638995960692,155182.52394555535,76502.0,0.9999999999876117,762091.965466283,77004,0.9999999970064938,77270.57010785825,75081,0.9999999861214742,445930.4004214963,76531,0.9999999999999977,563797.9274611399
85019,77090,0.9870253281789035,157240.6271994995,77066.0,0.9999855997878976,120601.82270091135,75075.0,0.9999999995174179,211920.58275123147,77086,0.9999999996926187,294773.68670778826,77503,0.9999999625907586,414974.33036567195,75249,0.9999999999999918,19374.4099378882
85020,75208,0.9869076313526866,176610.81227927195,77037.0,0.9999793141292674,461936.72023156006,75604.0,0.9999999999287539,595275.6159005398,76021,0.9999999996444935,479598.54051193496,77351,0.9999999848858339,615392.8009879816,75051,0.9999999999999546,434428.1822176652
85021,77090,0.9910308571072112,249888.83240791428,77642.0,0.9999903142695024,370295.8424507659,77074.0,0.9999999999920073,251233.9346110485,76017,0.9999999986775654,586169.6553924697,78221,0.9999999923972056,742110.2511863648,78015,0.9999999999999865,44142.872562423545
85022,77090,0.9900096991162275,303919.5041839368,78415.0,0.9999955913907214,448314.5668708021,77450.0,0.9999999982535597,312703.95680079324,77469,0.9999999995299675,610495.8580133804,75023,0.9999999836909758,268985.22486532293,78133,0.9999999999999972,965610.817231549
85023,75208,0.9873389697050058,178286.96006519967,77091.0,0.9999746134880149,247665.26882145824,77053.0,0.9999999981710527,234940.15940755617,78626,0.9999999994407406,294436.9454947893,78217,0.999999978026756,983411.7681862557,78023,0.9999999999999996,304929.4322442421
85024,75219,0.9860371060999193,185671.20333376294,79110.0,0.9999834089315073,395201.73058933584,75218.0,0.9999999999622258,254056.32860222782,78752,0.9999999988898568,655296.4387745049,77505,0.9999999503596072,593834.0940982254,79606,0.9999999999999901,602331.8191315976
85027,75208,0.9896723531219119,188455.23634881826,77388.0,0.999984220806492,449799.4186426998,78413.0,0.9999999993550382,596420.8098327926,76180,0.999999997976249,510744.632403463,79720,0.9999999785615029,1296121.2355595923,76106,0.9999999999999983,431406.74690193275
85028,79512,0.9820383622483114,329307.61350701906,78065.0,0.9999788902582932,164962.53314998528,78374.0,0.9999999712336328,486333.4550704943,75078,0.9999999718363258,197945.93420988793,78734,0.999999852741625,237144.68806751416,75803,1.0,72177.16019735405
85029,77090,0.9949836898686512,270667.5334323922,77584.0,0.9999623896437887,500242.5362426969,77040.0,0.9999999999787434,389489.9633335405,77471,0.9999999998455051,1345679.6353992326,77388,0.9999999848517862,566474.5697083398,75042,0.9999999999999964,676451.5596956444
85031,77090,0.9945001876372102,191593.53640416046,76244.0,0.9999788117714582,134882.86747117477,77386.0,0.9999999998729057,208607.56664529996,77039,0.9999999994010884,190171.61268411268,78242,0.9999999727260642,248090.38803094614,78257,0.9999999999999983,1552791.2559358114
85032,75227,0.989586912132097,208469.447808186,78227.0,0.9999779879419944,897032.7435583315,77083.0,0.9999999999960043,364606.5012341326,75220,0.9999999999324561,1220333.9489235964,78130,0.9999999922912991,1580008.5297266433,75227,0.9999999999997968,208469.447808186
85033,75228,0.9934670766960717,213976.53240399438,75228.0,0.9999452224977577,213976.53240399438,77093.0,0.9999999991570383,764871.0160259296,78046,0.9999999962937433,86500.2087201854,78574,0.9999999904801894,135834.73170253765,78736,0.9999999999998116,282016.9776802049
85034,79906,0.9804019445727704,7867.317073170731,75141.0,0.9999645109210425,127928.46087704213,78343.0,0.9999999877984466,112256.05852766347,75076,0.9999997836195377,43229.155162893425,79782,0.9999953737897779,100926.34372926343,79357,0.99999999996223,97132.74336283185
85035,77083,0.9947466352481086,292334.94736046746,75243.0,0.9998359716274569,237317.9331306991,78155.0,0.9999999999092135,1178459.7105479366,78207,0.9999999999416164,486972.61933383887,79928,0.9999999917350315,90884.94485585127,76437,0.9999999999999981,1505139.0483243843
85037,75220,0.9917958207413766,889732.7458843394,75060.0,0.9999927698885124,950697.0389382746,78251.0,0.9999999999719356,1252448.9935408905,75149,0.9999999992760352,660737.5127695038,78640,0.9999999877112657,699206.658990959,77015,0.9999999999998995,703005.0866254497
85040,77090,0.9926863053395015,196753.42926409634,75041.0,0.9999942542799855,400373.3395387941,75056.0,0.9999999997179634,245219.21736846713,75041,0.9999999998973388,400373.3395387941,78242,0.99999998479585,254771.82335410456,78411,0.9999999999999863,1042925.3180278509
