Zip Code,American Indian and Alaska Native percent,Asian percent,Black or African American percent,Female percent,Hispanic or Latino percent,Male percent,Median income (full time),Median income(all),Native Hawaiian and Other Pacific Islander percent,Total population,White percent
86442,1,2,2,51.9,26.7,48.1,31472,21767,0,33290,86.7
86502,85.3,0.2,0,55.9,7.1,44.1,35789,18750,0,1332,10.6
86503,92.4,0.1,0.3,50.9,2.1,49.1,34552,28492,0.4,11553,3.7
86504,92.1,0,2.4,52.7,1.5,47.3,33010,25952,0,7001,2.9
86505,96.1,0.4,0.1,51.3,2.3,48.7,34217,29054,0.1,7880,1.6
86506,97.4,0,0,54.3,1.4,45.7,35083,24457,0,1208,0.4
86507,97.4,0,0,54.2,0.4,45.8,31958,26790,0,2481,0.2
86508,91.6,0,0,54.3,1.9,45.7,29417,25882,0,822,1.8
86510,93,2.1,0,52.1,2,47.9,39306,25827,0.1,4741,1.5
86511,92.2,1,0.3,49,1.8,51,34338,28413,0.3,3640,3.6
86512,89,2.5,0.5,48.4,3.2,51.6,32083,26333,0,2634,5.5
86514,97.7,0.2,0.1,49.9,1.7,50.1,36344,27708,0,2734,1.5
86515,89,0.9,0.4,52,6.2,48,36090,31438,0,4933,5.1
86520,98.9,0,0,53.3,1,46.7,32560,21307,0,1882,0
86535,99,0,0,54.2,0,45.8,30556,25046,0,1260,0
86538,96.9,0.1,0.3,52,0.1,48,35110,29125,0,2080,2.5
86540,98.2,0,0,54.1,0.2,45.9,37632,29000,0,1042,0
86544,98.1,0,0,46.3,0.4,53.7,35903,25500,0,1129,1.2
86545,99.7,0,0,53.7,0,46.3,32292,27955,0,1436,0
86547,99.7,0,0,52,0,48,31250,24313,0,1185,0
86556,86.4,0.4,1.3,52,3.7,48,30500,17019,0,1956,10.2
87305,86.7,0,0.9,49.2,5.5,50.8,26298,20723,0.1,3553,8.6
87327,95.4,1.3,0.1,51.1,1.6,48.9,23896,15063,0,9505,2.1
87328,94.5,0.2,0.1,51.3,2.1,48.7,31414,21818,0,2674,0.9
