Zip Code,Percent bachelor's degree or higher,Percent high school graduate or higher,Total population,Fy 2017,Fy 2018,FY 2019 Through 7/31/2019
77025,68,93.2,28922,172800,229250,211100
77026,7.5,62.5,22799,50450,81650,76250
77027,75.7,97.6,16012,214000,293500,295850
77028,7.7,74.5,15725,112650,144300,155100
77029,7.5,57.8,17894,184000,372450,283850
77030,84.3,97.8,10813,32000,63000,41000
77031,26.2,74.5,18052,113000,173600,246750
77032,8.5,62.2,14443,147750,211600,254600
77033,7.3,68.6,29692,38000,70800,58150
77034,13.3,72.1,40183,281450,382050,251450
77035,27,72.9,38324,308000,457750,508400
77036,15,62.7,76605,182100,278450,224200
77037,2.8,44,20038,223000,327150,278000
77038,8.1,55.7,30653,126700,204000,325900
77039,3.5,48.1,27972,93250,195200,167950
77040,27.6,78.6,48273,311000,420200,494000
77041,34.1,83.3,35372,218650,325950,411550
77042,43.6,88.6,42098,218000,348750,397550
77043,34.7,79,25838,213000,203050,191150
77044,29.4,83.6,42665,130000,262450,385650
77045,15.1,70.1,36270,118550,228450,230200
77046,71,100,1029,44000,42000,51000
77047,27.2,86,29410,261600,382250,381150
77048,18.1,80.9,17143,34950,82300,150250
77049,15.5,71.1,33749,215000,386800,471250
77050,12.2,66.5,5031,13000,37700,47400
77051,11.2,78,16661,98150,146400,105950
77053,10.8,68,31868,143000,222750,265000
77054,60.2,98.6,22517,156000,193850,210400
77055,33.9,72.5,45003,279700,505050,471950
77056,74.8,98,21732,122900,212000,210000
77057,56.5,85.2,40130,298000,619600,526650
77058,41.1,92.6,16669,223000,372900,441550
77059,70.7,95.2,17374,82000,138000,135000
77060,6.1,55.1,44549,72000,150850,190050
77061,13.2,65.9,26276,108000,263050,268500
77062,45.5,94.4,26583,90000,156800,186700
77063,47,89,38931,177700,408000,515600
77064,29.7,82.3,49578,130800,228850,259350
77065,29.3,86.5,38820,557400,694400,652250
77066,22.7,79.8,33796,92000,158550,156800
77067,10.9,71.2,33489,156200,212000,215000
77068,35.5,87.1,10897,99000,88300,89350
77069,47.8,97.3,18238,207600,421150,314150
77070,38.4,93.1,51080,586200,783900,764300
77071,35.4,84.8,27981,82000,190850,213400
77072,13.3,63.9,62162,252650,404150,553650
77073,16.4,82.7,42780,112000,228100,229750
77074,19.2,69.8,39915,107000,242750,259800
77075,12.5,69.3,43586,232650,398250,324250
77076,3.9,52.1,35144,147600,241400,242100
77077,54.6,95.6,57757,325100,552150,545400
77078,9.7,69.6,15820,9150,22000,22000
77079,64.3,93.4,33577,181350,285900,314850
77080,17.3,67.6,45665,198000,421100,411100
77081,20.1,64.2,49059,183900,342400,382850
77082,36.6,88.6,56641,338000,420100,460500
77083,25.2,80.1,79408,220300,404350,413500
77084,28.8,84.8,104582,520600,811500,1042700
77085,16.8,65.8,17981,36000,63600,58600
77086,8.4,65,29506,143000,334600,351200
77087,8.9,60.8,37200,162400,408850,311950
77088,13.5,70.9,56716,132150,192750,211800
77089,21.6,81.9,52699,262000,401100,437700
77090,21.2,85,38361,159250,289800,232050
77091,14.1,74.2,25277,177600,233700,186250
77092,16.6,73.4,38476,256150,361900,334250
77093,3.2,48.7,44428,262000,547000,520250
77094,72.2,97.8,9439,43000,74000,117000
77095,42.7,92.9,72081,401600,711450,833700
77096,52.1,91.1,35465,165000,276000,252600
77098,79.3,98,13444,93000,114850,123000
77099,15.8,71,51905,180900,277750,305700
77301,12.7,63.2,31801,273400,406600,449400
77302,19.2,84.1,19311,80000,125750,186050
77303,12.3,76,19695,234550,426650,397050
77304,35,90.2,28692,251850,397050,484300
77306,4.9,67.7,11453,128000,212050,240000
77316,31.7,90.4,21272,20000,58000,81950
77318,26.1,92.3,15437,155000,306550,452600
77320,15.2,81.1,35670,121000,220250,280000
77327,9.7,74.9,22430,162000,191600,210150
77328,8.8,74.4,15863,133350,234200,213600
77331,15.2,84.1,7667,29000,47000,60000
77335,9.8,86.6,2519,20000,15550,18000
77336,16,87.1,12397,222000,358700,433100
77338,16.6,85.7,40335,524750,1008700,884300
77339,41.4,95.7,41403,334050,647850,529950
77340,29.7,87.5,29900,229000,357550,367650
77345,62.9,97.4,29090,93000,156600,221700
77346,40.2,93.6,63233,447400,717700,857650
77351,13,76.8,33199,461450,613600,647600
77354,31.2,89.1,35904,359650,481200,648200
77355,28.5,88.4,27271,336750,533850,479350
77356,39.2,96.6,25888,222600,449250,527250
77357,11.3,72,24334,223850,509700,527150
77358,10.8,87.4,5597,59050,76650,136100
77360,10.6,81.8,5084,36150,52400,52750
77362,25.9,87,5546,165250,301200,367650
77363,19.3,86.9,2705,68000,69000,76550
77364,12.8,74.3,1822,20150,30150,39000
77365,21.3,81.1,31406,249500,435400,357200
77371,4.1,80.8,8025,52000,90650,80100
77372,6.3,76.3,12351,78000,97200,115950
77373,23.5,91.6,58255,255600,390250,355000
77375,30.8,89.7,50525,568700,926150,814050
77377,42,91.3,36758,417500,555100,604550
77378,14.2,78.1,16150,111000,178700,353450
77379,47.8,94.7,78226,675250,1173050,993950
77380,47.9,93.6,26691,350000,429450,444650
77381,61.9,98,36919,132800,162500,146850
77382,64.9,97.1,40546,91000,145700,173000
77384,47.1,94.6,16472,317000,513250,567350
77385,33.9,89.7,23578,228750,326100,392000
77386,42.3,94.8,53042,306450,385700,349350
77388,35.7,91.2,45841,361700,690050,580350
77389,54.2,95.1,31883,89000,109800,130100
77396,25.1,83.5,54352,291650,423100,448200
77401,79.3,97.3,19062,95550,148350,126800
77406,44.1,94.1,41008,144000,372500,407000
77407,48.7,93.7,48157,179000,312250,321550
77414,15.1,76.4,23369,888100,1121450,1218150
77417,19,72.5,2760,48000,100000,81750
77418,29,85.4,9926,185000,246800,201700
77419,14.5,75.7,1473,48000,47500,25000
77420,5.1,84.7,2245,91700,97650,99000
77422,9.6,85.7,13378,164000,248350,244450
77423,18.6,76.1,11551,204000,274950,297800
77426,21.7,85.6,2350,36900,42050,42000
77429,48.3,95,86399,675500,1075450,1065700
77430,28.3,92.8,2051,15000,18000,21000
77433,47.3,91.7,75008,381050,612350,695500
77434,10.9,72.7,4781,56000,99400,170200
77435,25.7,80,4303,72000,156000,112000
77437,14.6,76.8,16875,337950,468050,696000
77441,59.2,94.3,9919,183000,117000,178000
77442,30.3,83.7,922,10000,33800,50000
77445,15.6,74.3,13301,185250,406650,384700
77447,16.9,81.7,15246,88800,129800,191600
77449,25.8,84.3,119204,454900,565900,699250
77450,52.5,94.3,74631,380300,464500,532600
77455,14.5,83.1,2026,24150,38000,65000
77459,57.3,95.4,66175,500000,689450,844050
77461,17.4,78.9,10752,92200,179300,174650
77465,16.3,83.2,7269,81000,115650,91750
77466,14.9,75.7,353,11000,10800,19000
77469,31.8,84.2,46934,240950,570300,637300
77471,16.8,75.5,38837,637600,1168000,1567150
77474,18.2,79.6,12993,206000,362650,451900
77477,34.7,83.7,36932,350000,465450,399700
77478,54.6,91.9,25846,307000,458250,578850
77479,66.1,95.1,88603,221000,370150,413350
77480,13.5,89.1,7661,168000,211600,221400
77482,9.6,77.9,2274,79000,94900,161000
77484,17,77.5,10710,163350,276900,340550
77485,14,74.4,4691,55200,63450,72000
77486,13.5,91.1,7082,299000,291950,442950
77488,13.8,78.2,14738,171350,238950,232750
77489,28.9,89.2,36786,239000,411700,382600
77493,30.1,87.1,29984,196200,236300,324900
77494,61.7,96.4,105854,483000,782450,922800
77498,39.7,87.1,51037,221100,499850,521200
77502,7.2,61.5,39040,105000,193600,314600
77503,9.4,72,26171,268000,417800,535400
77504,16.6,77.3,23327,171850,307550,306900
77505,25.2,90.8,24230,320450,584950,642900
77506,3.9,55,37736,274550,316150,341700
77510,10.9,89.6,14608,119000,202950,200200
77511,15,83.8,46121,469150,751900,806950
77514,13.7,74.8,4443,64000,170950,144000
77515,15.9,81.5,31627,419000,609350,689200
77517,11.2,87.6,5688,82000,68400,52300
77518,16.7,74.1,10984,121000,182600,240700
77520,10.3,69.3,36694,486200,767750,764750
77521,17.6,84,57125,769400,1263750,1608250
77523,24.5,89.1,21366,447000,678900,1012050
77530,6.4,68.1,31119,198000,369700,364350
77531,13.4,75.4,16078,485000,649850,708000
77532,16.3,85,28320,341000,445000,429350
77534,18.2,85.6,2426,27000,34000,78450
77535,8,78,32904,302000,463700,590000
77536,20.4,89.5,32392,539950,902150,1042200
77538,14.5,72.9,906,2000,65350,50950
77539,22.5,83.5,42607,375000,769250,697900
77541,8.8,72.7,18525,298000,633950,937100
77545,31.4,83.9,25036,59000,124800,123650
77546,48,95.1,52261,316050,529600,729800
77547,6.6,57.2,10077,29000,68050,79500
77550,29.3,82.9,22070,139400,273850,152650
77551,24.8,80.9,21203,258000,359350,383700
77554,42.2,94.8,8249,165700,233050,296400
77562,10.2,83.9,10665,66300,151300,133600
77563,16.5,86.2,10067,106000,148500,142450
77565,40.4,97.2,7233,114000,167850,144150
77566,33,93.7,29441,360500,638650,724000
77568,13,85,15640,111850,155200,180200
77571,19,89.3,37374,757900,1258850,1161700
77573,45.5,96,85108,663350,976150,998650
77575,11.7,82.8,17005,140000,305100,260750
77578,43.1,94.3,18636,145000,258300,355000
77581,37.7,93.1,47625,659550,1016900,879400
77583,19.5,75.3,35308,61800,142900,107250
77584,53.3,95.2,87121,542850,978700,974000
77586,45.6,96.6,22182,290000,465150,297400
77587,7.7,56.4,16901,145700,324250,264350
77590,10.2,77.6,31084,510750,683750,597350
77591,17.6,87,14073,31500,71250,56550
77597,12.3,87.7,1210,25000,34000,35850
77598,30.5,84.9,24689,204950,443900,501850
77611,16.8,92.9,8325,144000,312200,269950
77612,8.1,90.6,9134,59000,115000,164750
77613,9.8,86.6,1048,30000,28000,21000
77619,14.4,88.4,15775,344000,612150,560050
77622,17.8,92.8,1464,7650,11000,13000
77625,14.1,86.3,9691,95000,151450,86350
77627,24.7,95.4,21198,348350,685550,846550
77629,22,80.1,634,4600,14400,19000
77630,15.9,88.1,28740,301400,510150,611650
77632,18.6,91.3,23475,186000,340650,463000
77640,14.9,81,15964,246000,541350,484250
77642,9.9,69.6,38845,188600,458150,348200
77650,33.3,85.2,1611,21000,39100,36450
77651,24.1,91.9,12840,134200,303150,321000
77656,11.4,85.5,16362,238000,410900,458300
77657,21.3,91.1,21427,156000,319350,323350
77659,28.7,91.7,4722,69000,153700,181400
77660,7.7,81.9,1182,24000,28050,49000
77662,11.5,86.8,26394,368300,520250,580550
77665,15.1,79.3,6252,190200,247550,247350
77701,7.7,70.6,13216,268450,473850,376550
77702,23.2,89,3091,23000,50000,46000
77703,6.5,77,14288,137000,237650,186700
77705,10.7,77.9,40819,524300,922300,835400
77706,40.4,95,29249,372000,655650,565000
77707,23.7,87.4,17954,399800,733700,722700
77708,19.7,91,12288,101000,270050,202750
77713,29.7,90.5,14402,260000,350000,352150
77801,27.7,70.5,16759,162000,226000,170900
77802,42.9,92.1,26185,479550,733950,683500
77803,7.9,66.8,30609,464550,766050,1033400
77807,23.2,80.7,10288,132150,240100,271600
77808,29.9,84.8,10849,121000,243100,222000
77830,21.5,88.5,2830,56000,46850,95850
77831,16,88.2,3115,4000,32000,15000
77833,24.2,84.1,29060,986500,1208800,1113000
77836,15.4,79.1,12022,168050,249600,357100
77840,47.5,90.9,59673,128000,245750,210500
77845,58.1,94.9,59512,519800,667050,804050
77853,20.9,75.2,1287,10000,9100,19500
77856,21.9,89.3,5037,45000,57000,95000
77859,12.2,76.2,7393,144950,214400,323800
77864,17.1,80.8,6935,74000,117450,123000
77865,16.1,86.2,1778,80700,104500,66750
77868,12.5,74.7,17027,269000,501200,717700
77871,23.5,87.4,2568,27000,34000,65000
77872,15.6,87.5,1577,46000,73150,80900
77879,14,87.1,5251,19000,23000,32000
77901,13.3,76,43424,482950,735600,804750
77904,31,91.9,27570,531650,745100,689350
77905,16.6,86.3,14326,170000,249800,217700
77951,4,68.3,2059,13000,1000,12000
77954,13.3,81.2,12256,248850,377450,443100
77957,19.6,84.7,8494,319000,199000,314100
77962,13.8,79.5,3178,71000,138700,160500
77963,18.9,89.1,5991,115000,146450,109300
77964,17.6,85.5,8269,192750,245600,233550
77968,24.2,94.3,3054,13000,25000,14950
77975,13.2,80.6,1942,26000,46900,32000
77977,3.5,52.5,747,8000,16000,21600
77978,10,89.6,774,58000,66000,107000
77979,16.7,80,17526,376150,590050,895550
77983,13.5,76.4,2351,45000,55000,45000
77984,21.9,86.2,3954,125000,218800,213800
77990,16.5,80,864,27000,51750,38000
77995,13.1,82,9847,185000,254900,302300
78002,6.1,70.3,7904,19000,35000,124000
78003,21.5,84.6,8958,171000,252300,283600
78006,41.5,95.1,31709,495000,799700,972750
78009,20.2,82.3,8910,140000,204750,210900
78010,21,82.9,3401,27000,66000,44700
78011,7,65.7,2030,58000,123350,96650
78013,16.3,80,6574,139000,260500,292000
78014,14.4,70.3,5616,129000,223350,300300
78015,57.4,98.1,13897,17000,13000,14850
78016,15.5,76.4,8895,170250,227700,239350
78017,10.8,69,5514,79850,104850,118400
78019,9.3,58.4,1505,44000,52000,44150
78022,13,76.3,4286,148250,232950,275000
78023,49.7,95.2,29872,185000,271000,293000
78025,21.2,85.5,4523,97000,129650,172000
78026,7.8,72.1,6094,65000,117150,130700
78028,26.5,88.9,39626,687000,1079600,1381000
78039,26.4,82.9,1528,15000,31800,53000
78040,6.7,52.1,42324,254700,215550,217400
78041,22.9,70.8,46671,512000,744050,740850
78043,12.6,62.9,44762,247000,307200,248500
78045,32.8,85.8,64705,318000,423900,462100
78046,7.3,55.3,69471,92000,100550,88000
78052,14.4,79.7,6838,86000,166000,172900
78055,21.3,83.1,1945,12000,10000,15000
78059,16.6,80.9,6131,31000,55200,37750
78061,6,62,12595,111000,183450,272850
78063,25.4,88.9,9936,28200,27000,17900
78064,21,83.4,15966,384000,632250,762300
78065,9.9,73.1,10181,46100,85850,93850
78069,8.8,74.5,5874,49000,56000,50000
78070,33.7,94.1,15559,175100,272050,400000
78071,7.7,79.2,4510,109000,118550,161450
78072,26,84.9,404,55000,72000,67350
78073,5.6,65.2,9269,92000,118000,153750
78076,11.3,56.5,13202,57000,82250,41400
78101,24,89.6,6911,251000,254000,372000
78102,8.8,72.3,28648,213000,413250,550000
78108,37.9,94.8,35986,145000,268850,310850
78109,22.3,88.9,40093,613800,908050,942800
78112,8.2,74.7,8129,101650,179900,180800
78113,23.9,90.8,2877,94000,128150,102000
78114,15.6,81.2,22409,384800,753550,599050
78118,17.2,73.5,3862,74000,153750,212950
78119,8.6,71.1,7521,190000,344850,379250
78121,27.3,90.5,12726,188000,300750,278000
78123,15.6,84.7,2527,32000,64000,27000
78124,19.8,90.1,5961,68650,103050,96300
78130,28.7,88.6,70055,1094000,1545850,2228150
78132,47.4,96.6,26918,270000,427700,441800
78133,29.4,92.5,18942,277000,364050,509750
78140,6,64.1,3736,74000,69650,167400
78146,13.6,84.8,559,31000,40000,44000
78147,18.7,81,2156,33000,85200,101000
78148,27.5,92.4,21456,273000,600800,794950
78151,14,77.8,1529,2000,11000,18000
78152,24.4,96,2155,52000,54000,63000
78154,35.1,92.1,38293,437000,828800,919000
78155,18.6,83.2,47469,802750,1009550,974400
78160,16.4,85.6,4424,229000,256500,268850
78161,21.9,96.8,628,30000,22000,38000
78163,38.5,93,10703,104000,172000,258150
78164,15.3,78.3,3048,223500,258500,258000
78201,14.9,70.6,47500,704700,1230750,1220900
78202,12.5,63.9,12178,75000,47800,44000
78203,13.8,65.8,6456,35000,34550,57000
78204,20.4,76.7,12454,35000,45500,48850
78205,33.3,89.4,1041,51000,82000,61000
78207,5.3,53.7,54071,375700,490450,458650
78208,6.9,62.3,4704,54000,144350,156150
78209,58.6,93.7,41274,322450,585700,626300
78210,12.6,69.9,37801,264000,321850,450100
78211,5.2,58.8,31952,344000,572500,552150
78212,31.1,79.4,28664,535950,763650,866550
78213,22.3,82.3,43394,344650,467700,486400
78214,6.5,68.3,26013,292350,492250,415550
78215,64.7,92.9,2686,41000,36300,44000
78216,34.7,89,41042,671450,1168150,1267700
78217,23.3,90.3,33803,600500,989000,1088100
78218,20.8,82.6,35384,348400,572250,666050
78219,12.5,85.1,16376,292800,528000,551500
78220,10.5,69,16833,87950,165400,202000
78221,6.9,69.8,40249,472600,760250,723050
78222,14.8,80.7,24189,223000,301000,320900
78223,11.4,76.6,54517,697000,1176550,1358200
78224,9.1,73.2,21636,247750,397250,469350
78225,8,66.8,13933,145000,208950,273600
78226,7.6,68.4,6755,42000,55000,76000
78227,6.9,71.7,49793,424650,623800,769850
78228,12,71.1,62371,567800,852600,955050
78229,32.1,89,32338,181000,207500,181800
78230,50.1,93.3,45104,456650,679550,692250
78231,59,96.9,8453,89000,255000,184950
78232,49.4,96.6,38054,346000,649000,597250
78233,21.7,90.3,47700,505850,872800,792600
78237,4.1,55.9,37508,433000,561700,607450
78238,20.6,86.4,25300,381850,489350,498100
78239,22.2,87.2,28373,179600,216850,314200
78240,40.5,92.6,58207,435600,583150,647550
78242,7.4,63.8,33219,169000,260200,280600
78244,18.7,87.2,30618,153000,169700,177800
78245,21.3,87.2,72277,281000,501650,497500
78247,29.9,93.6,52885,779850,1443000,1994200
78248,61.7,98.7,14372,91000,141700,154000
78249,44.2,95.6,56674,403700,521850,651400
78250,26.7,91.3,60906,815050,1182350,1241550
78251,29.5,92.8,58522,811200,1430950,1404000
78252,12.2,70.9,10593,47000,112500,162000
78253,41.5,94.4,41188,216000,450150,554300
78254,37.9,93.7,56329,179900,267050,326000
78255,56.6,97.2,14507,36000,84000,122000
78257,61.3,96.8,6107,192050,299400,372950
78258,61.2,96.9,45966,172150,251300,316250
78259,52.8,96.5,25873,700,1000,7000
78260,53.7,94.9,27907,206850,266000,326150
78263,19.5,89.7,5072,24000,44000,41850
78264,9.9,74.2,10188,168000,240100,240000
78266,58.3,96.4,6746,25050,85000,72000
78332,11.4,73.9,28641,659250,829750,806350
78336,10.6,74.5,11828,433600,780600,674350
78340,18.1,88,461,14000,35000,26600
78341,17.8,78.4,2100,14000,33000,27000
78343,13.7,77.8,4374,72000,109600,140800
78355,15.9,69.4,7309,100000,93700,103000
78357,6.4,77.6,2912,64000,67250,73600
78359,8.3,71.3,2056,22000,39450,34300
78361,11.8,72.4,5357,56000,116100,81000
78362,14.4,84,9907,122000,224450,177350
78363,24.2,78.2,29963,501000,875100,797850
78368,7,63.9,9620,284450,332300,372700
78370,14.1,72.7,4718,45000,64100,64000
78372,7.3,76.6,6233,30000,67150,35000
78373,32.9,98.2,4084,82000,117250,82000
78374,24.8,89.7,17661,240000,524000,439050
78375,14.2,68.6,3055,84000,70000,42300
78377,12.5,79,3770,75000,122000,126400
78379,22.4,72.2,1576,45000,53100,42000
78380,12.3,72.8,24126,243000,398500,302000
78382,21.2,84.2,21537,442000,590850,555800
78383,15.5,79,4077,27000,96000,117000
78384,7.9,59.2,5635,48000,82600,85000
78387,9.7,74.9,10062,73550,93750,116000
78389,6.7,70.7,1623,103000,171600,280400
78390,8.3,73,5197,26000,85600,54000
78393,7.7,80.3,2130,41000,42000,51000
78401,10,71.3,5445,58000,81600,54050
78402,39.6,90.2,272,54000,68300,43650
78404,23.3,75.3,18467,125000,184450,166500
78405,4.5,53.4,15469,145600,253550,270900
78407,5.6,72.5,3456,28000,57000,62000
78408,6.8,67.8,12606,289000,426350,453950
78409,6,74.2,2733,17000,22000,23000
78410,20.9,87.4,27087,581000,964900,767700
78411,21.8,86.4,26570,660000,851950,939300
78412,25.1,89.3,39286,325100,641400,619850
78413,31.3,92,40070,377000,740500,672650
78414,36.9,95.1,38343,292000,534850,412900
78415,10.6,76.4,40496,289650,445200,361350
78416,4.6,60.6,15493,61150,183250,203850
78417,7.9,68.8,4176,3000,37450,56000
78418,27.5,90.4,31120,345000,758400,855800
78501,23.8,67.3,64340,643250,1020550,931050
78503,24.3,63,22877,154900,274600,260750
78504,38.2,87.4,53665,298000,466600,355300
78516,9.6,58.5,35223,100000,193450,217600
78520,18.2,63.5,62804,384750,412350,459700
78521,12,56.5,92975,475000,778450,1054600
78526,27.7,72,47125,60000,115500,109800
78535,3.4,65.8,678,13000,21000,17000
78537,8.4,54.1,45606,75000,99950,98850
78538,8.6,52.1,10912,2000,10000,6000
78539,36.4,83.8,34991,844700,1022100,840550
78541,19.5,66.2,44387,134000,267300,249350
78542,13.4,57.2,75822,85400,112700,122000
78543,10.6,64,8886,8400,20700,29350
78548,1.8,42,649,2000,3000,4000
78550,16.6,70.6,52746,265000,357250,339150
78552,21.5,75.7,38352,108000,170400,186000
78557,17.9,58.9,13859,36000,31400,37000
78558,4.3,54,1121,12000,14350,22000
78559,15.5,73.5,12579,40950,72650,47000
78560,7.9,53.4,4846,34000,73700,46000
78562,5,46.5,4099,7000,6100,8000
78566,17.2,67.6,18120,27000,67450,54000
78567,6.7,64.7,521,10000,7000,8000
78570,10.8,59.5,34560,48000,92800,75700
78572,21,67.7,78770,467000,606900,770150
78573,13,58.7,38420,84200,142850,123900
78574,13.7,53.8,61238,87000,127350,131450
78575,29.6,81.2,9762,28000,59400,44700
78576,4.5,46.6,11044,35000,89700,109000
78577,14.2,63.2,76821,218550,258350,272250
78578,19.4,71.7,11727,52000,102500,116000
78580,8.4,63.7,14943,67450,81850,72700
78582,9.8,51.2,42644,161800,267650,309100
78583,15.2,71.5,6820,6000,9000,7000
78584,10,42.5,18757,83000,87500,86350
78586,10.7,59.9,56086,214950,242950,202000
78589,13,57.6,40709,144150,196550,202450
78593,8.4,63.4,6114,6900,13850,2950
78595,5.6,40.1,6330,5000,1000,15000
78596,15.1,65,65013,197600,222300,204450
78597,42.3,89.9,2856,55000,60600,63000
78602,22.5,83.8,28027,430350,643350,756200
78605,15.3,86.6,5955,72000,66350,52000
78606,24.6,87.5,5552,73000,115800,176350
78609,19.4,89.8,1948,43000,70000,81000
78610,36.4,91.6,32692,233000,435450,712250
78611,22.9,86.5,13016,289350,398850,546850
78612,23.8,82.5,12484,129000,251350,292650
78613,47.4,95.7,77779,626950,793350,856450
78615,24.6,87.5,931,28000,48800,19000
78616,8.7,71.3,7518,14000,40000,58000
78617,11.2,65.8,27900,154000,229650,245000
78620,47.6,93,15452,202550,253500,383600
78621,17.4,77.5,22261,272000,461150,408050
78624,33.6,90.3,21687,296000,363750,588750
78626,29,86.3,32529,253000,284950,331800
78628,42.1,95,30322,383550,522250,550600
78629,15.6,76.3,12341,187000,366450,311100
78631,27.6,87.3,2729,34000,34300,38950
78633,49.7,97.5,24727,46000,61000,105000
78634,29.3,91.3,29770,135000,268000,374800
78636,34.1,90.8,3882,52000,70950,116650
78639,15.7,81,8046,113000,189800,184400
78640,25.9,81.7,52981,511000,709600,758000
78641,36.9,92,60135,440750,612150,624000
78642,27.5,91.5,11087,202000,366300,451250
78643,26.4,85.2,5901,48000,88850,103650
78644,14.5,81.8,18287,223000,419750,348050
78645,35,94.9,10705,112000,95550,96000
78648,15.1,75.6,7791,145000,197850,139900
78650,17.5,79.6,1663,20300,35000,29850
78652,42.6,91.5,4965,52500,76000,20000
78653,25.4,86,20822,299250,428550,674850
78654,26.2,86.1,18488,236000,365800,358150
78655,16.9,69.6,3415,4000,40650,44000
78656,12.8,91.6,2513,35000,27000,18000
78657,43.8,94.9,5868,65000,118250,194100
78659,19.9,87.2,3136,29000,26850,23000
78660,36.8,91.1,85450,712850,1039350,1334850
78662,17,90,2485,16000,26000,24000
78663,34.8,95,913,8000,17000,28000
78664,31.6,90.1,61361,756350,1328000,1299200
78665,43.3,95.5,46109,119000,226750,248050
78666,30.4,85.9,77355,742250,890650,1014050
78669,50.4,97.4,11375,49650,55350,56800
78672,15.7,83.8,1248,5000,8000,5000
78676,42.9,94.8,13231,146000,228400,289500
78681,52,94.5,57234,222250,345350,336000
78701,73.2,93.9,7875,92000,101050,157050
78702,39.4,80.5,22876,236950,388350,370600
78703,83.9,98,20788,81850,124400,66550
78704,63.7,93.6,47158,289050,376950,550800
78705,66.7,96.4,33075,38600,32550,43600
78717,61.3,98.2,27764,134000,197400,146550
78721,23.8,71.6,12447,52000,82600,68000
78722,67.9,95.8,7254,51200,94450,100000
78723,39.1,83,33170,281300,498650,503250
78724,12.9,64.2,24833,212550,381400,291500
78725,16.2,77.2,7517,27000,51000,59000
78726,66.1,98.5,14610,92000,150000,163050
78727,56,94.5,28999,212000,945400,316650
78728,43.5,95.3,21245,179200,210900,215150
78729,50,96,29434,173000,255350,271900
78731,77,97.9,27447,118500,140300,132000
78732,74.2,97.1,17762,60000,61000,62000
78733,72.7,98.3,8754,37000,44000,67000
78734,56.2,94.5,18722,206500,226950,227150
78735,64.4,94.9,17919,188950,275850,287900
78736,53.4,97.2,8199,21950,35400,60000
78737,60.5,98.2,15879,139000,241000,319000
78738,69.3,98.6,15746,98800,175700,170150
78741,29.9,76.2,52307,366900,544750,539150
78744,17,69.7,48432,372850,653650,622100
78745,39.4,87.6,62220,674400,1063250,1194700
78746,80.8,99,28268,129850,198250,246600
78747,30.9,85.9,20954,162000,180900,132000
78748,44.9,93,49142,267550,578800,902150
78749,65.1,97.9,37453,148250,199750,242700
78750,57.7,96,30758,400000,629850,567650
78751,71.6,96.5,14949,239850,176300,149000
78752,33.8,78.9,20302,344000,653300,540850
78753,19.4,73.2,58693,634650,1057800,1017700
78754,38.3,88.2,23858,208000,402000,521350
78756,73.8,96.6,8377,182000,226000,182600
78757,56,92.7,24059,309000,486600,456400
78758,34.9,83.3,46618,302050,502500,609250
78759,65.7,97.8,41847,209000,283450,359000
78801,14.4,70.1,22156,249000,516450,529300
78830,7.8,54.3,867,11000,20000,24000
78832,11.5,74.3,3631,8000,13000,21000
78834,9.9,65.3,8662,80000,121800,117300
78839,6.8,62.8,9251,25000,44000,44000
78840,18,67.3,48317,302350,422500,502000
78850,29.5,88.3,1306,14000,10000,9000
78852,11.5,59.2,55879,215000,586700,679200
78861,13.8,83.4,13782,124000,179700,200000
78872,9.2,53.8,1724,18000,30000,24000
78873,18.3,74.6,1920,107000,183050,284000
78881,16.4,73.8,2321,53000,96000,117000
78932,23.2,84.5,583,11700,40000,25000
78934,23.4,86.1,6238,190000,340700,396400
78935,29.4,77.6,1509,21000,24450,35000
78938,30,100,337,12000,22250,22400
78940,20.2,92.4,2387,14000,21000,20000
78941,15.4,77.9,2791,53000,94600,126550
78942,15.4,77.7,8499,159100,315750,328050
78944,26.7,90.1,521,14000,13000,11000
78945,17.4,81.4,10107,226000,363750,525200
78947,21.5,91.5,4605,31000,32000,27250
78950,15.3,84.9,2000,1000,13000,10000
78956,15.6,79.2,5518,97000,183550,186800
78957,23.6,87.5,9310,70950,211600,165800
78959,8.1,58.2,2047,19000,28400,28900
78962,17.7,86.5,5200,129000,186100,272100
79005,13.6,81,1653,15000,15000,19750
79007,15.6,84.9,14415,517150,633950,734600
79013,4.4,29.3,3707,75000,105850,55000
79014,23.2,76.3,4119,28000,34000,28700
79015,41.2,93.4,21576,58000,68000,69000
79019,23.2,89.5,1756,42000,56000,71000
79022,13.7,74.5,11488,109000,136000,161000
79027,14.3,72.1,5090,21000,30100,21400
79029,14.9,70.9,16010,320950,282150,246850
79034,20.4,81.5,634,29000,29750,87250
79035,18.2,71.7,4892,2000,6000,25000
79036,8.9,87.2,5253,35000,38600,110000
79040,20.2,68.3,1771,15000,17000,16000
79041,12.3,72.7,3199,2000,7000,18750
79045,14,72.3,19066,245000,322250,505650
79046,20.6,74.5,636,31000,71350,35550
79057,16.5,85,1595,6000,8000,6000
79065,13,79.9,21082,175450,228600,289250
79068,37.9,96.1,3043,43000,32000,33000
79070,18,75.5,10183,135000,161250,225900
79072,16.5,75,26829,590000,600500,293100
79079,14.7,79.3,2696,49000,69000,85000
79081,14,70.5,4065,69000,33000,47000
79083,10,82.6,2155,40000,33000,32000
79084,20.6,73.5,2384,55000,78000,80000
