Zip Code,Percent bachelor's degree or higher,Percent high school graduate or higher,Total population,Fy 2017,Fy 2018,FY 2019 Through 7/31/2019
75243,28.4,82.7,67445,239200,278800,356750
75244,64.3,96.1,13613,269000,250000,184000
75246,25.8,73.4,2276,33700,46100,62350
75248,57.1,93,35464,160250,200400,213000
75249,19.8,82.8,16100,6000,12000,12650
75251,54.9,98.8,2368,42000,45000,64900
75252,61,95.2,26493,163650,229600,255850
75253,6.1,56.3,22721,71000,139150,145550
75254,40.7,83.4,26602,135000,196500,294700
75287,45,94.6,53903,312150,421100,351000
75401,13.5,80.2,18830,82800,132500,141200
75402,30.5,88.9,16931,276000,347450,328000
75407,18.9,85.9,16367,96350,138000,186000
75409,22.9,90.2,14010,99000,136950,112250
75414,26.2,88.6,3184,12000,29000,39000
75418,15,83.8,14318,137000,233250,226300
75422,18.8,86.6,2946,6000,14000,8000
75423,15.6,88.5,2749,9000,13000,18000
75424,14.7,86.2,3765,8000,16000,19000
75426,14.7,85.7,4953,11000,31050,63000
75428,30.9,87,10802,54650,99600,70900
75432,19.5,80.8,3519,14000,110000,100000
75433,20.6,84.5,2752,18000,13000,12000
75435,10.4,82.1,1374,2250,2000,2000
75440,11.4,83.9,6201,68650,137550,115300
75442,16,88.5,9848,66500,139900,90000
75446,22.6,82.6,3553,5000,4000,7000
75449,19.6,87.4,1484,2000,17000,11000
75452,20.5,88.1,4306,13000,22600,26250
75453,11.5,83.2,3102,6000,15000,17450
75454,31.2,91.1,8807,60500,91800,100950
75455,16.6,74,28560,274700,602250,513750
75457,21.3,88.7,6131,58900,77800,85150
75459,14.9,87.3,5207,45000,66400,48000
75460,12.4,81.4,22226,188400,406350,394100
75462,28.2,91,11691,124550,145650,134000
75472,11,81.6,3931,30000,30850,18100
75473,17.2,89.4,3879,6000,1000,9000
75474,10,77,15047,127000,187050,273000
75479,14.6,85.9,1859,6000,22000,16000
75482,18.4,82.9,24802,219500,456000,477600
75489,15.1,97.2,1061,2750,4000,6000
75490,13.6,83.8,2399,16000,21000,30000
75491,22.5,89.2,5646,30000,30500,30000
75494,14,82.3,9931,50000,74100,65900
75495,22.2,93.1,7797,45000,65000,77000
75496,13.8,89.7,3436,30000,29000,35000
75497,16.9,81.5,3585,28000,28000,27450
75501,14.1,85.5,35692,109450,257400,271000
75503,36.1,91.5,25916,299000,490300,399750
75550,21.8,83.6,838,3000,4000,4000
75551,20.4,86.2,10867,103000,165850,169600
75554,16.1,88,1805,13000,17600,11000
75556,11.6,80.8,1044,4000,3000,5000
75559,16.5,89.4,5316,44000,53850,39000
75560,17.6,84.2,715,22000,24650,32000
75561,11.2,85.1,5108,18000,30050,36750
75563,13.6,85.5,4410,55000,123400,102000
75567,11.6,93.7,5191,3000,2000,4750
75568,9.9,87.9,2271,11000,12000,18300
75569,15.8,93.1,3229,6000,27000,26000
75570,9.7,81.5,10969,58450,81650,110000
75571,16.3,94.1,3189,4000,8000,5000
75572,13.3,85.1,4285,22300,85850,104850
75601,17.4,83.5,16310,212000,301800,303300
75602,12.2,72.4,22112,245300,360900,375600
75603,16,86.6,5913,78000,121350,173750
75604,21.9,85.2,30565,337600,546450,846550
75605,30.8,92.9,30721,364100,568550,674300
75630,16.5,89.5,2238,9000,31850,10750
75631,10,88.6,3137,16000,16000,19000
75633,17.1,86.3,13779,130000,182600,191550
75638,17.1,86.3,5908,52000,84050,56950
75640,23.8,85.9,5020,12000,15000,6050
75644,15.8,84.2,12579,105000,154650,193850
75647,16,85.2,12459,72100,109500,292300
75650,23.5,91.3,8858,25000,32050,125000
75651,11.2,87.7,2192,8000,6000,9750
75652,15.7,77.5,17061,77000,84000,173700
75654,18.3,80.7,12299,76000,106000,177700
75656,12.9,85.1,4601,6000,24450,15000
75657,14.5,84.6,8139,125300,73100,52350
75661,19.7,80.8,3043,1000,3000,4000
75662,15.3,81.3,26009,338400,618250,594350
75668,15.9,81.1,2005,14150,20950,20300
75670,12.8,75.5,17537,124250,173300,227050
75672,21.7,86.2,16252,40000,66000,50900
75681,18.1,83.9,2299,22000,61850,78000
75683,10.7,75.3,3811,34000,66000,47450
75684,9.2,78.7,7750,35900,44000,73250
75686,16.6,83.1,13047,54050,79000,129100
75691,11.4,71,3006,28000,40300,70850
75692,13.9,83.1,5078,49100,61000,65000
75693,20.2,93.8,6973,35000,66450,107350
75701,26.6,86.2,34876,301850,676700,801050
75702,7.2,63.1,28270,434300,695700,931050
75703,38,93.7,40868,362700,561100,695150
75704,8.9,75.4,9974,89000,159350,171250
75706,9.1,71.8,9793,174450,125600,186350
75707,31.5,92.1,14565,42000,82200,147000
75708,8.5,68.7,7709,100000,166350,173100
75709,29.6,90.7,5046,56000,127550,104000
75750,20.7,90.8,3695,22000,17000,27000
75751,20.8,81.7,16715,245100,331150,264850
75754,11.5,83.9,6506,38900,40850,46000
75755,15,82.8,5150,17000,13000,18800
75756,18.7,81.7,4873,21000,113900,86000
75757,34.7,90.1,12166,53100,69750,91000
75758,22.3,90,8100,171000,248800,278250
75760,15.1,84.2,2429,6000,22000,25000
75762,39.9,93.6,12986,91850,88800,80000
75763,17,86.6,6286,32000,58000,48700
75765,23.1,89.5,7751,12000,18750,33000
75766,16.2,75.8,26671,224000,356750,394200
75770,14.1,88.8,3364,5400,2000,1000
75771,25.8,88.3,21078,174000,245000,317750
75773,16,87.2,12927,60750,86500,143150
75778,19.1,86.8,3167,11000,41000,37050
75783,14,84.9,7559,95200,114900,138700
75785,15.4,77.9,10909,90000,138050,136500
75789,21.3,86.7,7501,28000,23700,28950
75790,20.4,88.3,4600,60000,103850,174600
75791,30.4,88.1,13268,86900,128000,146300
75792,11.3,87.1,2562,12000,16200,21650
75801,20.4,84.2,15615,363700,534100,415400
75803,11,80.1,22903,43000,89550,84500
75831,14.3,80.2,5746,85000,131800,138350
75833,19.4,87.2,3462,55000,58650,68850
75835,14.8,79.3,10924,142700,200700,177050
75839,11.4,83.7,5192,42000,46500,116650
75840,15.3,86.3,6950,86600,127750,181100
75844,18.2,85.8,6340,41000,56350,35450
75845,11.6,86.9,3208,10000,15000,27100
75846,5.8,75.1,2875,44000,68000,68000
75847,20.4,85.6,1783,7000,5000,10000
75851,9.9,81.5,4834,32800,37000,14900
75852,5.5,70.2,4889,4000,1000,2000
75855,10.2,86.3,2463,7000,11000,13000
75859,19.3,80.7,1657,7950,8000,14000
75860,7.7,78.3,6415,78250,100400,99500
75862,11.4,80.4,9863,104000,84050,82650
75901,16.9,78.5,31647,620450,826200,1029900
75904,20.8,84.5,33820,351000,485600,634950
75925,14.1,87.3,4099,30200,100000,146650
75929,10.8,86,1860,11000,32950,39750
75931,17.9,86.3,2189,6000,14000,15000
75935,15.2,74.6,13955,199000,301750,333150
75936,13.6,83.9,842,1000,10000,2000
75938,11.7,86,2686,14150,20850,18000
75939,9.6,76.9,4939,26850,33300,49200
75941,12.1,76.6,8974,52000,52800,48050
75944,13.4,80.5,1409,37000,54200,37000
75946,11.5,78.6,3209,28000,17000,14750
75948,14.7,85.4,6037,145000,151450,104650
75949,8.6,81.5,7376,75000,70250,58600
75951,14.6,83.7,16072,203550,311700,362250
75954,16.2,79.8,3079,40000,43000,62100
75956,8.5,85.9,8533,29000,97350,172200
75961,22.1,83.3,15484,228400,377550,351350
75964,17.9,71.7,19086,95000,160500,251200
75965,41.9,93.7,18811,135000,246400,285400
75966,17,91,5287,97000,135600,106800
75968,10.1,87.3,1883,5000,5000,5000
75969,14.9,83.4,3726,26000,38000,35000
75972,12.6,76.6,6040,58850,134850,165900
75974,14.4,69.2,3245,13000,21800,45250
75975,16,76.3,3727,17000,29000,33400
