FID
10009
10024
10029
10033
10034
10064
10067
10071
10080
10088
10090
10106
10116
10140
10148
10155
10158
10165
10199
10214
10223
10226
10227
10241
10244
10246
10247
10248
10249
10250
10257
10272
10279
10283
10298
10314
10342
10348
10363
10364
10375
10393
10398
10400
10412
10421
10437
10447
10454
10476
10482
10484
10486
10488
10496
10504
10512
10520
10529
10538
10542
10553
10560
10561
10583
10585
10587
10595
10603
10612
10621
10645
10649
10653
10660
10671
10677
10702
10734
10736
10750
10752
10757
10767
10774
10776
10790
10802
10881
10914
10924
10929
10932
10935
10947
10949
10951
10952
10953
10958
10962
10963
10965
10971
10973
10974
10978
10979
10981
10988
11000
11003
11004
11008
11010
11011
11012
11021
11025
11027
11029
11035
11037
11039
11058
11059
11073
11141
11146
11177
11183
11198
11209
11236
11462
11519
11523
11567
11583
11596
11626
11633
11645
11677
11696
11716
11717
11727
11730
11743
11746
11754
11756
11800
11810
11832
11878
11982
12109
12280
12288
12320
12359
12404
12434
12452
12459
12460
12491
12523
12557
12564
12610
12612
12632
12755
12795
12802
12829
12877
12944
12945
12950
12952
12970
12975
12979
12995
13016
13017
13020
13042
13046
13049
13063
13075
13089
13107
13108
13111
13124
13141
13158
13225
13244
13258
13265
13297
13298
13341
13345
13374
13428
13459
13509
13533
13541
13583
13586
13619
13655
13665
13700
13767
13851
13861
13874
13878
13880
13921
13932
14005
14025
14026
14028
14059
14085
14141
14197
14199
14200
14201
14202
14203
14204
14205
14206
14207
14208
14210
14253
14267
14288
14364
14366
14368
14369
14370
14371
14372
14374
14376
14377
14378
14379
14380
14382
14384
14385
14386
14387
14389
14390
14391
14392
14393
14394
14395
14396
14397
14418
14459
14518
14595
14598
14624
14625
14628
14629
14671
14703
14742
14744
14747
14756
14765
14769
14778
14793
14849
14861
14866
14867
14872
14881
14897
14906
14961
15023
15027
15035
15062
15082
15088
15092
15095
15100
15159
15162
15163
15165
15167
15168
15171
15194
15195
15196
15197
15199
15201
15202
15228
15254
15348
15436
15497
16545
16552
16570
16586
16719
17063
18184
18192
18200
18218
18790
19091
19117
19119
19125
19133
19141
19158
19166
19174
19208
19216
19232
19240
19273
20208
20505
20531
21487
21859
23756
25082
25702
26247
26387
26452
26470
26619
26627
26668
26684
26710
27096
27130
27294
27510
27567
27682
27940
28045
28144
28161
28169
28500
28805
28888
28946
29027
29258
29441
29456
30860
31054
31062
31088
31096
31155
31161
31187
31195
31229
31237
31245
31278
31286
31294
31336
31344
31351
31866
32039
32278
32302
32427
32583
32807
32872
32906
33144
33185
33235
33532
33550
33847
34092
34110
34581
34852
35016
35024
35107
35141
35537
35570
35661
35719
35834
35859
35867
35875
35883
35901
35909
35917
35925
35951
35958
35966
35982
36000
36014
36022
36040
36063
36230
36370
36378
36428
36477
36535
36560
36574
36584
36701
36717
36733
36956
36964
36990
37004
37030
37046
37053
37533
37551
37624
37632
37806
37855
38382
38473
38879
39010
39016
39057
39065
39073
39107
39115
39164
39172
39206
39222
39248
39257
39305
39448
39505
39513
39638
39671
39679
39687
39703
39745
39935
40050
40212
40220
40246
41188
41543
41584
41659
41675
41701
41751
41800
42079
42087
42121
42186
42194
42319
42360
42501
42525
42624
42822
42897
42947
42996
43135
43160
43242
43325
43457
43491
43515
43598
43640
43796
43804
43838
44200
44208
44271
44299
44349
44356
44396
44414
44422
44448
44539
44580
44750
44933
45023
45041
45090
45189
45452
45470
46185
46540
47399
47746
48058
48330
48934
49551
49619
51037
51045
51177
51318
51540
51904
52290
52308
52498
52787
52795
53496
53504
53587
53595
53611
54601
57257
57364
57372
57570
58636
58966
59253
59808
59907
60160
60970
61259
61614
61622
61630
61648
61655
61663
61747
64154
64634
64725
